supplier_profile_id,party_id,vendor_tier,payment_term_id,default_currency_id,incoterm_id,status
SUP-PR-039,PTY-SUP-039,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-040,PTY-SUP-040,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-041,PTY-SUP-041,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-042,PTY-SUP-042,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-043,PTY-SUP-043,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-044,PTY-SUP-044,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-045,PTY-SUP-045,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-046,PTY-SUP-046,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-047,PTY-SUP-047,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-048,PTY-SUP-048,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-049,PTY-SUP-049,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-050,PTY-SUP-050,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-051,PTY-SUP-051,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-052,PTY-SUP-052,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-053,PTY-SUP-053,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-054,PTY-SUP-054,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-055,PTY-SUP-055,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-056,PTY-SUP-056,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-057,PTY-SUP-057,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-058,PTY-SUP-058,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-059,PTY-SUP-059,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-060,PTY-SUP-060,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-061,PTY-SUP-061,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-062,PTY-SUP-062,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-063,PTY-SUP-063,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-064,PTY-SUP-064,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-065,PTY-SUP-065,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-066,PTY-SUP-066,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-067,PTY-SUP-067,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-068,PTY-SUP-068,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-069,PTY-SUP-069,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-070,PTY-SUP-070,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-071,PTY-SUP-071,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-072,PTY-SUP-072,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-073,PTY-SUP-073,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-074,PTY-SUP-074,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-075,PTY-SUP-075,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-076,PTY-SUP-076,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-077,PTY-SUP-077,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-078,PTY-SUP-078,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-079,PTY-SUP-079,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-080,PTY-SUP-080,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-081,PTY-SUP-081,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-082,PTY-SUP-082,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-083,PTY-SUP-083,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-084,PTY-SUP-084,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-085,PTY-SUP-085,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-086,PTY-SUP-086,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-087,PTY-SUP-087,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-088,PTY-SUP-088,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-089,PTY-SUP-089,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-090,PTY-SUP-090,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-091,PTY-SUP-091,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-092,PTY-SUP-092,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-093,PTY-SUP-093,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-094,PTY-SUP-094,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-095,PTY-SUP-095,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-096,PTY-SUP-096,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-097,PTY-SUP-097,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-098,PTY-SUP-098,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-099,PTY-SUP-099,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-100,PTY-SUP-100,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-101,PTY-SUP-101,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-102,PTY-SUP-102,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-103,PTY-SUP-103,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-104,PTY-SUP-104,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-105,PTY-SUP-105,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-106,PTY-SUP-106,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-107,PTY-SUP-107,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-108,PTY-SUP-108,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-109,PTY-SUP-109,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-110,PTY-SUP-110,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-111,PTY-SUP-111,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-112,PTY-SUP-112,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-113,PTY-SUP-113,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-114,PTY-SUP-114,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-115,PTY-SUP-115,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-116,PTY-SUP-116,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-117,PTY-SUP-117,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-118,PTY-SUP-118,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-119,PTY-SUP-119,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-120,PTY-SUP-120,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-121,PTY-SUP-121,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-122,PTY-SUP-122,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-123,PTY-SUP-123,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-124,PTY-SUP-124,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-125,PTY-SUP-125,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-126,PTY-SUP-126,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-127,PTY-SUP-127,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-128,PTY-SUP-128,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-129,PTY-SUP-129,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-130,PTY-SUP-130,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-131,PTY-SUP-131,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-132,PTY-SUP-132,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-133,PTY-SUP-133,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-134,PTY-SUP-134,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-135,PTY-SUP-135,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-136,PTY-SUP-136,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-137,PTY-SUP-137,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-138,PTY-SUP-138,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-139,PTY-SUP-139,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-140,PTY-SUP-140,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-141,PTY-SUP-141,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-142,PTY-SUP-142,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-143,PTY-SUP-143,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-144,PTY-SUP-144,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-145,PTY-SUP-145,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-146,PTY-SUP-146,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-147,PTY-SUP-147,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-148,PTY-SUP-148,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-149,PTY-SUP-149,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-150,PTY-SUP-150,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-151,PTY-SUP-151,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-152,PTY-SUP-152,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-153,PTY-SUP-153,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-154,PTY-SUP-154,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-155,PTY-SUP-155,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-156,PTY-SUP-156,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-157,PTY-SUP-157,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-158,PTY-SUP-158,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-159,PTY-SUP-159,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-160,PTY-SUP-160,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-161,PTY-SUP-161,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-162,PTY-SUP-162,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-163,PTY-SUP-163,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-164,PTY-SUP-164,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-165,PTY-SUP-165,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-166,PTY-SUP-166,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-167,PTY-SUP-167,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-168,PTY-SUP-168,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-169,PTY-SUP-169,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-170,PTY-SUP-170,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-171,PTY-SUP-171,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-172,PTY-SUP-172,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-173,PTY-SUP-173,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-174,PTY-SUP-174,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-175,PTY-SUP-175,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-176,PTY-SUP-176,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-177,PTY-SUP-177,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-178,PTY-SUP-178,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-179,PTY-SUP-179,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-180,PTY-SUP-180,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-181,PTY-SUP-181,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-182,PTY-SUP-182,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-183,PTY-SUP-183,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-184,PTY-SUP-184,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-185,PTY-SUP-185,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-186,PTY-SUP-186,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-187,PTY-SUP-187,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-188,PTY-SUP-188,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-189,PTY-SUP-189,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-190,PTY-SUP-190,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-191,PTY-SUP-191,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-192,PTY-SUP-192,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-193,PTY-SUP-193,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-194,PTY-SUP-194,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-195,PTY-SUP-195,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-196,PTY-SUP-196,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-197,PTY-SUP-197,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-198,PTY-SUP-198,TIER_2,NET_30,INR,FOB,ACTIVE
SUP-PR-199,PTY-SUP-199,TIER_2,NET_60,INR,CIF,ACTIVE
SUP-PR-200,PTY-SUP-200,TIER_2,NET_30,INR,FOB,ACTIVE
