employee_profile_id,party_id,workforce_role_id,assigned_facility_id,status
EMP-PR-0048,PTY-EMP-0048,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0049,PTY-EMP-0049,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0050,PTY-EMP-0050,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0051,PTY-EMP-0051,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0052,PTY-EMP-0052,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0053,PTY-EMP-0053,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0054,PTY-EMP-0054,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0055,PTY-EMP-0055,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0056,PTY-EMP-0056,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0057,PTY-EMP-0057,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0058,PTY-EMP-0058,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0059,PTY-EMP-0059,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0060,PTY-EMP-0060,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0061,PTY-EMP-0061,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0062,PTY-EMP-0062,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0063,PTY-EMP-0063,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0064,PTY-EMP-0064,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0065,PTY-EMP-0065,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0066,PTY-EMP-0066,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0067,PTY-EMP-0067,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0068,PTY-EMP-0068,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0069,PTY-EMP-0069,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0070,PTY-EMP-0070,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0071,PTY-EMP-0071,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0072,PTY-EMP-0072,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0073,PTY-EMP-0073,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0074,PTY-EMP-0074,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0075,PTY-EMP-0075,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0076,PTY-EMP-0076,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0077,PTY-EMP-0077,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0078,PTY-EMP-0078,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0079,PTY-EMP-0079,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0080,PTY-EMP-0080,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0081,PTY-EMP-0081,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0082,PTY-EMP-0082,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0083,PTY-EMP-0083,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0084,PTY-EMP-0084,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0085,PTY-EMP-0085,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0086,PTY-EMP-0086,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0087,PTY-EMP-0087,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0088,PTY-EMP-0088,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0089,PTY-EMP-0089,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0090,PTY-EMP-0090,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0091,PTY-EMP-0091,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0092,PTY-EMP-0092,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0093,PTY-EMP-0093,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0094,PTY-EMP-0094,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0095,PTY-EMP-0095,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0096,PTY-EMP-0096,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0097,PTY-EMP-0097,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0098,PTY-EMP-0098,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0099,PTY-EMP-0099,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0100,PTY-EMP-0100,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0101,PTY-EMP-0101,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0102,PTY-EMP-0102,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0103,PTY-EMP-0103,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0104,PTY-EMP-0104,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0105,PTY-EMP-0105,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0106,PTY-EMP-0106,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0107,PTY-EMP-0107,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0108,PTY-EMP-0108,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0109,PTY-EMP-0109,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0110,PTY-EMP-0110,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0111,PTY-EMP-0111,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0112,PTY-EMP-0112,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0113,PTY-EMP-0113,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0114,PTY-EMP-0114,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0115,PTY-EMP-0115,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0116,PTY-EMP-0116,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0117,PTY-EMP-0117,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0118,PTY-EMP-0118,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0119,PTY-EMP-0119,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0120,PTY-EMP-0120,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0121,PTY-EMP-0121,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0122,PTY-EMP-0122,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0123,PTY-EMP-0123,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0124,PTY-EMP-0124,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0125,PTY-EMP-0125,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0126,PTY-EMP-0126,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0127,PTY-EMP-0127,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0128,PTY-EMP-0128,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0129,PTY-EMP-0129,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0130,PTY-EMP-0130,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0131,PTY-EMP-0131,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0132,PTY-EMP-0132,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0133,PTY-EMP-0133,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0134,PTY-EMP-0134,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0135,PTY-EMP-0135,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0136,PTY-EMP-0136,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0137,PTY-EMP-0137,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0138,PTY-EMP-0138,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0139,PTY-EMP-0139,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0140,PTY-EMP-0140,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0141,PTY-EMP-0141,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0142,PTY-EMP-0142,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0143,PTY-EMP-0143,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0144,PTY-EMP-0144,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0145,PTY-EMP-0145,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0146,PTY-EMP-0146,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0147,PTY-EMP-0147,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0148,PTY-EMP-0148,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0149,PTY-EMP-0149,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0150,PTY-EMP-0150,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0151,PTY-EMP-0151,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0152,PTY-EMP-0152,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0153,PTY-EMP-0153,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0154,PTY-EMP-0154,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0155,PTY-EMP-0155,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0156,PTY-EMP-0156,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0157,PTY-EMP-0157,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0158,PTY-EMP-0158,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0159,PTY-EMP-0159,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0160,PTY-EMP-0160,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0161,PTY-EMP-0161,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0162,PTY-EMP-0162,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0163,PTY-EMP-0163,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0164,PTY-EMP-0164,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0165,PTY-EMP-0165,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0166,PTY-EMP-0166,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0167,PTY-EMP-0167,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0168,PTY-EMP-0168,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0169,PTY-EMP-0169,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0170,PTY-EMP-0170,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0171,PTY-EMP-0171,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0172,PTY-EMP-0172,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0173,PTY-EMP-0173,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0174,PTY-EMP-0174,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0175,PTY-EMP-0175,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0176,PTY-EMP-0176,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0177,PTY-EMP-0177,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0178,PTY-EMP-0178,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0179,PTY-EMP-0179,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0180,PTY-EMP-0180,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0181,PTY-EMP-0181,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0182,PTY-EMP-0182,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0183,PTY-EMP-0183,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0184,PTY-EMP-0184,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0185,PTY-EMP-0185,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0186,PTY-EMP-0186,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0187,PTY-EMP-0187,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0188,PTY-EMP-0188,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0189,PTY-EMP-0189,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0190,PTY-EMP-0190,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0191,PTY-EMP-0191,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0192,PTY-EMP-0192,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0193,PTY-EMP-0193,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0194,PTY-EMP-0194,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0195,PTY-EMP-0195,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0196,PTY-EMP-0196,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0197,PTY-EMP-0197,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0198,PTY-EMP-0198,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0199,PTY-EMP-0199,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0200,PTY-EMP-0200,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0201,PTY-EMP-0201,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0202,PTY-EMP-0202,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0203,PTY-EMP-0203,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0204,PTY-EMP-0204,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0205,PTY-EMP-0205,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0206,PTY-EMP-0206,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0207,PTY-EMP-0207,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0208,PTY-EMP-0208,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0209,PTY-EMP-0209,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0210,PTY-EMP-0210,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0211,PTY-EMP-0211,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0212,PTY-EMP-0212,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0213,PTY-EMP-0213,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0214,PTY-EMP-0214,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0215,PTY-EMP-0215,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0216,PTY-EMP-0216,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0217,PTY-EMP-0217,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0218,PTY-EMP-0218,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0219,PTY-EMP-0219,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0220,PTY-EMP-0220,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0221,PTY-EMP-0221,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0222,PTY-EMP-0222,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0223,PTY-EMP-0223,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0224,PTY-EMP-0224,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0225,PTY-EMP-0225,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0226,PTY-EMP-0226,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0227,PTY-EMP-0227,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0228,PTY-EMP-0228,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0229,PTY-EMP-0229,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0230,PTY-EMP-0230,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0231,PTY-EMP-0231,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0232,PTY-EMP-0232,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0233,PTY-EMP-0233,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0234,PTY-EMP-0234,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0235,PTY-EMP-0235,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0236,PTY-EMP-0236,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0237,PTY-EMP-0237,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0238,PTY-EMP-0238,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0239,PTY-EMP-0239,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0240,PTY-EMP-0240,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0241,PTY-EMP-0241,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0242,PTY-EMP-0242,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0243,PTY-EMP-0243,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0244,PTY-EMP-0244,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0245,PTY-EMP-0245,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0246,PTY-EMP-0246,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0247,PTY-EMP-0247,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0248,PTY-EMP-0248,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0249,PTY-EMP-0249,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0250,PTY-EMP-0250,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0251,PTY-EMP-0251,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0252,PTY-EMP-0252,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0253,PTY-EMP-0253,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0254,PTY-EMP-0254,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0255,PTY-EMP-0255,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0256,PTY-EMP-0256,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0257,PTY-EMP-0257,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0258,PTY-EMP-0258,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0259,PTY-EMP-0259,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0260,PTY-EMP-0260,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0261,PTY-EMP-0261,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0262,PTY-EMP-0262,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0263,PTY-EMP-0263,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0264,PTY-EMP-0264,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0265,PTY-EMP-0265,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0266,PTY-EMP-0266,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0267,PTY-EMP-0267,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0268,PTY-EMP-0268,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0269,PTY-EMP-0269,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0270,PTY-EMP-0270,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0271,PTY-EMP-0271,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0272,PTY-EMP-0272,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0273,PTY-EMP-0273,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0274,PTY-EMP-0274,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0275,PTY-EMP-0275,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0276,PTY-EMP-0276,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0277,PTY-EMP-0277,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0278,PTY-EMP-0278,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0279,PTY-EMP-0279,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0280,PTY-EMP-0280,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0281,PTY-EMP-0281,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0282,PTY-EMP-0282,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0283,PTY-EMP-0283,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0284,PTY-EMP-0284,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0285,PTY-EMP-0285,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0286,PTY-EMP-0286,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0287,PTY-EMP-0287,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0288,PTY-EMP-0288,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0289,PTY-EMP-0289,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0290,PTY-EMP-0290,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0291,PTY-EMP-0291,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0292,PTY-EMP-0292,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0293,PTY-EMP-0293,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0294,PTY-EMP-0294,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0295,PTY-EMP-0295,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0296,PTY-EMP-0296,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0297,PTY-EMP-0297,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0298,PTY-EMP-0298,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0299,PTY-EMP-0299,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0300,PTY-EMP-0300,ROLE_OPERATOR,STR-013,ACTIVE
