week_id,year_id,start_date,end_date,week_number,retail_quarter
202601,2025,2025-12-29,2026-01-04,1,1
202602,2026,2026-01-05,2026-01-11,2,1
202603,2026,2026-01-12,2026-01-18,3,1
202604,2026,2026-01-19,2026-01-25,4,1
202605,2026,2026-01-26,2026-02-01,5,1
202606,2026,2026-02-02,2026-02-08,6,1
202607,2026,2026-02-09,2026-02-15,7,1
202608,2026,2026-02-16,2026-02-22,8,1
202609,2026,2026-02-23,2026-03-01,9,1
202610,2026,2026-03-02,2026-03-08,10,1
202611,2026,2026-03-09,2026-03-15,11,1
202612,2026,2026-03-16,2026-03-22,12,1
202613,2026,2026-03-23,2026-03-29,13,1
202614,2026,2026-03-30,2026-04-05,14,2
202615,2026,2026-04-06,2026-04-12,15,2
202616,2026,2026-04-13,2026-04-19,16,2
202617,2026,2026-04-20,2026-04-26,17,2
202618,2026,2026-04-27,2026-05-03,18,2
202619,2026,2026-05-04,2026-05-10,19,2
202620,2026,2026-05-11,2026-05-17,20,2
202621,2026,2026-05-18,2026-05-24,21,2
202622,2026,2026-05-25,2026-05-31,22,2
202623,2026,2026-06-01,2026-06-07,23,2
202624,2026,2026-06-08,2026-06-14,24,2
202625,2026,2026-06-15,2026-06-21,25,2
202626,2026,2026-06-22,2026-06-28,26,2
202627,2026,2026-06-29,2026-07-05,27,3
202628,2026,2026-07-06,2026-07-12,28,3
202629,2026,2026-07-13,2026-07-19,29,3
202630,2026,2026-07-20,2026-07-26,30,3
202631,2026,2026-07-27,2026-08-02,31,3
202632,2026,2026-08-03,2026-08-09,32,3
202633,2026,2026-08-10,2026-08-16,33,3
202634,2026,2026-08-17,2026-08-23,34,3
202635,2026,2026-08-24,2026-08-30,35,3
202636,2026,2026-08-31,2026-09-06,36,3
202637,2026,2026-09-07,2026-09-13,37,3
202638,2026,2026-09-14,2026-09-20,38,3
202639,2026,2026-09-21,2026-09-27,39,3
202640,2026,2026-09-28,2026-10-04,40,4
202641,2026,2026-10-05,2026-10-11,41,4
202642,2026,2026-10-12,2026-10-18,42,4
202643,2026,2026-10-19,2026-10-25,43,4
202644,2026,2026-10-26,2026-11-01,44,4
202645,2026,2026-11-02,2026-11-08,45,4
202646,2026,2026-11-09,2026-11-15,46,4
202647,2026,2026-11-16,2026-11-22,47,4
202648,2026,2026-11-23,2026-11-29,48,4
202649,2026,2026-11-30,2026-12-06,49,4
202650,2026,2026-12-07,2026-12-13,50,4
202651,2026,2026-12-14,2026-12-20,51,4
202652,2026,2026-12-21,2026-12-27,52,4
202653,2026,2026-12-28,2027-01-03,53,4
202701,2027,2027-01-04,2027-01-10,1,1
202702,2027,2027-01-11,2027-01-17,2,1
202703,2027,2027-01-18,2027-01-24,3,1
202704,2027,2027-01-25,2027-01-31,4,1
202705,2027,2027-02-01,2027-02-07,5,1
202706,2027,2027-02-08,2027-02-14,6,1
202707,2027,2027-02-15,2027-02-21,7,1
202708,2027,2027-02-22,2027-02-28,8,1
202709,2027,2027-03-01,2027-03-07,9,1
202710,2027,2027-03-08,2027-03-14,10,1
202711,2027,2027-03-15,2027-03-21,11,1
202712,2027,2027-03-22,2027-03-28,12,1
202713,2027,2027-03-29,2027-04-04,13,1
202714,2027,2027-04-05,2027-04-11,14,2
202715,2027,2027-04-12,2027-04-18,15,2
202716,2027,2027-04-19,2027-04-25,16,2
202717,2027,2027-04-26,2027-05-02,17,2
202718,2027,2027-05-03,2027-05-09,18,2
202719,2027,2027-05-10,2027-05-16,19,2
202720,2027,2027-05-17,2027-05-23,20,2
202721,2027,2027-05-24,2027-05-30,21,2
202722,2027,2027-05-31,2027-06-06,22,2
202723,2027,2027-06-07,2027-06-13,23,2
202724,2027,2027-06-14,2027-06-20,24,2
202725,2027,2027-06-21,2027-06-27,25,2
202726,2027,2027-06-28,2027-07-04,26,2
202727,2027,2027-07-05,2027-07-11,27,3
202728,2027,2027-07-12,2027-07-18,28,3
202729,2027,2027-07-19,2027-07-25,29,3
202730,2027,2027-07-26,2027-08-01,30,3
202731,2027,2027-08-02,2027-08-08,31,3
202732,2027,2027-08-09,2027-08-15,32,3
202733,2027,2027-08-16,2027-08-22,33,3
202734,2027,2027-08-23,2027-08-29,34,3
202735,2027,2027-08-30,2027-09-05,35,3
202736,2027,2027-09-06,2027-09-12,36,3
202737,2027,2027-09-13,2027-09-19,37,3
202738,2027,2027-09-20,2027-09-26,38,3
202739,2027,2027-09-27,2027-10-03,39,3
202740,2027,2027-10-04,2027-10-10,40,4
202741,2027,2027-10-11,2027-10-17,41,4
202742,2027,2027-10-18,2027-10-24,42,4
202743,2027,2027-10-25,2027-10-31,43,4
202744,2027,2027-11-01,2027-11-07,44,4
202745,2027,2027-11-08,2027-11-14,45,4
202746,2027,2027-11-15,2027-11-21,46,4
202747,2027,2027-11-22,2027-11-28,47,4
202748,2027,2027-11-29,2027-12-05,48,4
202749,2027,2027-12-06,2027-12-12,49,4
202750,2027,2027-12-13,2027-12-19,50,4
202751,2027,2027-12-20,2027-12-26,51,4
202752,2027,2027-12-27,2027-12-31,52,4
