WEEK,REGION,AVG_TEMPERATURE_C,TEMP_ANOMALY_C,RAINFALL_MM,RAINFALL_ANOMALY_MM,HUMIDITY_PCT,HEAT_INDEX,EXTREME_WEATHER_FLAG,DERIVED_REGIME
13,West,28.2,1.16,0.0,-19.8,67.8,37.4,0,NORMAL
13,Central,29.7,-0.09,13.8,-4.2,36.6,32.8,0,NORMAL
13,Northeast,20.2,-1.32,22.7,-1.7,76.3,24.8,0,NORMAL
14,North,26.4,0.31,15.0,4.5,50.7,30.7,0,NORMAL
14,South,33.9,0.37,10.2,-16.0,63.3,47.5,0,NORMAL
14,East,25.1,1.27,40.2,23.1,60.9,30.5,0,NORMAL
14,West,37.2,-0.36,22.9,17.7,66.8,56.1,0,NORMAL
14,Central,27.2,-1.22,9.4,-4.0,52.6,32.4,0,NORMAL
14,Northeast,21.9,1.05,23.6,15.9,54.9,24.5,0,NORMAL
15,North,26.2,0.24,0.0,-32.6,61.6,32.5,0,NORMAL
15,South,34.5,1.6,1.0,-25.6,74.1,52.2,0,NORMAL
15,East,35.7,1.35,37.6,-21.6,72.0,54.3,0,NORMAL
15,West,35.0,-0.09,6.8,5.5,54.5,47.0,0,NORMAL
15,Central,29.6,2.47,5.4,-4.8,47.1,35.2,0,NORMAL
15,Northeast,32.1,-0.57,25.2,-1.6,66.1,44.6,0,NORMAL
16,North,39.1,-0.12,2.4,0.6,36.6,48.4,0,NORMAL
16,South,33.1,1.45,25.1,-1.7,73.2,48.7,0,NORMAL
16,East,35.1,-0.66,31.5,-18.4,74.9,53.9,0,NORMAL
16,West,35.8,-0.37,13.2,8.6,67.1,52.9,0,NORMAL
16,Central,44.6,1.83,0.0,-36.9,19.2,49.6,1,HEATWAVE
16,Northeast,32.9,-1.09,11.1,-9.7,66.6,46.4,0,NORMAL
17,North,40.0,1.27,14.3,9.8,34.2,49.1,0,NORMAL
17,South,32.8,-0.0,4.1,-15.6,70.6,47.3,0,NORMAL
17,East,31.3,-2.3,48.6,14.1,74.8,45.2,0,NORMAL
17,West,35.7,0.15,0.0,-9.8,55.8,48.9,0,NORMAL
17,Central,38.0,-3.0,11.7,10.3,23.8,41.5,0,NORMAL
17,Northeast,35.9,-0.1,60.2,7.5,65.9,52.7,0,NORMAL
18,North,44.7,1.12,0.0,-11.4,34.7,58.3,1,HEATWAVE
18,South,31.4,-1.2,21.6,3.9,60.9,41.8,0,NORMAL
18,East,37.0,3.34,19.0,-24.2,66.9,55.6,0,NORMAL
18,West,34.6,-0.49,15.7,15.1,68.1,50.5,0,NORMAL
18,Central,40.5,-0.87,39.9,36.5,26.1,46.4,0,NORMAL
18,Northeast,35.0,-1.24,58.8,5.6,77.7,54.5,0,NORMAL
19,North,44.2,0.59,24.6,23.7,26.0,52.6,1,HEATWAVE
19,South,33.6,0.14,15.9,5.9,61.2,46.3,0,NORMAL
19,East,34.8,-0.32,55.1,14.2,69.6,51.4,0,NORMAL
19,West,37.8,1.56,4.9,0.3,64.5,56.6,0,NORMAL
19,Central,42.3,1.07,5.9,1.4,23.1,47.9,1,HEATWAVE
19,Northeast,36.6,0.34,50.2,5.1,68.8,55.4,0,NORMAL
20,North,41.1,-0.58,8.8,6.1,39.6,53.5,1,HEATWAVE
20,South,32.4,-0.98,13.0,7.2,69.5,46.2,0,NORMAL
20,East,35.4,1.54,46.2,-6.7,65.4,51.4,0,NORMAL
20,West,37.1,-0.66,13.4,6.2,70.2,57.1,0,NORMAL
20,Central,41.6,0.2,14.2,12.5,20.1,45.4,1,HEATWAVE
20,Northeast,33.5,-2.79,62.8,36.7,74.2,49.9,0,NORMAL
21,North,40.2,2.14,13.3,8.9,44.3,53.8,0,NORMAL
21,South,32.4,0.53,43.3,23.9,67.6,45.6,0,NORMAL
21,East,39.3,3.05,64.9,7.9,70.0,62.5,0,NORMAL
21,West,35.8,-0.16,0.0,-15.2,50.1,47.2,0,NORMAL
21,Central,44.5,1.52,0.0,-12.3,20.7,50.2,1,HEATWAVE
21,Northeast,34.0,-0.31,0.0,-40.5,67.5,49.0,0,NORMAL
22,North,42.3,-1.22,9.6,7.8,34.2,53.3,1,HEATWAVE
22,South,33.7,-0.2,17.8,0.2,68.9,48.8,0,NORMAL
22,East,36.4,3.08,39.3,-16.6,72.2,56.1,0,NORMAL
22,West,33.3,-3.19,0.0,-5.1,62.3,46.0,0,NORMAL
22,Central,45.7,1.0,0.0,-19.9,24.5,54.4,1,HEATWAVE
22,Northeast,33.0,-0.08,59.4,10.8,71.5,48.0,0,NORMAL
23,North,38.7,0.6,0.0,-15.8,39.9,49.0,0,NORMAL
23,South,31.6,-0.28,200.2,-5.4,96.3,51.6,0,HEAVY_RAIN
23,East,28.7,-2.0,235.7,26.5,85.4,42.2,0,HEAVY_RAIN
23,West,26.8,-0.98,0.0,-19.2,59.3,33.1,0,NORMAL
23,Central,44.2,1.17,1.7,-0.5,23.4,51.2,1,HEATWAVE
23,Northeast,30.7,1.62,204.3,-20.2,94.8,49.0,0,HEAVY_RAIN
24,North,37.3,-1.55,5.7,1.5,39.8,46.4,0,NORMAL
24,South,33.2,0.66,198.0,3.8,95.4,55.4,0,HEAVY_RAIN
24,East,30.3,-0.19,331.7,12.1,88.6,46.5,1,FLOOD_RISK
24,West,25.3,-2.84,177.7,2.8,92.3,36.6,0,HEAVY_RAIN
24,Central,29.0,1.61,0.0,-13.3,41.1,32.8,0,NORMAL
24,Northeast,28.1,-2.1,306.4,-12.9,100.0,44.1,1,FLOOD_RISK
25,North,24.1,-0.01,0.3,-9.9,51.8,27.3,0,NORMAL
25,South,34.2,1.18,106.6,-0.5,86.4,55.3,0,MONSOON_ONSET
25,East,31.3,0.6,272.4,8.0,85.2,47.9,1,FLOOD_RISK
25,West,30.6,1.12,214.7,-1.1,88.1,47.1,0,HEAVY_RAIN
25,Central,28.1,0.98,22.4,9.3,52.0,33.8,0,NORMAL
25,Northeast,32.4,1.27,226.3,6.4,92.5,52.5,0,HEAVY_RAIN
26,North,30.7,0.54,156.3,-3.2,96.7,49.5,0,HEAVY_RAIN
26,South,32.9,-0.1,142.5,1.4,91.0,53.4,0,NORMAL
26,East,28.3,-1.25,208.1,19.2,85.3,41.4,0,HEAVY_RAIN
26,West,28.9,0.16,268.8,15.5,90.8,43.9,1,FLOOD_RISK
26,Central,32.5,0.86,199.2,0.7,82.6,50.0,0,HEAVY_RAIN
26,Northeast,29.2,-0.82,268.5,-6.7,98.1,46.2,1,FLOOD_RISK
27,North,30.6,-0.36,171.2,-12.1,76.8,44.3,0,HEAVY_RAIN
27,South,30.0,-1.26,96.2,-0.5,81.0,44.0,0,NORMAL
27,East,29.8,-0.2,310.7,-12.4,95.0,46.9,1,FLOOD_RISK
27,West,27.6,-0.8,350.6,2.5,89.5,40.8,1,FLOOD_RISK
27,Central,30.0,-0.62,173.0,-9.0,80.6,43.9,0,HEAVY_RAIN
27,Northeast,29.1,-0.75,195.2,21.3,96.9,45.7,0,HEAVY_RAIN
28,North,31.1,-0.85,90.9,-10.6,98.4,50.9,0,NORMAL
28,South,33.1,1.13,95.4,-9.2,92.0,54.2,0,NORMAL
28,East,31.9,0.65,405.7,16.3,94.5,51.9,1,FLOOD_RISK
28,West,29.2,0.13,217.8,-0.5,93.8,45.2,0,HEAVY_RAIN
28,Central,24.6,-4.18,122.1,-13.1,90.2,34.8,0,NORMAL
28,Northeast,30.3,0.41,331.5,8.8,91.8,47.3,1,FLOOD_RISK
29,North,32.8,0.49,182.9,10.7,93.5,53.8,0,HEAVY_RAIN
29,South,33.1,1.03,186.5,-2.5,91.7,54.1,0,HEAVY_RAIN
29,East,30.3,0.5,344.4,6.0,86.6,46.0,1,FLOOD_RISK
29,West,28.7,0.0,249.2,-20.4,100.0,45.5,0,HEAVY_RAIN
29,Central,31.0,0.32,180.4,-6.0,89.9,48.5,0,HEAVY_RAIN
29,Northeast,29.9,0.06,305.1,-6.7,98.6,48.0,1,FLOOD_RISK
30,North,28.4,-2.17,193.6,14.5,74.9,39.3,0,HEAVY_RAIN
30,South,32.4,0.15,237.4,-8.4,95.7,53.4,0,HEAVY_RAIN
30,East,30.7,-0.16,135.4,-30.5,87.5,47.2,0,NORMAL
30,West,30.4,1.3,175.8,-21.7,91.4,47.4,0,HEAVY_RAIN
30,Central,30.4,1.35,246.9,19.7,86.1,46.1,0,HEAVY_RAIN
30,Northeast,30.0,-1.38,237.8,-22.9,91.9,46.6,0,HEAVY_RAIN
31,North,32.1,-0.85,127.3,-10.0,93.1,52.0,0,NORMAL
31,South,30.5,-0.28,233.4,5.1,88.5,47.0,0,HEAVY_RAIN
31,East,29.8,-1.13,367.5,4.8,99.4,48.0,1,FLOOD_RISK
31,West,29.8,0.59,154.5,-10.1,92.0,46.2,0,HEAVY_RAIN
31,Central,27.3,-1.91,187.2,8.5,74.2,37.0,0,HEAVY_RAIN
31,Northeast,31.3,1.19,156.0,-6.8,78.7,46.3,0,HEAVY_RAIN
32,North,32.1,0.45,128.0,7.2,88.8,50.8,0,NORMAL
32,South,29.2,-0.69,128.6,-0.1,91.3,44.7,0,NORMAL
32,East,29.5,-1.05,329.2,0.6,92.0,45.5,1,FLOOD_RISK
32,West,28.1,-0.1,250.4,27.0,88.6,41.7,1,FLOOD_RISK
32,Central,31.6,0.33,120.0,-12.0,83.3,48.1,0,NORMAL
32,Northeast,31.6,0.43,347.1,15.7,94.6,51.1,1,FLOOD_RISK
33,North,29.5,-0.24,225.1,19.8,87.2,44.4,0,HEAVY_RAIN
33,South,33.8,2.62,93.3,-9.8,79.5,52.2,0,NORMAL
33,East,29.9,-1.24,204.7,-7.9,100.0,48.3,0,HEAVY_RAIN
33,West,30.6,1.36,257.2,0.6,94.7,48.7,1,FLOOD_RISK
33,Central,30.5,1.31,207.1,-1.7,79.0,44.6,0,HEAVY_RAIN
33,Northeast,31.1,1.05,246.4,3.4,93.3,49.6,0,HEAVY_RAIN
34,North,29.1,-1.96,172.9,-8.6,87.1,43.5,0,HEAVY_RAIN
34,South,29.8,0.22,180.3,-9.4,90.7,45.9,0,HEAVY_RAIN
34,East,31.2,0.39,373.8,-4.4,82.6,47.0,1,FLOOD_RISK
34,West,30.1,-0.06,250.7,17.2,86.5,45.6,1,FLOOD_RISK
34,Central,30.0,0.97,143.9,-18.7,94.8,47.3,0,NORMAL
34,Northeast,28.5,-0.85,394.0,1.2,87.5,42.3,1,FLOOD_RISK
35,North,31.5,0.78,175.1,-20.9,81.1,47.3,0,HEAVY_RAIN
35,South,29.8,0.62,1.1,-4.8,77.3,42.7,0,NORMAL
35,East,30.8,-0.36,359.1,5.7,92.2,48.6,1,FLOOD_RISK
35,West,27.5,-0.66,262.5,11.0,96.9,42.1,1,FLOOD_RISK
35,Central,29.8,0.17,188.0,6.8,75.3,42.2,0,HEAVY_RAIN
35,Northeast,31.6,1.3,293.9,16.6,91.2,50.2,1,FLOOD_RISK
36,North,30.5,0.33,164.5,-9.8,97.6,49.2,0,HEAVY_RAIN
36,South,28.7,-0.2,24.6,2.3,73.7,39.6,0,NORMAL
36,East,29.7,-0.54,309.3,1.0,97.8,47.3,1,FLOOD_RISK
36,West,29.4,0.54,27.7,24.5,56.4,37.0,0,NORMAL
36,Central,28.1,1.21,11.1,-3.8,51.0,33.5,0,NORMAL
36,Northeast,32.6,1.72,388.6,17.8,87.0,51.5,1,FLOOD_RISK
37,North,29.6,1.55,16.3,-3.9,61.3,38.5,0,NORMAL
37,South,27.0,-1.23,37.0,23.9,63.0,34.2,0,NORMAL
37,East,20.0,-1.55,5.0,-9.0,64.1,22.9,0,NORMAL
37,West,28.0,-0.84,24.0,14.7,56.0,34.5,0,NORMAL
37,Central,26.9,-1.39,0.0,-23.0,39.7,29.3,0,NORMAL
37,Northeast,19.9,-2.19,26.1,8.9,74.0,24.0,0,NORMAL
38,North,28.5,-0.3,11.3,5.9,48.3,33.6,0,NORMAL
38,South,28.8,0.66,2.3,-14.8,60.5,36.9,0,NORMAL
38,East,25.0,1.82,27.4,11.6,62.9,30.7,0,NORMAL
38,West,25.0,-1.9,4.3,1.6,56.2,29.5,0,NORMAL
38,Central,30.7,1.68,5.5,-1.1,41.8,35.7,0,NORMAL
38,Northeast,22.6,0.08,24.7,0.7,69.1,27.7,0,NORMAL
39,North,26.5,1.38,4.7,-4.5,56.4,32.0,0,NORMAL
39,South,29.1,0.9,20.1,-4.4,67.9,39.1,0,NORMAL
39,East,25.3,2.67,0.0,-18.6,70.9,32.7,0,NORMAL
39,West,28.6,-0.88,4.0,0.7,51.0,34.4,0,NORMAL
39,Central,30.4,1.75,0.0,-25.3,39.4,34.6,0,NORMAL
39,Northeast,20.5,-0.0,44.1,25.2,64.4,23.7,0,NORMAL
40,North,27.8,0.36,16.8,-8.0,42.7,31.3,0,NORMAL
40,South,28.2,0.68,0.0,-8.7,70.4,37.9,0,NORMAL
40,East,20.0,-0.91,12.6,0.5,59.2,22.2,0,NORMAL
40,West,29.2,0.84,0.0,-29.9,60.9,37.7,0,NORMAL
40,Central,28.5,0.83,44.2,29.2,49.1,33.8,0,NORMAL
40,Northeast,22.3,2.07,24.3,8.1,71.6,27.6,0,NORMAL
41,North,26.9,1.9,11.1,-4.6,50.9,31.6,0,NORMAL
41,South,27.6,-1.46,11.8,-16.4,62.6,35.2,0,NORMAL
41,East,24.1,0.09,41.9,18.4,65.9,29.7,0,NORMAL
41,West,29.4,0.27,12.5,10.6,65.3,39.1,0,NORMAL
41,Central,25.8,-0.85,5.9,-3.6,39.2,27.6,0,NORMAL
41,Northeast,22.1,0.85,18.7,5.8,74.2,27.7,0,NORMAL
42,North,28.1,-0.46,21.9,7.0,63.5,36.2,0,NORMAL
42,South,30.4,1.4,218.9,-10.0,95.1,48.4,0,HEAVY_RAIN
42,East,19.1,-1.24,32.8,19.7,62.8,21.3,0,NORMAL
42,West,29.6,0.2,1.6,-0.4,65.4,39.5,0,NORMAL
42,Central,25.6,-3.03,17.5,1.0,36.5,26.8,0,NORMAL
42,Northeast,19.1,-1.19,6.3,0.8,63.6,21.4,0,NORMAL
43,North,25.4,-3.47,18.0,4.4,52.1,29.4,0,NORMAL
43,South,26.1,-0.95,185.9,-3.2,94.2,38.6,0,HEAVY_RAIN
43,East,19.6,-0.68,18.7,-6.2,59.8,21.7,0,NORMAL
43,West,26.0,-0.85,12.8,2.4,50.9,30.1,0,NORMAL
43,Central,29.9,0.6,48.5,34.3,36.5,33.1,0,NORMAL
43,Northeast,23.3,-0.25,0.0,-17.6,57.5,27.0,0,NORMAL
44,North,28.1,-0.04,17.1,-2.6,59.2,35.3,0,NORMAL
44,South,26.9,-0.02,189.4,-22.2,82.6,37.9,0,HEAVY_RAIN
44,East,18.9,-1.19,9.3,-0.5,68.8,21.8,0,NORMAL
44,West,31.9,2.47,0.0,-6.6,54.7,41.1,0,NORMAL
44,Central,28.0,-1.05,0.0,-34.1,41.5,31.3,0,NORMAL
44,Northeast,24.1,0.25,11.6,-9.1,70.2,30.4,0,NORMAL
45,North,25.2,-0.11,35.6,13.8,50.0,28.7,0,NORMAL
45,South,29.7,1.46,192.4,0.5,86.9,44.8,0,HEAVY_RAIN
45,East,20.3,-0.27,21.1,1.4,68.4,23.9,0,NORMAL
45,West,26.2,-0.55,0.0,-20.2,47.3,29.7,0,NORMAL
45,Central,27.2,-0.54,10.1,-6.5,45.8,31.0,0,NORMAL
45,Northeast,22.2,-0.85,25.2,14.9,58.0,25.4,0,NORMAL
46,North,27.5,0.34,0.0,-13.9,51.0,32.6,0,NORMAL
46,South,28.6,1.47,87.0,-9.7,97.3,44.7,0,NORMAL
46,East,24.8,0.89,25.9,8.9,66.2,30.9,0,NORMAL
46,West,28.1,0.43,0.0,-15.7,47.5,32.8,0,NORMAL
46,Central,27.5,-0.58,9.2,-5.0,49.8,32.3,0,NORMAL
46,Northeast,22.4,-0.2,8.2,-2.5,73.1,28.0,0,NORMAL
47,North,28.8,1.07,25.2,11.0,58.7,36.4,0,NORMAL
47,South,27.5,0.6,35.6,6.0,72.1,37.0,0,NORMAL
47,East,23.9,0.59,20.2,10.9,74.5,30.8,0,NORMAL
47,West,29.6,1.29,15.8,11.3,59.6,38.1,0,NORMAL
47,Central,28.4,-0.3,16.1,-0.3,39.9,31.6,0,NORMAL
47,Northeast,22.9,-1.11,0.0,-8.7,67.8,28.0,0,NORMAL
48,North,11.4,-1.44,15.9,6.7,83.3,12.1,0,NORMAL
48,South,26.0,-0.73,0.0,-21.7,68.1,33.4,0,NORMAL
48,East,22.7,2.07,5.1,-6.0,73.8,28.6,0,NORMAL
48,West,29.0,1.12,23.7,17.5,58.7,36.8,0,NORMAL
48,Central,13.7,-0.68,7.5,2.8,54.2,12.9,0,NORMAL
48,Northeast,24.7,2.41,7.7,-9.4,72.6,31.9,0,NORMAL
49,North,14.7,1.34,3.0,-9.7,77.8,16.4,0,NORMAL
49,South,27.3,0.82,5.2,-10.8,56.6,33.4,0,NORMAL
49,East,20.6,0.23,18.1,8.7,74.6,25.2,0,NORMAL
49,West,28.0,-1.29,0.0,-5.6,59.4,35.2,0,NORMAL
49,Central,14.6,-1.69,0.0,-17.6,42.1,13.0,0,NORMAL
49,Northeast,23.0,0.93,4.0,-7.0,69.3,28.4,0,NORMAL
50,North,14.5,0.62,5.3,-8.0,78.3,16.2,0,NORMAL
50,South,21.9,-3.45,0.0,-43.1,70.4,26.8,0,NORMAL
50,East,21.7,-1.2,24.8,4.5,64.7,25.6,0,NORMAL
50,West,31.3,1.47,0.0,-14.6,48.2,38.3,0,NORMAL
50,Central,16.1,1.1,0.0,-12.0,49.5,15.6,0,NORMAL
50,Northeast,19.9,-0.33,16.3,1.5,57.1,21.8,0,NORMAL
51,North,14.7,0.3,8.6,1.3,74.1,16.1,0,NORMAL
51,South,25.1,0.12,27.4,11.9,60.1,30.4,0,NORMAL
51,East,20.9,0.1,21.5,5.2,64.5,24.3,0,NORMAL
51,West,26.6,-0.38,6.4,3.0,57.2,32.3,0,NORMAL
51,Central,15.7,-0.35,3.2,2.3,58.3,16.0,0,NORMAL
51,Northeast,22.5,2.17,20.7,6.5,70.0,27.7,0,NORMAL
52,North,15.6,0.74,38.9,30.9,73.3,17.3,0,NORMAL
52,South,25.9,-0.87,7.1,-9.4,62.6,32.2,0,NORMAL
52,East,21.2,0.15,32.7,24.4,65.9,25.0,0,NORMAL
52,West,29.3,-0.3,17.9,4.8,53.5,36.1,0,NORMAL
52,Central,18.1,1.06,0.0,-1.2,40.8,17.3,0,NORMAL
52,Northeast,24.3,3.83,37.7,19.6,70.6,30.8,0,NORMAL
