EVENT_ID_1,EVENT_ID_2,INTERACTION_TYPE,INTERACTION_CAP,DESCRIPTION
EV002,EV154,AMPLIFICATION,5.0,New Year Clearance Sales + Thaipusam
EV002,EV155,AMPLIFICATION,5.0,New Year Clearance Sales + Magh Bihu / Bhogali Bihu
EV002,EV162,AMPLIFICATION,5.0,New Year Clearance Sales + Goa Carnival / Pre-Lent Tourism
EV002,EV170,AMPLIFICATION,4.0,New Year Clearance Sales + Wedding Retail Inventory Build-Up — Summer
EV002,EV171,AMPLIFICATION,4.5,New Year Clearance Sales + Winter Transition — Southern India
EV003,EV004,ATTENUATION,3.5,Winter Peak / Cold Wave + Lohri
EV003,EV005,ATTENUATION,3.5,Winter Peak / Cold Wave + Bhogi
EV003,EV006,ATTENUATION,3.5,Winter Peak / Cold Wave + Makar Sankranti
EV003,EV007,ATTENUATION,3.5,Winter Peak / Cold Wave + Pongal
EV003,EV008,ATTENUATION,3.5,Winter Peak / Cold Wave + Mattu Pongal
EV003,EV009,ATTENUATION,3.5,Winter Peak / Cold Wave + Vasant Panchami / Basant Panchami
EV003,EV011,AMPLIFICATION,4.5,Winter Peak / Cold Wave + Republic Day E-commerce Sale
EV003,EV012,AMPLIFICATION,4.5,Winter Peak / Cold Wave + Valentine's Week
EV003,EV013,AMPLIFICATION,4.5,Winter Peak / Cold Wave + Valentine's Day
EV003,EV015,AMPLIFICATION,4.5,Winter Peak / Cold Wave + Winter Clearance / End of Season Sale
EV003,EV016,ATTENUATION,3.5,Winter Peak / Cold Wave + Wedding Season — Winter Peak II
EV003,EV017,ATTENUATION,3.5,Winter Peak / Cold Wave + Exam Preparation Cycle
EV003,EV019,ATTENUATION,3.5,Winter Peak / Cold Wave + Holi Preparation
EV003,EV020,ATTENUATION,3.5,Winter Peak / Cold Wave + Holika Dahan
EV003,EV021,ATTENUATION,3.5,Winter Peak / Cold Wave + Holi
EV003,EV029,ATTENUATION,3.5,Winter Peak / Cold Wave + Financial Year-End Shopping
EV003,EV030,ATTENUATION,3.5,Winter Peak / Cold Wave + Tax-Saving Purchase Cycle
EV003,EV145,ATTENUATION,3.5,Winter Peak / Cold Wave + Academic New Year Preparation
EV003,EV146,ATTENUATION,3.5,Winter Peak / Cold Wave + School Admissions Cycle
EV003,EV153,ATTENUATION,3.5,Winter Peak / Cold Wave + Makaravilakku / Sabarimala Pilgrimage Season
EV003,EV154,ATTENUATION,3.5,Winter Peak / Cold Wave + Thaipusam
EV003,EV155,ATTENUATION,3.5,Winter Peak / Cold Wave + Magh Bihu / Bhogali Bihu
EV003,EV162,ATTENUATION,3.5,Winter Peak / Cold Wave + Goa Carnival / Pre-Lent Tourism
EV003,EV170,ATTENUATION,3.5,Winter Peak / Cold Wave + Wedding Retail Inventory Build-Up — Summer
EV003,EV172,AMPLIFICATION,4.5,Winter Peak / Cold Wave + Valentine's Pre-Season Demand Build
EV004,EV005,SATURATION,4.0,Lohri + Bhogi
EV004,EV006,SATURATION,4.0,Lohri + Makar Sankranti
EV004,EV007,SATURATION,4.0,Lohri + Pongal
EV004,EV008,SATURATION,4.0,Lohri + Mattu Pongal
EV004,EV009,SATURATION,4.0,Lohri + Vasant Panchami / Basant Panchami
EV004,EV011,AMPLIFICATION,5.0,Lohri + Republic Day E-commerce Sale
EV004,EV012,AMPLIFICATION,5.0,Lohri + Valentine's Week
EV004,EV015,AMPLIFICATION,5.0,Lohri + Winter Clearance / End of Season Sale
EV004,EV153,SATURATION,4.0,Lohri + Makaravilakku / Sabarimala Pilgrimage Season
EV004,EV154,SATURATION,4.0,Lohri + Thaipusam
EV004,EV155,SATURATION,4.0,Lohri + Magh Bihu / Bhogali Bihu
EV004,EV171,ATTENUATION,3.5,Lohri + Winter Transition — Southern India
EV004,EV172,AMPLIFICATION,5.0,Lohri + Valentine's Pre-Season Demand Build
EV005,EV006,SATURATION,4.0,Bhogi + Makar Sankranti
EV005,EV007,SATURATION,4.0,Bhogi + Pongal
EV005,EV008,SATURATION,4.0,Bhogi + Mattu Pongal
EV005,EV009,SATURATION,4.0,Bhogi + Vasant Panchami / Basant Panchami
EV005,EV011,AMPLIFICATION,5.0,Bhogi + Republic Day E-commerce Sale
EV005,EV012,AMPLIFICATION,5.0,Bhogi + Valentine's Week
EV005,EV015,AMPLIFICATION,5.0,Bhogi + Winter Clearance / End of Season Sale
EV005,EV153,SATURATION,4.0,Bhogi + Makaravilakku / Sabarimala Pilgrimage Season
EV005,EV154,SATURATION,4.0,Bhogi + Thaipusam
EV005,EV155,SATURATION,4.0,Bhogi + Magh Bihu / Bhogali Bihu
EV005,EV171,ATTENUATION,3.5,Bhogi + Winter Transition — Southern India
EV005,EV172,AMPLIFICATION,5.0,Bhogi + Valentine's Pre-Season Demand Build
EV006,EV007,SATURATION,4.0,Makar Sankranti + Pongal
EV006,EV008,SATURATION,4.0,Makar Sankranti + Mattu Pongal
EV006,EV009,SATURATION,4.0,Makar Sankranti + Vasant Panchami / Basant Panchami
EV006,EV011,AMPLIFICATION,5.0,Makar Sankranti + Republic Day E-commerce Sale
EV006,EV012,AMPLIFICATION,5.0,Makar Sankranti + Valentine's Week
EV006,EV013,AMPLIFICATION,5.0,Makar Sankranti + Valentine's Day
EV006,EV015,AMPLIFICATION,5.0,Makar Sankranti + Winter Clearance / End of Season Sale
EV006,EV153,SATURATION,4.0,Makar Sankranti + Makaravilakku / Sabarimala Pilgrimage Season
EV006,EV154,SATURATION,4.0,Makar Sankranti + Thaipusam
EV006,EV155,SATURATION,4.0,Makar Sankranti + Magh Bihu / Bhogali Bihu
EV006,EV162,SATURATION,4.0,Makar Sankranti + Goa Carnival / Pre-Lent Tourism
EV006,EV171,ATTENUATION,3.5,Makar Sankranti + Winter Transition — Southern India
EV006,EV172,AMPLIFICATION,5.0,Makar Sankranti + Valentine's Pre-Season Demand Build
EV007,EV008,SATURATION,4.0,Pongal + Mattu Pongal
EV007,EV009,SATURATION,4.0,Pongal + Vasant Panchami / Basant Panchami
EV007,EV011,AMPLIFICATION,5.0,Pongal + Republic Day E-commerce Sale
EV007,EV012,AMPLIFICATION,5.0,Pongal + Valentine's Week
EV007,EV013,AMPLIFICATION,5.0,Pongal + Valentine's Day
EV007,EV015,AMPLIFICATION,5.0,Pongal + Winter Clearance / End of Season Sale
EV007,EV019,SATURATION,4.0,Pongal + Holi Preparation
EV007,EV153,SATURATION,4.0,Pongal + Makaravilakku / Sabarimala Pilgrimage Season
EV007,EV154,SATURATION,4.0,Pongal + Thaipusam
EV007,EV155,SATURATION,4.0,Pongal + Magh Bihu / Bhogali Bihu
EV007,EV162,SATURATION,4.0,Pongal + Goa Carnival / Pre-Lent Tourism
EV007,EV171,ATTENUATION,3.5,Pongal + Winter Transition — Southern India
EV007,EV172,AMPLIFICATION,5.0,Pongal + Valentine's Pre-Season Demand Build
EV008,EV009,SATURATION,4.0,Mattu Pongal + Vasant Panchami / Basant Panchami
EV008,EV011,AMPLIFICATION,5.0,Mattu Pongal + Republic Day E-commerce Sale
EV008,EV012,AMPLIFICATION,5.0,Mattu Pongal + Valentine's Week
EV008,EV013,AMPLIFICATION,5.0,Mattu Pongal + Valentine's Day
EV008,EV015,AMPLIFICATION,5.0,Mattu Pongal + Winter Clearance / End of Season Sale
EV008,EV153,SATURATION,4.0,Mattu Pongal + Makaravilakku / Sabarimala Pilgrimage Season
EV008,EV154,SATURATION,4.0,Mattu Pongal + Thaipusam
EV008,EV155,SATURATION,4.0,Mattu Pongal + Magh Bihu / Bhogali Bihu
EV008,EV162,SATURATION,4.0,Mattu Pongal + Goa Carnival / Pre-Lent Tourism
EV008,EV171,ATTENUATION,3.5,Mattu Pongal + Winter Transition — Southern India
EV008,EV172,AMPLIFICATION,5.0,Mattu Pongal + Valentine's Pre-Season Demand Build
EV009,EV011,AMPLIFICATION,5.0,Vasant Panchami / Basant Panchami + Republic Day E-commerce Sale
EV009,EV012,AMPLIFICATION,5.0,Vasant Panchami / Basant Panchami + Valentine's Week
EV009,EV013,AMPLIFICATION,5.0,Vasant Panchami / Basant Panchami + Valentine's Day
EV009,EV015,AMPLIFICATION,5.0,Vasant Panchami / Basant Panchami + Winter Clearance / End of Season Sale
EV009,EV019,SATURATION,4.0,Vasant Panchami / Basant Panchami + Holi Preparation
EV009,EV153,SATURATION,4.0,Vasant Panchami / Basant Panchami + Makaravilakku / Sabarimala Pilgrimage Season
EV009,EV154,SATURATION,4.0,Vasant Panchami / Basant Panchami + Thaipusam
EV009,EV155,SATURATION,4.0,Vasant Panchami / Basant Panchami + Magh Bihu / Bhogali Bihu
EV009,EV162,SATURATION,4.0,Vasant Panchami / Basant Panchami + Goa Carnival / Pre-Lent Tourism
EV009,EV171,ATTENUATION,3.5,Vasant Panchami / Basant Panchami + Winter Transition — Southern India
EV009,EV172,AMPLIFICATION,5.0,Vasant Panchami / Basant Panchami + Valentine's Pre-Season Demand Build
EV011,EV016,AMPLIFICATION,4.0,Republic Day E-commerce Sale + Wedding Season — Winter Peak II
EV011,EV017,AMPLIFICATION,4.0,Republic Day E-commerce Sale + Exam Preparation Cycle
EV011,EV018,AMPLIFICATION,4.5,Republic Day E-commerce Sale + Spring Transition
EV011,EV019,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Holi Preparation
EV011,EV021,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Holi
EV011,EV030,AMPLIFICATION,4.0,Republic Day E-commerce Sale + Tax-Saving Purchase Cycle
EV011,EV145,AMPLIFICATION,4.0,Republic Day E-commerce Sale + Academic New Year Preparation
EV011,EV146,AMPLIFICATION,4.0,Republic Day E-commerce Sale + School Admissions Cycle
EV011,EV153,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Makaravilakku / Sabarimala Pilgrimage Season
EV011,EV154,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Thaipusam
EV011,EV155,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Magh Bihu / Bhogali Bihu
EV011,EV162,AMPLIFICATION,5.0,Republic Day E-commerce Sale + Goa Carnival / Pre-Lent Tourism
EV011,EV170,AMPLIFICATION,4.0,Republic Day E-commerce Sale + Wedding Retail Inventory Build-Up — Summer
EV011,EV171,AMPLIFICATION,4.5,Republic Day E-commerce Sale + Winter Transition — Southern India
EV012,EV016,AMPLIFICATION,4.0,Valentine's Week + Wedding Season — Winter Peak II
EV012,EV017,AMPLIFICATION,4.0,Valentine's Week + Exam Preparation Cycle
EV012,EV018,AMPLIFICATION,4.5,Valentine's Week + Spring Transition
EV012,EV019,AMPLIFICATION,5.0,Valentine's Week + Holi Preparation
EV012,EV020,AMPLIFICATION,5.0,Valentine's Week + Holika Dahan
EV012,EV021,AMPLIFICATION,5.0,Valentine's Week + Holi
EV012,EV029,AMPLIFICATION,4.0,Valentine's Week + Financial Year-End Shopping
EV012,EV030,AMPLIFICATION,4.0,Valentine's Week + Tax-Saving Purchase Cycle
EV012,EV145,AMPLIFICATION,4.0,Valentine's Week + Academic New Year Preparation
EV012,EV146,AMPLIFICATION,4.0,Valentine's Week + School Admissions Cycle
EV012,EV153,AMPLIFICATION,5.0,Valentine's Week + Makaravilakku / Sabarimala Pilgrimage Season
EV012,EV154,AMPLIFICATION,5.0,Valentine's Week + Thaipusam
EV012,EV155,AMPLIFICATION,5.0,Valentine's Week + Magh Bihu / Bhogali Bihu
EV012,EV162,AMPLIFICATION,5.0,Valentine's Week + Goa Carnival / Pre-Lent Tourism
EV012,EV170,AMPLIFICATION,4.0,Valentine's Week + Wedding Retail Inventory Build-Up — Summer
EV012,EV171,AMPLIFICATION,4.5,Valentine's Week + Winter Transition — Southern India
EV013,EV016,AMPLIFICATION,4.0,Valentine's Day + Wedding Season — Winter Peak II
EV013,EV017,AMPLIFICATION,4.0,Valentine's Day + Exam Preparation Cycle
EV013,EV018,AMPLIFICATION,4.5,Valentine's Day + Spring Transition
EV013,EV019,AMPLIFICATION,5.0,Valentine's Day + Holi Preparation
EV013,EV020,AMPLIFICATION,5.0,Valentine's Day + Holika Dahan
EV013,EV021,AMPLIFICATION,5.0,Valentine's Day + Holi
EV013,EV029,AMPLIFICATION,4.0,Valentine's Day + Financial Year-End Shopping
EV013,EV030,AMPLIFICATION,4.0,Valentine's Day + Tax-Saving Purchase Cycle
EV013,EV145,AMPLIFICATION,4.0,Valentine's Day + Academic New Year Preparation
EV013,EV146,AMPLIFICATION,4.0,Valentine's Day + School Admissions Cycle
EV013,EV153,AMPLIFICATION,5.0,Valentine's Day + Makaravilakku / Sabarimala Pilgrimage Season
EV013,EV154,AMPLIFICATION,5.0,Valentine's Day + Thaipusam
EV013,EV155,AMPLIFICATION,5.0,Valentine's Day + Magh Bihu / Bhogali Bihu
EV013,EV162,AMPLIFICATION,5.0,Valentine's Day + Goa Carnival / Pre-Lent Tourism
EV013,EV170,AMPLIFICATION,4.0,Valentine's Day + Wedding Retail Inventory Build-Up — Summer
EV013,EV171,AMPLIFICATION,4.5,Valentine's Day + Winter Transition — Southern India
EV015,EV016,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Wedding Season — Winter Peak II
EV015,EV017,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Exam Preparation Cycle
EV015,EV018,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Spring Transition
EV015,EV019,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Holi Preparation
EV015,EV020,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Holika Dahan
EV015,EV021,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Holi
EV015,EV024,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Ugadi
EV015,EV025,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Gudi Padwa
EV015,EV029,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Financial Year-End Shopping
EV015,EV030,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Tax-Saving Purchase Cycle
EV015,EV031,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Baisakhi
EV015,EV032,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Tamil Puthandu
EV015,EV033,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Vishu
EV015,EV034,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Poila Boishakh
EV015,EV035,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Rongali / Bohag Bihu
EV015,EV036,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Maha Vishuba Sankranti
EV015,EV039,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Summer Onset
EV015,EV040,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Akshaya Tritiya
EV015,EV041,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Peak Summer / Heatwave
EV015,EV043,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Summer Vacation Planning
EV015,EV046,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Peak Summer Cooling Demand
EV015,EV050,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Wedding Season — Summer Peak
EV015,EV051,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Exam Season / School Year-End
EV015,EV133,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Extreme Heatwave Alert
EV015,EV145,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Academic New Year Preparation
EV015,EV146,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + School Admissions Cycle
EV015,EV148,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Summer Vacation Peak
EV015,EV153,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Makaravilakku / Sabarimala Pilgrimage Season
EV015,EV154,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Thaipusam
EV015,EV155,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Magh Bihu / Bhogali Bihu
EV015,EV156,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Vaisakhi Gurdwara / Community Celebration
EV015,EV162,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Goa Carnival / Pre-Lent Tourism
EV015,EV170,AMPLIFICATION,4.0,Winter Clearance / End of Season Sale + Wedding Retail Inventory Build-Up — Summer
EV015,EV171,AMPLIFICATION,4.5,Winter Clearance / End of Season Sale + Winter Transition — Southern India
EV015,EV173,AMPLIFICATION,5.0,Winter Clearance / End of Season Sale + Bihu / Regional New Year Travel & Gifting Build
EV016,EV018,ATTENUATION,3.5,Wedding Season — Winter Peak II + Spring Transition
EV016,EV039,ATTENUATION,3.5,Wedding Season — Winter Peak II + Summer Onset
EV016,EV041,ATTENUATION,3.5,Wedding Season — Winter Peak II + Peak Summer / Heatwave
EV016,EV133,ATTENUATION,3.5,Wedding Season — Winter Peak II + Extreme Heatwave Alert
EV016,EV171,ATTENUATION,3.5,Wedding Season — Winter Peak II + Winter Transition — Southern India
EV016,EV172,AMPLIFICATION,4.0,Wedding Season — Winter Peak II + Valentine's Pre-Season Demand Build
EV017,EV018,ATTENUATION,3.5,Exam Preparation Cycle + Spring Transition
EV017,EV039,ATTENUATION,3.5,Exam Preparation Cycle + Summer Onset
EV017,EV041,ATTENUATION,3.5,Exam Preparation Cycle + Peak Summer / Heatwave
EV017,EV046,ATTENUATION,3.5,Exam Preparation Cycle + Peak Summer Cooling Demand
EV017,EV133,ATTENUATION,3.5,Exam Preparation Cycle + Extreme Heatwave Alert
EV017,EV171,ATTENUATION,3.5,Exam Preparation Cycle + Winter Transition — Southern India
EV017,EV172,AMPLIFICATION,4.0,Exam Preparation Cycle + Valentine's Pre-Season Demand Build
EV018,EV019,ATTENUATION,3.5,Spring Transition + Holi Preparation
EV018,EV020,ATTENUATION,3.5,Spring Transition + Holika Dahan
EV018,EV021,ATTENUATION,3.5,Spring Transition + Holi
EV018,EV024,ATTENUATION,3.5,Spring Transition + Ugadi
EV018,EV025,ATTENUATION,3.5,Spring Transition + Gudi Padwa
EV018,EV029,ATTENUATION,3.5,Spring Transition + Financial Year-End Shopping
EV018,EV030,ATTENUATION,3.5,Spring Transition + Tax-Saving Purchase Cycle
EV018,EV031,ATTENUATION,3.5,Spring Transition + Baisakhi
EV018,EV032,ATTENUATION,3.5,Spring Transition + Tamil Puthandu
EV018,EV033,ATTENUATION,3.5,Spring Transition + Vishu
EV018,EV034,ATTENUATION,3.5,Spring Transition + Poila Boishakh
EV018,EV035,ATTENUATION,3.5,Spring Transition + Rongali / Bohag Bihu
EV018,EV036,ATTENUATION,3.5,Spring Transition + Maha Vishuba Sankranti
EV018,EV040,ATTENUATION,3.5,Spring Transition + Akshaya Tritiya
EV018,EV043,ATTENUATION,3.5,Spring Transition + Summer Vacation Planning
EV018,EV050,ATTENUATION,3.5,Spring Transition + Wedding Season — Summer Peak
EV018,EV051,ATTENUATION,3.5,Spring Transition + Exam Season / School Year-End
EV018,EV145,ATTENUATION,3.5,Spring Transition + Academic New Year Preparation
EV018,EV146,ATTENUATION,3.5,Spring Transition + School Admissions Cycle
EV018,EV148,ATTENUATION,3.5,Spring Transition + Summer Vacation Peak
EV018,EV153,ATTENUATION,3.5,Spring Transition + Makaravilakku / Sabarimala Pilgrimage Season
EV018,EV154,ATTENUATION,3.5,Spring Transition + Thaipusam
EV018,EV156,ATTENUATION,3.5,Spring Transition + Vaisakhi Gurdwara / Community Celebration
EV018,EV162,ATTENUATION,3.5,Spring Transition + Goa Carnival / Pre-Lent Tourism
EV018,EV170,ATTENUATION,3.5,Spring Transition + Wedding Retail Inventory Build-Up — Summer
EV018,EV172,AMPLIFICATION,4.5,Spring Transition + Valentine's Pre-Season Demand Build
EV018,EV173,ATTENUATION,3.5,Spring Transition + Bihu / Regional New Year Travel & Gifting Build
EV019,EV020,SATURATION,4.0,Holi Preparation + Holika Dahan
EV019,EV021,SATURATION,4.0,Holi Preparation + Holi
EV019,EV024,SATURATION,4.0,Holi Preparation + Ugadi
EV019,EV025,SATURATION,4.0,Holi Preparation + Gudi Padwa
EV019,EV031,SATURATION,4.0,Holi Preparation + Baisakhi
EV019,EV032,SATURATION,4.0,Holi Preparation + Tamil Puthandu
EV019,EV033,SATURATION,4.0,Holi Preparation + Vishu
EV019,EV034,SATURATION,4.0,Holi Preparation + Poila Boishakh
EV019,EV035,SATURATION,4.0,Holi Preparation + Rongali / Bohag Bihu
EV019,EV039,ATTENUATION,3.5,Holi Preparation + Summer Onset
EV019,EV133,ATTENUATION,3.5,Holi Preparation + Extreme Heatwave Alert
EV019,EV153,SATURATION,4.0,Holi Preparation + Makaravilakku / Sabarimala Pilgrimage Season
EV019,EV154,SATURATION,4.0,Holi Preparation + Thaipusam
EV019,EV162,SATURATION,4.0,Holi Preparation + Goa Carnival / Pre-Lent Tourism
EV019,EV171,ATTENUATION,3.5,Holi Preparation + Winter Transition — Southern India
EV019,EV172,AMPLIFICATION,5.0,Holi Preparation + Valentine's Pre-Season Demand Build
EV020,EV021,SATURATION,4.0,Holika Dahan + Holi
EV020,EV024,SATURATION,4.0,Holika Dahan + Ugadi
EV020,EV025,SATURATION,4.0,Holika Dahan + Gudi Padwa
EV020,EV031,SATURATION,4.0,Holika Dahan + Baisakhi
EV020,EV032,SATURATION,4.0,Holika Dahan + Tamil Puthandu
EV020,EV033,SATURATION,4.0,Holika Dahan + Vishu
EV020,EV034,SATURATION,4.0,Holika Dahan + Poila Boishakh
EV020,EV035,SATURATION,4.0,Holika Dahan + Rongali / Bohag Bihu
EV020,EV039,ATTENUATION,3.5,Holika Dahan + Summer Onset
EV020,EV133,ATTENUATION,3.5,Holika Dahan + Extreme Heatwave Alert
EV020,EV153,SATURATION,4.0,Holika Dahan + Makaravilakku / Sabarimala Pilgrimage Season
EV020,EV162,SATURATION,4.0,Holika Dahan + Goa Carnival / Pre-Lent Tourism
EV020,EV171,ATTENUATION,3.5,Holika Dahan + Winter Transition — Southern India
EV020,EV172,AMPLIFICATION,5.0,Holika Dahan + Valentine's Pre-Season Demand Build
EV021,EV024,SATURATION,4.0,Holi + Ugadi
EV021,EV025,SATURATION,4.0,Holi + Gudi Padwa
EV021,EV031,SATURATION,4.0,Holi + Baisakhi
EV021,EV032,SATURATION,4.0,Holi + Tamil Puthandu
EV021,EV033,SATURATION,4.0,Holi + Vishu
EV021,EV034,SATURATION,4.0,Holi + Poila Boishakh
EV021,EV035,SATURATION,4.0,Holi + Rongali / Bohag Bihu
EV021,EV039,ATTENUATION,3.5,Holi + Summer Onset
EV021,EV133,ATTENUATION,3.5,Holi + Extreme Heatwave Alert
EV021,EV153,SATURATION,4.0,Holi + Makaravilakku / Sabarimala Pilgrimage Season
EV021,EV162,SATURATION,4.0,Holi + Goa Carnival / Pre-Lent Tourism
EV021,EV171,ATTENUATION,3.5,Holi + Winter Transition — Southern India
EV021,EV172,AMPLIFICATION,5.0,Holi + Valentine's Pre-Season Demand Build
EV024,EV025,SATURATION,4.0,Ugadi + Gudi Padwa
EV024,EV031,SATURATION,4.0,Ugadi + Baisakhi
EV024,EV032,SATURATION,4.0,Ugadi + Tamil Puthandu
EV024,EV033,SATURATION,4.0,Ugadi + Vishu
EV024,EV034,SATURATION,4.0,Ugadi + Poila Boishakh
EV024,EV035,SATURATION,4.0,Ugadi + Rongali / Bohag Bihu
EV024,EV036,SATURATION,4.0,Ugadi + Maha Vishuba Sankranti
EV024,EV039,ATTENUATION,3.5,Ugadi + Summer Onset
EV024,EV040,SATURATION,4.0,Ugadi + Akshaya Tritiya
EV024,EV041,ATTENUATION,3.5,Ugadi + Peak Summer / Heatwave
EV024,EV046,ATTENUATION,3.5,Ugadi + Peak Summer Cooling Demand
EV024,EV133,ATTENUATION,3.5,Ugadi + Extreme Heatwave Alert
EV024,EV156,SATURATION,4.0,Ugadi + Vaisakhi Gurdwara / Community Celebration
EV024,EV162,SATURATION,4.0,Ugadi + Goa Carnival / Pre-Lent Tourism
EV024,EV171,ATTENUATION,3.5,Ugadi + Winter Transition — Southern India
EV024,EV173,SATURATION,4.0,Ugadi + Bihu / Regional New Year Travel & Gifting Build
EV025,EV031,SATURATION,4.0,Gudi Padwa + Baisakhi
EV025,EV032,SATURATION,4.0,Gudi Padwa + Tamil Puthandu
EV025,EV033,SATURATION,4.0,Gudi Padwa + Vishu
EV025,EV034,SATURATION,4.0,Gudi Padwa + Poila Boishakh
EV025,EV035,SATURATION,4.0,Gudi Padwa + Rongali / Bohag Bihu
EV025,EV036,SATURATION,4.0,Gudi Padwa + Maha Vishuba Sankranti
EV025,EV039,ATTENUATION,3.5,Gudi Padwa + Summer Onset
EV025,EV040,SATURATION,4.0,Gudi Padwa + Akshaya Tritiya
EV025,EV041,ATTENUATION,3.5,Gudi Padwa + Peak Summer / Heatwave
EV025,EV046,ATTENUATION,3.5,Gudi Padwa + Peak Summer Cooling Demand
EV025,EV133,ATTENUATION,3.5,Gudi Padwa + Extreme Heatwave Alert
EV025,EV156,SATURATION,4.0,Gudi Padwa + Vaisakhi Gurdwara / Community Celebration
