EVENT_ID,GEOGRAPHIC_LEVEL,GEOGRAPHIC_TARGET,GEOGRAPHIC_WEIGHT
EV023,REGIONAL,East,0.15
EV023,REGIONAL,West,0.15
EV023,REGIONAL,Central,0.15
EV023,REGIONAL,Northeast,0.15
EV024,REGIONAL,North,0.15
EV024,REGIONAL,South,1.0
EV024,REGIONAL,East,0.15
EV024,REGIONAL,West,0.15
EV024,REGIONAL,Central,0.15
EV024,REGIONAL,Northeast,0.15
EV025,REGIONAL,North,0.15
EV025,REGIONAL,South,1.0
EV025,REGIONAL,East,0.15
EV025,REGIONAL,West,1.0
EV025,REGIONAL,Central,0.15
EV025,REGIONAL,Northeast,0.15
EV026,REGIONAL,North,1.0
EV026,REGIONAL,South,0.15
EV026,REGIONAL,East,0.15
EV026,REGIONAL,West,1.0
EV026,REGIONAL,Central,1.0
EV026,REGIONAL,Northeast,0.15
EV027,NATIONAL,PAN_INDIA,1.0
EV028,REGIONAL,North,1.0
EV028,REGIONAL,South,1.0
EV028,REGIONAL,East,0.15
EV028,REGIONAL,West,0.15
EV028,REGIONAL,Central,0.15
EV028,REGIONAL,Northeast,0.15
EV029,NATIONAL,PAN_INDIA,1.0
EV030,NATIONAL,PAN_INDIA,1.0
EV031,REGIONAL,North,1.0
EV031,REGIONAL,South,0.15
EV031,REGIONAL,East,0.15
EV031,REGIONAL,West,0.15
EV031,REGIONAL,Central,0.15
EV031,REGIONAL,Northeast,0.15
EV032,REGIONAL,North,0.15
EV032,REGIONAL,South,1.0
EV032,REGIONAL,East,0.15
EV032,REGIONAL,West,0.15
EV032,REGIONAL,Central,0.15
EV032,REGIONAL,Northeast,0.15
EV033,REGIONAL,North,0.15
EV033,REGIONAL,South,1.0
EV033,REGIONAL,East,0.15
EV033,REGIONAL,West,0.15
EV033,REGIONAL,Central,0.15
EV033,REGIONAL,Northeast,0.15
EV034,REGIONAL,North,0.15
EV034,REGIONAL,South,0.15
EV034,REGIONAL,East,1.0
EV034,REGIONAL,West,1.0
EV034,REGIONAL,Central,0.15
EV034,REGIONAL,Northeast,0.15
EV035,REGIONAL,North,1.0
EV035,REGIONAL,South,0.15
EV035,REGIONAL,East,1.0
EV035,REGIONAL,West,0.15
EV035,REGIONAL,Central,0.15
EV035,REGIONAL,Northeast,1.0
EV036,REGIONAL,North,0.15
EV036,REGIONAL,South,0.15
EV036,REGIONAL,East,1.0
EV036,REGIONAL,West,0.15
EV036,REGIONAL,Central,0.15
EV036,REGIONAL,Northeast,0.15
EV037,REGIONAL,North,1.0
EV037,REGIONAL,South,1.0
EV037,REGIONAL,East,0.15
EV037,REGIONAL,West,0.15
EV037,REGIONAL,Central,0.15
EV037,REGIONAL,Northeast,0.15
EV038,REGIONAL,North,1.0
EV038,REGIONAL,South,1.0
EV038,REGIONAL,East,0.15
EV038,REGIONAL,West,0.15
EV038,REGIONAL,Central,0.15
EV038,REGIONAL,Northeast,0.15
EV039,NATIONAL,PAN_INDIA,1.0
EV040,NATIONAL,PAN_INDIA,1.0
EV041,REGIONAL,North,1.0
EV041,REGIONAL,South,0.15
EV041,REGIONAL,East,0.15
EV041,REGIONAL,West,1.0
EV041,REGIONAL,Central,1.0
EV041,REGIONAL,Northeast,0.15
EV042,REGIONAL,North,0.15
EV042,REGIONAL,South,1.0
EV042,REGIONAL,East,0.15
EV042,REGIONAL,West,1.0
EV042,REGIONAL,Central,0.15
EV042,REGIONAL,Northeast,0.15
EV043,NATIONAL,PAN_INDIA,1.0
EV044,REGIONAL,North,1.0
EV044,REGIONAL,South,1.0
EV044,REGIONAL,East,0.15
EV044,REGIONAL,West,0.15
EV044,REGIONAL,Central,0.15
EV044,REGIONAL,Northeast,0.15
EV045,NATIONAL,PAN_INDIA,1.0
EV046,NATIONAL,PAN_INDIA,1.0
EV047,NATIONAL,PAN_INDIA,1.0
EV048,NATIONAL,PAN_INDIA,1.0
EV049,NATIONAL,PAN_INDIA,1.0
EV050,REGIONAL,North,1.0
EV050,REGIONAL,South,1.0
EV050,REGIONAL,East,0.15
EV050,REGIONAL,West,1.0
EV050,REGIONAL,Central,1.0
EV050,REGIONAL,Northeast,0.15
EV051,NATIONAL,PAN_INDIA,1.0
EV052,REGIONAL,North,0.15
EV052,REGIONAL,South,1.0
EV052,REGIONAL,East,0.15
EV052,REGIONAL,West,0.15
EV052,REGIONAL,Central,0.15
EV052,REGIONAL,Northeast,0.15
EV053,REGIONAL,North,0.15
EV053,REGIONAL,South,1.0
EV053,REGIONAL,East,0.15
EV053,REGIONAL,West,1.0
EV053,REGIONAL,Central,0.15
EV053,REGIONAL,Northeast,0.15
EV054,NATIONAL,PAN_INDIA,1.0
EV055,NATIONAL,PAN_INDIA,1.0
EV056,NATIONAL,PAN_INDIA,1.0
EV057,NATIONAL,PAN_INDIA,1.0
EV058,NATIONAL,PAN_INDIA,1.0
EV059,NATIONAL,PAN_INDIA,1.0
EV060,NATIONAL,PAN_INDIA,1.0
EV061,REGIONAL,North,1.0
EV061,REGIONAL,South,0.15
EV061,REGIONAL,East,0.15
EV061,REGIONAL,West,0.15
EV061,REGIONAL,Central,0.15
EV061,REGIONAL,Northeast,0.15
EV062,NATIONAL,PAN_INDIA,1.0
EV063,REGIONAL,North,0.15
EV063,REGIONAL,South,0.15
EV063,REGIONAL,East,1.0
EV063,REGIONAL,West,0.15
EV063,REGIONAL,Central,0.15
EV063,REGIONAL,Northeast,0.15
EV064,NATIONAL,PAN_INDIA,1.0
EV065,REGIONAL,North,0.15
EV065,REGIONAL,South,0.15
EV065,REGIONAL,East,0.15
EV065,REGIONAL,West,1.0
EV065,REGIONAL,Central,1.0
EV065,REGIONAL,Northeast,0.15
EV066,NATIONAL,PAN_INDIA,1.0
EV067,NATIONAL,PAN_INDIA,1.0
EV068,NATIONAL,PAN_INDIA,1.0
EV069,REGIONAL,North,1.0
EV069,REGIONAL,South,1.0
EV069,REGIONAL,East,0.15
EV069,REGIONAL,West,0.15
EV069,REGIONAL,Central,0.15
EV069,REGIONAL,Northeast,0.15
EV070,REGIONAL,North,1.0
EV070,REGIONAL,South,0.15
EV070,REGIONAL,East,0.15
EV070,REGIONAL,West,1.0
EV070,REGIONAL,Central,0.15
EV070,REGIONAL,Northeast,0.15
EV071,REGIONAL,North,0.15
EV071,REGIONAL,South,1.0
EV071,REGIONAL,East,0.15
EV071,REGIONAL,West,0.15
EV071,REGIONAL,Central,0.15
EV071,REGIONAL,Northeast,0.15
EV072,NATIONAL,PAN_INDIA,1.0
EV073,REGIONAL,North,0.15
EV073,REGIONAL,South,1.0
EV073,REGIONAL,East,0.15
EV073,REGIONAL,West,0.15
EV073,REGIONAL,Central,0.15
EV073,REGIONAL,Northeast,0.15
EV074,REGIONAL,North,0.15
EV074,REGIONAL,South,1.0
EV074,REGIONAL,East,0.15
EV074,REGIONAL,West,0.15
EV074,REGIONAL,Central,0.15
EV074,REGIONAL,Northeast,0.15
EV075,NATIONAL,PAN_INDIA,1.0
EV076,NATIONAL,PAN_INDIA,1.0
EV077,NATIONAL,PAN_INDIA,1.0
EV078,REGIONAL,North,1.0
EV078,REGIONAL,South,1.0
EV078,REGIONAL,East,0.15
EV078,REGIONAL,West,0.15
EV078,REGIONAL,Central,0.15
EV078,REGIONAL,Northeast,0.15
EV079,NATIONAL,PAN_INDIA,1.0
EV080,REGIONAL,North,0.15
EV080,REGIONAL,South,0.15
EV080,REGIONAL,East,0.15
EV080,REGIONAL,West,1.0
EV080,REGIONAL,Central,0.15
EV080,REGIONAL,Northeast,0.15
EV081,NATIONAL,PAN_INDIA,1.0
EV082,REGIONAL,North,1.0
EV082,REGIONAL,South,1.0
EV082,REGIONAL,East,0.15
EV082,REGIONAL,West,0.15
EV082,REGIONAL,Central,0.15
EV082,REGIONAL,Northeast,0.15
EV083,REGIONAL,North,1.0
EV083,REGIONAL,South,0.15
EV083,REGIONAL,East,0.15
EV083,REGIONAL,West,1.0
EV083,REGIONAL,Central,0.15
EV083,REGIONAL,Northeast,0.15
EV084,REGIONAL,North,1.0
EV084,REGIONAL,South,0.15
EV084,REGIONAL,East,1.0
EV084,REGIONAL,West,1.0
EV084,REGIONAL,Central,1.0
EV084,REGIONAL,Northeast,0.15
EV085,NATIONAL,PAN_INDIA,1.0
EV086,NATIONAL,PAN_INDIA,1.0
EV087,NATIONAL,PAN_INDIA,1.0
EV088,NATIONAL,PAN_INDIA,1.0
EV089,NATIONAL,PAN_INDIA,1.0
EV090,NATIONAL,PAN_INDIA,1.0
EV091,REGIONAL,North,0.15
EV091,REGIONAL,South,0.15
EV091,REGIONAL,East,1.0
EV091,REGIONAL,West,1.0
EV091,REGIONAL,Central,0.15
EV091,REGIONAL,Northeast,1.0
EV092,REGIONAL,North,0.15
EV092,REGIONAL,South,0.15
EV092,REGIONAL,East,0.15
EV092,REGIONAL,West,1.0
EV092,REGIONAL,Central,0.15
EV092,REGIONAL,Northeast,0.15
EV093,REGIONAL,North,1.0
EV093,REGIONAL,South,0.15
EV093,REGIONAL,East,1.0
EV093,REGIONAL,West,0.15
EV093,REGIONAL,Central,0.15
EV093,REGIONAL,Northeast,0.15
EV094,REGIONAL,North,0.15
EV094,REGIONAL,South,1.0
EV094,REGIONAL,East,0.15
EV094,REGIONAL,West,0.15
EV094,REGIONAL,Central,0.15
EV094,REGIONAL,Northeast,0.15
EV095,REGIONAL,North,0.15
EV095,REGIONAL,South,1.0
EV095,REGIONAL,East,0.15
EV095,REGIONAL,West,0.15
EV095,REGIONAL,Central,0.15
EV095,REGIONAL,Northeast,0.15
EV096,NATIONAL,PAN_INDIA,1.0
EV097,NATIONAL,PAN_INDIA,1.0
EV098,NATIONAL,PAN_INDIA,1.0
EV099,NATIONAL,PAN_INDIA,1.0
EV100,NATIONAL,PAN_INDIA,1.0
EV101,NATIONAL,PAN_INDIA,1.0
EV102,NATIONAL,PAN_INDIA,1.0
EV103,REGIONAL,North,1.0
EV103,REGIONAL,South,0.15
EV103,REGIONAL,East,0.15
EV103,REGIONAL,West,1.0
EV103,REGIONAL,Central,0.15
EV103,REGIONAL,Northeast,0.15
EV104,NATIONAL,PAN_INDIA,1.0
EV105,NATIONAL,PAN_INDIA,1.0
EV106,NATIONAL,PAN_INDIA,1.0
EV107,REGIONAL,North,1.0
EV107,REGIONAL,South,0.15
EV107,REGIONAL,East,0.15
EV107,REGIONAL,West,1.0
EV107,REGIONAL,Central,0.15
EV107,REGIONAL,Northeast,0.15
EV108,NATIONAL,PAN_INDIA,1.0
EV109,NATIONAL,PAN_INDIA,1.0
EV110,NATIONAL,PAN_INDIA,1.0
EV111,REGIONAL,North,1.0
EV111,REGIONAL,South,0.15
EV111,REGIONAL,East,1.0
EV111,REGIONAL,West,0.15
EV111,REGIONAL,Central,0.15
EV111,REGIONAL,Northeast,0.15
EV112,REGIONAL,North,1.0
EV112,REGIONAL,South,0.15
EV112,REGIONAL,East,0.15
EV112,REGIONAL,West,1.0
EV112,REGIONAL,Central,0.15
EV112,REGIONAL,Northeast,0.15
EV113,REGIONAL,North,1.0
EV113,REGIONAL,South,0.15
EV113,REGIONAL,East,0.15
EV113,REGIONAL,West,0.15
EV113,REGIONAL,Central,0.15
EV113,REGIONAL,Northeast,0.15
EV114,NATIONAL,PAN_INDIA,1.0
EV115,NATIONAL,PAN_INDIA,1.0
EV116,NATIONAL,PAN_INDIA,1.0
EV117,NATIONAL,PAN_INDIA,1.0
EV118,NATIONAL,PAN_INDIA,1.0
EV119,NATIONAL,PAN_INDIA,1.0
EV120,NATIONAL,PAN_INDIA,1.0
EV121,NATIONAL,PAN_INDIA,1.0
EV122,REGIONAL,North,1.0
EV122,REGIONAL,South,0.15
EV122,REGIONAL,East,0.15
EV122,REGIONAL,West,0.15
EV122,REGIONAL,Central,1.0
EV122,REGIONAL,Northeast,0.15
EV123,REGIONAL,North,1.0
EV123,REGIONAL,South,1.0
EV123,REGIONAL,East,0.15
EV123,REGIONAL,West,0.15
EV123,REGIONAL,Central,0.15
EV123,REGIONAL,Northeast,0.15
EV124,NATIONAL,PAN_INDIA,1.0
EV125,NATIONAL,PAN_INDIA,1.0
EV126,REGIONAL,North,1.0
EV126,REGIONAL,South,1.0
EV126,REGIONAL,East,1.0
EV126,REGIONAL,West,1.0
EV126,REGIONAL,Central,0.15
EV126,REGIONAL,Northeast,1.0
EV127,NATIONAL,PAN_INDIA,1.0
EV128,NATIONAL,PAN_INDIA,1.0
EV129,NATIONAL,PAN_INDIA,1.0
EV130,NATIONAL,PAN_INDIA,1.0
EV131,NATIONAL,PAN_INDIA,1.0
EV132,NATIONAL,PAN_INDIA,1.0
EV133,REGIONAL,North,1.0
EV133,REGIONAL,South,1.0
EV133,REGIONAL,East,0.15
EV133,REGIONAL,West,0.15
EV133,REGIONAL,Central,0.15
EV133,REGIONAL,Northeast,0.15
EV134,REGIONAL,North,1.0
EV134,REGIONAL,South,1.0
EV134,REGIONAL,East,0.15
EV134,REGIONAL,West,0.15
EV134,REGIONAL,Central,0.15
EV134,REGIONAL,Northeast,0.15
EV135,NATIONAL,PAN_INDIA,1.0
EV136,NATIONAL,PAN_INDIA,1.0
EV137,REGIONAL,North,1.0
EV137,REGIONAL,South,0.15
EV137,REGIONAL,East,0.15
EV137,REGIONAL,West,0.15
EV137,REGIONAL,Central,0.15
EV137,REGIONAL,Northeast,0.15
EV138,REGIONAL,North,1.0
EV138,REGIONAL,South,0.15
EV138,REGIONAL,East,0.15
EV138,REGIONAL,West,0.15
EV138,REGIONAL,Central,0.15
EV138,REGIONAL,Northeast,0.15
EV139,NATIONAL,PAN_INDIA,1.0
EV140,NATIONAL,PAN_INDIA,1.0
EV141,NATIONAL,PAN_INDIA,1.0
EV142,REGIONAL,North,1.0
EV142,REGIONAL,South,1.0
EV142,REGIONAL,East,0.15
EV142,REGIONAL,West,0.15
EV142,REGIONAL,Central,0.15
EV142,REGIONAL,Northeast,0.15
EV143,REGIONAL,North,0.15
EV143,REGIONAL,South,0.15
EV143,REGIONAL,East,0.15
EV143,REGIONAL,West,1.0
EV143,REGIONAL,Central,0.15
EV143,REGIONAL,Northeast,0.15
EV144,REGIONAL,North,1.0
EV144,REGIONAL,South,1.0
EV144,REGIONAL,East,0.15
EV144,REGIONAL,West,0.15
EV144,REGIONAL,Central,0.15
EV144,REGIONAL,Northeast,0.15
EV145,NATIONAL,PAN_INDIA,1.0
EV146,NATIONAL,PAN_INDIA,1.0
EV147,NATIONAL,PAN_INDIA,1.0
EV148,NATIONAL,PAN_INDIA,1.0
EV149,NATIONAL,PAN_INDIA,1.0
EV150,NATIONAL,PAN_INDIA,1.0
EV151,NATIONAL,PAN_INDIA,1.0
EV152,NATIONAL,PAN_INDIA,1.0
EV153,REGIONAL,North,0.15
EV153,REGIONAL,South,1.0
EV153,REGIONAL,East,0.15
EV153,REGIONAL,West,0.15
EV153,REGIONAL,Central,0.15
EV153,REGIONAL,Northeast,0.15
EV154,REGIONAL,North,0.15
EV154,REGIONAL,South,1.0
EV154,REGIONAL,East,0.15
EV154,REGIONAL,West,0.15
EV154,REGIONAL,Central,0.15
EV154,REGIONAL,Northeast,0.15
EV155,REGIONAL,North,0.15
EV155,REGIONAL,South,0.15
EV155,REGIONAL,East,0.15
EV155,REGIONAL,West,0.15
EV155,REGIONAL,Central,0.15
EV155,REGIONAL,Northeast,1.0
EV156,REGIONAL,North,1.0
EV156,REGIONAL,South,0.15
EV156,REGIONAL,East,0.15
EV156,REGIONAL,West,0.15
EV156,REGIONAL,Central,0.15
EV156,REGIONAL,Northeast,0.15
EV157,REGIONAL,North,0.15
EV157,REGIONAL,South,1.0
EV157,REGIONAL,East,0.15
EV157,REGIONAL,West,0.15
EV157,REGIONAL,Central,0.15
EV157,REGIONAL,Northeast,0.15
EV158,REGIONAL,North,0.15
EV158,REGIONAL,South,0.15
EV158,REGIONAL,East,1.0
EV158,REGIONAL,West,0.15
EV158,REGIONAL,Central,0.15
EV158,REGIONAL,Northeast,0.15
EV159,REGIONAL,North,0.15
EV159,REGIONAL,South,1.0
EV159,REGIONAL,East,0.15
EV159,REGIONAL,West,0.15
EV159,REGIONAL,Central,0.15
EV159,REGIONAL,Northeast,0.15
EV160,REGIONAL,North,0.15
EV160,REGIONAL,South,1.0
EV160,REGIONAL,East,0.15
EV160,REGIONAL,West,0.15
EV160,REGIONAL,Central,0.15
EV160,REGIONAL,Northeast,0.15
EV161,REGIONAL,North,1.0
EV161,REGIONAL,South,0.15
EV161,REGIONAL,East,1.0
EV161,REGIONAL,West,0.15
EV161,REGIONAL,Central,0.15
EV161,REGIONAL,Northeast,1.0
EV162,REGIONAL,North,0.15
EV162,REGIONAL,South,0.15
EV162,REGIONAL,East,0.15
EV162,REGIONAL,West,1.0
EV162,REGIONAL,Central,0.15
EV162,REGIONAL,Northeast,0.15
EV163,NATIONAL,PAN_INDIA,1.0
EV164,REGIONAL,North,1.0
EV164,REGIONAL,South,1.0
EV164,REGIONAL,East,0.15
EV164,REGIONAL,West,0.15
EV164,REGIONAL,Central,0.15
EV164,REGIONAL,Northeast,0.15
EV165,REGIONAL,North,1.0
EV165,REGIONAL,South,1.0
EV165,REGIONAL,East,0.15
EV165,REGIONAL,West,0.15
EV165,REGIONAL,Central,0.15
EV165,REGIONAL,Northeast,0.15
EV166,NATIONAL,PAN_INDIA,1.0
EV167,NATIONAL,PAN_INDIA,1.0
EV168,NATIONAL,PAN_INDIA,1.0
EV169,NATIONAL,PAN_INDIA,1.0
EV170,NATIONAL,PAN_INDIA,1.0
EV171,REGIONAL,North,0.15
EV171,REGIONAL,South,1.0
EV171,REGIONAL,East,0.15
EV171,REGIONAL,West,0.15
EV171,REGIONAL,Central,0.15
EV171,REGIONAL,Northeast,0.15
EV172,NATIONAL,PAN_INDIA,1.0
EV173,REGIONAL,North,1.0
EV173,REGIONAL,South,0.15
EV173,REGIONAL,East,1.0
EV173,REGIONAL,West,0.15
EV173,REGIONAL,Central,0.15
EV173,REGIONAL,Northeast,1.0
EV174,NATIONAL,PAN_INDIA,1.0
