SUBCATEGORY_ID,CATEGORY_ID,SUBCATEGORY_NAME
SUBCAT-0130,CAT-038,Surface Cleaning
SUBCAT-0131,CAT-038,Cleaning Tools
SUBCAT-0132,CAT-039,Precious
SUBCAT-0133,CAT-039,Fashion
SUBCAT-0134,CAT-039,Accessories
SUBCAT-0135,CAT-040,Cookware
SUBCAT-0136,CAT-040,Bakeware
SUBCAT-0137,CAT-040,Kitchen Tools
SUBCAT-0138,CAT-040,Storage
SUBCAT-0139,CAT-040,Dining
SUBCAT-0140,CAT-040,Specialty
SUBCAT-0141,CAT-041,Meat
SUBCAT-0142,CAT-041,Fish
SUBCAT-0143,CAT-041,Seafood
SUBCAT-0144,CAT-041,Eggs
SUBCAT-0145,CAT-041,Processed Protein
SUBCAT-0146,CAT-042,General
SUBCAT-0147,CAT-042,Accessories
SUBCAT-0148,CAT-043,General
SUBCAT-0149,CAT-044,General
SUBCAT-0150,CAT-045,General
SUBCAT-0151,CAT-046,General
SUBCAT-0152,CAT-047,Birthdays
SUBCAT-0153,CAT-047,Events
SUBCAT-0154,CAT-047,Entertainment
SUBCAT-0155,CAT-048,Bath
SUBCAT-0156,CAT-048,Hair
SUBCAT-0157,CAT-048,Oral Care
SUBCAT-0158,CAT-048,Shaving
SUBCAT-0159,CAT-048,Hygiene
SUBCAT-0160,CAT-049,Food
SUBCAT-0161,CAT-049,Accessories
SUBCAT-0162,CAT-049,Grooming
SUBCAT-0163,CAT-049,Habitat
SUBCAT-0164,CAT-050,General
SUBCAT-0165,CAT-051,General
SUBCAT-0166,CAT-052,General
SUBCAT-0167,CAT-053,General
SUBCAT-0168,CAT-054,General
SUBCAT-0169,CAT-055,Personal Services
SUBCAT-0170,CAT-055,Home Services
SUBCAT-0171,CAT-055,Technology
SUBCAT-0172,CAT-055,Automotive
SUBCAT-0173,CAT-055,Food
SUBCAT-0174,CAT-056,General
SUBCAT-0175,CAT-057,General
SUBCAT-0176,CAT-058,General
SUBCAT-0177,CAT-059,General
SUBCAT-0178,CAT-060,General
SUBCAT-0179,CAT-061,General
SUBCAT-0180,CAT-062,Hospitality
SUBCAT-0181,CAT-062,Cleaning
SUBCAT-0182,CAT-062,Small Business
SUBCAT-0183,CAT-062,Workshop
SUBCAT-0184,CAT-063,Gym
SUBCAT-0185,CAT-063,Running
SUBCAT-0186,CAT-063,Team Sports
SUBCAT-0187,CAT-063,Racquet Sports
SUBCAT-0188,CAT-063,Combat
SUBCAT-0189,CAT-063,Outdoor
SUBCAT-0190,CAT-064,Writing
SUBCAT-0191,CAT-064,Paper
SUBCAT-0192,CAT-064,Office
SUBCAT-0193,CAT-064,Desk Accessories
SUBCAT-0194,CAT-065,Infant
SUBCAT-0195,CAT-065,Educational
SUBCAT-0196,CAT-065,Creative
SUBCAT-0197,CAT-065,Pretend Play
SUBCAT-0198,CAT-065,Action & Character
SUBCAT-0199,CAT-066,General
SUBCAT-0200,CAT-067,General
