SUPPLIER_ID,SKU_ID,SUPPLIER_SKU,PURCHASE_COST,MOQ_UNITS,LEAD_TIME_DAYS,ORDER_MULTIPLE,PRIMARY_FLAG,ACTIVE_FLAG
sup-197,APP-CHI-00013,VND-sup-197-APP-CHI-,85.81,50,35,10,0,1
sup-038,APP-CHI-00014,VND-sup-038-APP-CHI-,41.52,50,29,10,1,1
sup-046,APP-CHI-00014,VND-sup-046-APP-CHI-,51.48,50,39,10,0,1
sup-052,APP-CHI-00015,VND-sup-052-APP-CHI-,19.78,200,29,10,1,1
sup-030,APP-CHI-00015,VND-sup-030-APP-CHI-,20.97,200,43,10,0,1
sup-103,APP-CHI-00016,VND-sup-103-APP-CHI-,74.16,25,29,10,1,1
sup-154,APP-CHI-00016,VND-sup-154-APP-CHI-,80.09,25,38,10,0,1
sup-116,APP-CHI-00017,VND-sup-116-APP-CHI-,56.34,200,29,10,1,1
sup-104,APP-CHI-00017,VND-sup-104-APP-CHI-,64.23,50,39,10,0,1
sup-171,APP-CHI-00018,VND-sup-171-APP-CHI-,50.04,50,29,10,1,1
sup-010,APP-CHI-00018,VND-sup-010-APP-CHI-,60.55,25,45,10,0,1
sup-187,APP-CHI-00019,VND-sup-187-APP-CHI-,76.38,200,29,10,1,1
sup-030,APP-CHI-00019,VND-sup-030-APP-CHI-,88.6,25,44,10,0,1
sup-197,APP-CHI-00020,VND-sup-197-APP-CHI-,20.59,25,29,10,1,1
sup-059,APP-CHI-00020,VND-sup-059-APP-CHI-,25.53,100,57,10,0,1
sup-052,APP-CHI-00021,VND-sup-052-APP-CHI-,31.33,100,29,10,1,1
sup-021,APP-CHI-00021,VND-sup-021-APP-CHI-,33.21,100,46,10,0,1
sup-084,APP-CHI-00022,VND-sup-084-APP-CHI-,66.18,50,29,10,1,1
sup-163,APP-CHI-00022,VND-sup-163-APP-CHI-,78.75,200,56,10,0,1
sup-149,APP-CHI-00023,VND-sup-149-APP-CHI-,74.86,200,29,10,1,1
sup-190,APP-CHI-00023,VND-sup-190-APP-CHI-,80.85,200,37,10,0,1
sup-171,APP-CHI-00024,VND-sup-171-APP-CHI-,47.67,200,29,10,1,1
sup-001,APP-CHI-00024,VND-sup-001-APP-CHI-,57.2,100,37,10,0,1
sup-029,APP-CHI-00025,VND-sup-029-APP-CHI-,59.64,50,29,10,1,1
sup-104,APP-CHI-00025,VND-sup-104-APP-CHI-,69.78,50,53,10,0,1
sup-059,APP-CHI-00026,VND-sup-059-APP-CHI-,35.41,100,29,10,1,1
sup-154,APP-CHI-00026,VND-sup-154-APP-CHI-,37.53,50,37,10,0,1
sup-177,APP-CHI-00027,VND-sup-177-APP-CHI-,74.95,100,29,10,1,1
sup-111,APP-CHI-00027,VND-sup-111-APP-CHI-,87.69,200,40,10,0,1
sup-087,APP-CHI-00028,VND-sup-087-APP-CHI-,60.36,100,29,10,1,1
sup-163,APP-CHI-00028,VND-sup-163-APP-CHI-,65.19,200,35,10,0,1
sup-116,APP-CHI-00029,VND-sup-116-APP-CHI-,56.19,200,29,10,1,1
sup-111,APP-CHI-00029,VND-sup-111-APP-CHI-,62.93,25,56,10,0,1
sup-029,APP-CHI-00030,VND-sup-029-APP-CHI-,62.65,100,29,10,1,1
sup-046,APP-CHI-00030,VND-sup-046-APP-CHI-,75.81,25,57,10,0,1
sup-069,APP-CHI-00031,VND-sup-069-APP-CHI-,59.25,100,29,10,1,1
sup-139,APP-CHI-00031,VND-sup-139-APP-CHI-,69.91,100,56,10,0,1
sup-154,APP-CHI-00032,VND-sup-154-APP-CHI-,50.62,25,29,10,1,1
sup-160,APP-CHI-00032,VND-sup-160-APP-CHI-,62.77,25,53,10,0,1
sup-069,APP-CHI-00033,VND-sup-069-APP-CHI-,20.89,100,29,10,1,1
sup-107,APP-CHI-00033,VND-sup-107-APP-CHI-,24.44,50,43,10,0,1
sup-149,APP-CHI-00034,VND-sup-149-APP-CHI-,50.92,200,29,10,1,1
sup-042,APP-CHI-00034,VND-sup-042-APP-CHI-,54.99,25,47,10,0,1
sup-163,APP-CHI-00035,VND-sup-163-APP-CHI-,49.64,200,29,10,1,1
sup-111,APP-CHI-00035,VND-sup-111-APP-CHI-,59.57,50,38,10,0,1
sup-021,APP-CHI-00036,VND-sup-021-APP-CHI-,48.96,50,29,10,1,1
sup-059,APP-CHI-00036,VND-sup-059-APP-CHI-,57.77,50,40,10,0,1
sup-084,APP-CHI-00037,VND-sup-084-APP-CHI-,28.72,25,29,10,1,1
sup-030,APP-CHI-00037,VND-sup-030-APP-CHI-,32.74,50,47,10,0,1
sup-146,APP-CHI-00038,VND-sup-146-APP-CHI-,79.07,25,29,10,1,1
sup-154,APP-CHI-00038,VND-sup-154-APP-CHI-,98.84,50,57,10,0,1
sup-059,APP-CHI-00039,VND-sup-059-APP-CHI-,64.21,200,29,10,1,1
sup-149,APP-CHI-00039,VND-sup-149-APP-CHI-,77.69,200,56,10,0,1
sup-197,APP-CHI-00040,VND-sup-197-APP-CHI-,49.4,100,29,10,1,1
sup-139,APP-CHI-00040,VND-sup-139-APP-CHI-,56.81,200,50,10,0,1
sup-139,APP-CHI-00041,VND-sup-139-APP-CHI-,18.32,100,29,10,1,1
sup-059,APP-CHI-00041,VND-sup-059-APP-CHI-,20.34,200,53,10,0,1
sup-177,APP-CHI-00042,VND-sup-177-APP-CHI-,37.73,25,29,10,1,1
sup-010,APP-CHI-00042,VND-sup-010-APP-CHI-,43.77,200,37,10,0,1
sup-029,APP-CHI-00043,VND-sup-029-APP-CHI-,53.02,100,29,10,1,1
sup-087,APP-CHI-00043,VND-sup-087-APP-CHI-,60.44,100,38,10,0,1
sup-085,APP-CHI-00044,VND-sup-085-APP-CHI-,26.93,50,29,10,1,1
sup-038,APP-CHI-00044,VND-sup-038-APP-CHI-,30.16,25,54,10,0,1
sup-154,APP-CHI-00045,VND-sup-154-APP-CHI-,22.66,200,29,10,1,1
sup-046,APP-CHI-00045,VND-sup-046-APP-CHI-,27.42,50,41,10,0,1
sup-085,APP-CHI-00046,VND-sup-085-APP-CHI-,72.4,200,29,10,1,1
sup-132,APP-CHI-00046,VND-sup-132-APP-CHI-,88.33,200,43,10,0,1
sup-111,APP-CHI-00047,VND-sup-111-APP-CHI-,44.09,50,29,10,1,1
sup-171,APP-CHI-00047,VND-sup-171-APP-CHI-,48.94,50,50,10,0,1
sup-107,APP-CHI-00048,VND-sup-107-APP-CHI-,57.09,50,29,10,1,1
sup-163,APP-CHI-00048,VND-sup-163-APP-CHI-,66.8,50,48,10,0,1
sup-042,APP-CHI-00049,VND-sup-042-APP-CHI-,42.06,50,29,10,1,1
sup-085,APP-CHI-00049,VND-sup-085-APP-CHI-,49.63,200,41,10,0,1
sup-084,APP-CHI-00050,VND-sup-084-APP-CHI-,25.6,50,29,10,1,1
sup-087,APP-CHI-00050,VND-sup-087-APP-CHI-,29.18,25,44,10,0,1
sup-001,APP-CHI-00051,VND-sup-001-APP-CHI-,79.7,100,29,10,1,1
sup-151,APP-CHI-00051,VND-sup-151-APP-CHI-,89.26,50,57,10,0,1
sup-149,APP-CHI-00052,VND-sup-149-APP-CHI-,45.01,50,29,10,1,1
sup-104,APP-CHI-00052,VND-sup-104-APP-CHI-,47.71,200,47,10,0,1
sup-111,APP-CHI-00053,VND-sup-111-APP-CHI-,27.61,50,29,10,1,1
sup-116,APP-CHI-00053,VND-sup-116-APP-CHI-,30.09,50,38,10,0,1
sup-163,APP-CHI-00054,VND-sup-163-APP-CHI-,48.44,50,29,10,1,1
sup-021,APP-CHI-00054,VND-sup-021-APP-CHI-,55.71,200,53,10,0,1
sup-190,APP-CHI-00055,VND-sup-190-APP-CHI-,28.6,50,29,10,1,1
sup-045,APP-CHI-00055,VND-sup-045-APP-CHI-,34.61,100,42,10,0,1
sup-029,APP-CHI-00056,VND-sup-029-APP-CHI-,73.22,200,29,10,1,1
sup-146,APP-CHI-00056,VND-sup-146-APP-CHI-,82.01,100,40,10,0,1
sup-052,APP-CHI-00057,VND-sup-052-APP-CHI-,24.69,200,29,10,1,1
sup-038,APP-CHI-00057,VND-sup-038-APP-CHI-,30.86,50,53,10,0,1
sup-045,APP-CHI-00058,VND-sup-045-APP-CHI-,57.91,100,29,10,1,1
sup-163,APP-CHI-00058,VND-sup-163-APP-CHI-,61.38,200,47,10,0,1
sup-107,APP-CHI-00059,VND-sup-107-APP-CHI-,48.55,25,29,10,1,1
sup-010,APP-CHI-00059,VND-sup-010-APP-CHI-,54.38,50,35,10,0,1
sup-154,APP-CHI-00060,VND-sup-154-APP-CHI-,58.2,200,29,10,1,1
sup-139,APP-CHI-00060,VND-sup-139-APP-CHI-,62.27,25,40,10,0,1
sup-131,APP-CHI-00061,VND-sup-131-APP-CHI-,77.51,200,29,10,1,1
sup-154,APP-CHI-00061,VND-sup-154-APP-CHI-,93.01,25,57,10,0,1
sup-042,APP-CHI-00062,VND-sup-042-APP-CHI-,49.35,50,29,10,1,1
sup-059,APP-CHI-00062,VND-sup-059-APP-CHI-,60.21,100,37,10,0,1
sup-160,APP-CHI-00063,VND-sup-160-APP-CHI-,65.33,25,29,10,1,1
sup-171,APP-CHI-00063,VND-sup-171-APP-CHI-,80.36,200,41,10,0,1
sup-069,APP-CHI-00064,VND-sup-069-APP-CHI-,50.95,50,29,10,1,1
sup-030,APP-CHI-00064,VND-sup-030-APP-CHI-,55.03,25,57,10,0,1
sup-087,APP-CHI-00065,VND-sup-087-APP-CHI-,25.26,200,29,10,1,1
sup-151,APP-CHI-00065,VND-sup-151-APP-CHI-,31.07,200,46,10,0,1
sup-177,APP-CHI-00066,VND-sup-177-APP-CHI-,67.69,200,29,10,1,1
sup-132,APP-CHI-00066,VND-sup-132-APP-CHI-,77.84,25,34,10,0,1
sup-086,APP-CHI-00067,VND-sup-086-APP-CHI-,63.24,25,29,10,1,1
sup-107,APP-CHI-00067,VND-sup-107-APP-CHI-,71.46,25,53,10,0,1
sup-154,APP-CHI-00068,VND-sup-154-APP-CHI-,71.37,100,29,10,1,1
sup-132,APP-CHI-00068,VND-sup-132-APP-CHI-,84.22,25,35,10,0,1
sup-190,APP-CHI-00069,VND-sup-190-APP-CHI-,26.84,25,29,10,1,1
sup-139,APP-CHI-00069,VND-sup-139-APP-CHI-,28.45,25,56,10,0,1
sup-144,APP-CHI-00070,VND-sup-144-APP-CHI-,19.0,100,29,10,1,1
sup-046,APP-CHI-00070,VND-sup-046-APP-CHI-,22.8,25,47,10,0,1
sup-104,APP-CHI-00071,VND-sup-104-APP-CHI-,70.55,200,29,10,1,1
sup-187,APP-CHI-00071,VND-sup-187-APP-CHI-,80.43,25,44,10,0,1
sup-116,APP-CHI-00072,VND-sup-116-APP-CHI-,38.14,200,29,10,1,1
sup-087,APP-CHI-00072,VND-sup-087-APP-CHI-,42.72,200,44,10,0,1
sup-086,APP-CHI-00073,VND-sup-086-APP-CHI-,26.35,200,29,10,1,1
sup-069,APP-CHI-00073,VND-sup-069-APP-CHI-,32.15,100,49,10,0,1
sup-131,APP-CHI-00074,VND-sup-131-APP-CHI-,43.62,100,29,10,1,1
sup-139,APP-CHI-00074,VND-sup-139-APP-CHI-,45.8,100,42,10,0,1
sup-104,APP-CHI-00075,VND-sup-104-APP-CHI-,62.35,25,29,10,1,1
sup-116,APP-CHI-00075,VND-sup-116-APP-CHI-,77.94,200,56,10,0,1
sup-154,APP-CHI-00076,VND-sup-154-APP-CHI-,53.99,100,29,10,1,1
sup-046,APP-CHI-00076,VND-sup-046-APP-CHI-,61.01,100,50,10,0,1
sup-038,APP-CHI-00077,VND-sup-038-APP-CHI-,35.0,25,29,10,1,1
sup-163,APP-CHI-00077,VND-sup-163-APP-CHI-,39.9,100,36,10,0,1
sup-001,APP-CHI-00078,VND-sup-001-APP-CHI-,20.59,25,29,10,1,1
sup-111,APP-CHI-00078,VND-sup-111-APP-CHI-,23.47,50,35,10,0,1
sup-190,APP-CHI-00079,VND-sup-190-APP-CHI-,67.96,100,29,10,1,1
sup-085,APP-CHI-00079,VND-sup-085-APP-CHI-,79.51,50,48,10,0,1
sup-085,APP-CHI-00080,VND-sup-085-APP-CHI-,65.31,25,29,10,1,1
sup-163,APP-CHI-00080,VND-sup-163-APP-CHI-,77.07,200,53,10,0,1
sup-038,APP-CHI-00081,VND-sup-038-APP-CHI-,55.24,100,29,10,1,1
sup-086,APP-CHI-00081,VND-sup-086-APP-CHI-,67.95,25,56,10,0,1
sup-151,APP-CHI-00082,VND-sup-151-APP-CHI-,59.07,200,29,10,1,1
sup-149,APP-CHI-00082,VND-sup-149-APP-CHI-,73.84,200,57,10,0,1
sup-163,APP-CHI-00083,VND-sup-163-APP-CHI-,76.95,50,29,10,1,1
sup-038,APP-CHI-00083,VND-sup-038-APP-CHI-,88.49,25,49,10,0,1
sup-087,APP-CHI-00084,VND-sup-087-APP-CHI-,66.31,200,29,10,1,1
sup-045,APP-CHI-00084,VND-sup-045-APP-CHI-,81.56,100,54,10,0,1
sup-103,APP-CHI-00085,VND-sup-103-APP-CHI-,53.36,100,29,10,1,1
sup-116,APP-CHI-00085,VND-sup-116-APP-CHI-,56.56,50,55,10,0,1
sup-021,APP-CHI-00086,VND-sup-021-APP-CHI-,56.78,200,29,10,1,1
sup-087,APP-CHI-00086,VND-sup-087-APP-CHI-,60.75,25,45,10,0,1
sup-069,APP-CHI-00087,VND-sup-069-APP-CHI-,31.76,100,29,10,1,1
sup-046,APP-CHI-00087,VND-sup-046-APP-CHI-,35.57,200,52,10,0,1
sup-139,APP-CHI-00088,VND-sup-139-APP-CHI-,15.3,200,29,10,1,1
sup-116,APP-CHI-00088,VND-sup-116-APP-CHI-,16.07,50,47,10,0,1
sup-029,APP-CHI-00089,VND-sup-029-APP-CHI-,43.99,100,29,10,1,1
sup-045,APP-CHI-00089,VND-sup-045-APP-CHI-,50.15,100,51,10,0,1
sup-177,APP-CHI-00090,VND-sup-177-APP-CHI-,56.85,25,29,10,1,1
sup-085,APP-CHI-00090,VND-sup-085-APP-CHI-,68.22,100,45,10,0,1
sup-085,APP-CHI-00091,VND-sup-085-APP-CHI-,22.44,25,29,10,1,1
sup-030,APP-CHI-00091,VND-sup-030-APP-CHI-,24.01,100,37,10,0,1
sup-059,APP-CHI-00092,VND-sup-059-APP-CHI-,34.37,50,29,10,1,1
sup-084,APP-CHI-00092,VND-sup-084-APP-CHI-,41.24,100,37,10,0,1
sup-190,APP-CHI-00093,VND-sup-190-APP-CHI-,75.48,25,29,10,1,1
sup-197,APP-CHI-00093,VND-sup-197-APP-CHI-,92.09,25,54,10,0,1
sup-021,APP-CHI-00094,VND-sup-021-APP-CHI-,62.27,50,29,10,1,1
sup-154,APP-CHI-00094,VND-sup-154-APP-CHI-,67.87,100,39,10,0,1
sup-107,APP-CHI-00095,VND-sup-107-APP-CHI-,57.2,100,29,10,1,1
sup-131,APP-CHI-00095,VND-sup-131-APP-CHI-,64.64,50,48,10,0,1
sup-149,APP-CHI-00096,VND-sup-149-APP-CHI-,65.37,100,29,10,1,1
sup-107,APP-CHI-00096,VND-sup-107-APP-CHI-,75.83,100,39,10,0,1
sup-021,APP-CHI-00097,VND-sup-021-APP-CHI-,70.56,25,29,10,1,1
sup-069,APP-CHI-00097,VND-sup-069-APP-CHI-,88.2,100,41,10,0,1
sup-116,APP-CHI-00098,VND-sup-116-APP-CHI-,34.89,100,29,10,1,1
sup-069,APP-CHI-00098,VND-sup-069-APP-CHI-,41.52,50,44,10,0,1
sup-104,APP-CHI-00099,VND-sup-104-APP-CHI-,23.04,50,29,10,1,1
sup-144,APP-CHI-00099,VND-sup-144-APP-CHI-,25.11,200,52,10,0,1
sup-107,APP-CHI-00100,VND-sup-107-APP-CHI-,46.42,25,29,10,1,1
sup-084,APP-CHI-00100,VND-sup-084-APP-CHI-,51.53,100,57,10,0,1
sup-038,APP-CHI-00101,VND-sup-038-APP-CHI-,25.84,100,29,10,1,1
sup-107,APP-CHI-00101,VND-sup-107-APP-CHI-,29.97,200,44,10,0,1
sup-151,APP-CHI-00102,VND-sup-151-APP-CHI-,24.64,100,29,10,1,1
sup-187,APP-CHI-00102,VND-sup-187-APP-CHI-,26.86,25,50,10,0,1
sup-154,APP-CHI-00103,VND-sup-154-APP-CHI-,19.72,200,29,10,1,1
sup-107,APP-CHI-00103,VND-sup-107-APP-CHI-,21.69,25,38,10,0,1
sup-151,APP-CHI-00104,VND-sup-151-APP-CHI-,76.24,200,29,10,1,1
sup-144,APP-CHI-00104,VND-sup-144-APP-CHI-,89.2,200,53,10,0,1
sup-104,APP-CHI-00105,VND-sup-104-APP-CHI-,28.65,50,29,10,1,1
sup-085,APP-CHI-00105,VND-sup-085-APP-CHI-,30.94,25,44,10,0,1
sup-151,APP-CHI-00106,VND-sup-151-APP-CHI-,44.98,100,29,10,1,1
sup-154,APP-CHI-00106,VND-sup-154-APP-CHI-,50.83,100,49,10,0,1
sup-139,APP-CHI-00107,VND-sup-139-APP-CHI-,28.51,25,29,10,1,1
sup-149,APP-CHI-00107,VND-sup-149-APP-CHI-,35.64,100,57,10,0,1
sup-069,APP-CHI-00108,VND-sup-069-APP-CHI-,65.32,100,29,10,1,1
sup-045,APP-CHI-00108,VND-sup-045-APP-CHI-,79.04,25,42,10,0,1
sup-069,APP-CHI-00109,VND-sup-069-APP-CHI-,76.01,200,29,10,1,1
sup-131,APP-CHI-00109,VND-sup-131-APP-CHI-,84.37,25,44,10,0,1
sup-021,APP-CHI-00110,VND-sup-021-APP-CHI-,31.35,200,29,10,1,1
sup-107,APP-CHI-00110,VND-sup-107-APP-CHI-,34.17,100,57,10,0,1
sup-104,APP-CHI-00111,VND-sup-104-APP-CHI-,65.69,100,29,10,1,1
sup-029,APP-CHI-00111,VND-sup-029-APP-CHI-,80.14,100,48,10,0,1
sup-021,APP-CHI-00112,VND-sup-021-APP-CHI-,77.18,50,29,10,1,1
sup-187,APP-CHI-00112,VND-sup-187-APP-CHI-,84.13,200,43,10,0,1
sup-177,APP-CHI-00113,VND-sup-177-APP-CHI-,18.6,50,29,10,1,1
sup-139,APP-CHI-00113,VND-sup-139-APP-CHI-,19.9,50,46,10,0,1
sup-132,APP-CHI-00114,VND-sup-132-APP-CHI-,62.5,25,29,10,1,1
sup-087,APP-CHI-00114,VND-sup-087-APP-CHI-,72.5,50,37,10,0,1
sup-030,APP-CHI-00115,VND-sup-030-APP-CHI-,46.38,25,29,10,1,1
sup-116,APP-CHI-00115,VND-sup-116-APP-CHI-,49.63,25,48,10,0,1
sup-059,APP-CHI-00116,VND-sup-059-APP-CHI-,73.85,50,29,10,1,1
sup-151,APP-CHI-00116,VND-sup-151-APP-CHI-,81.97,200,38,10,0,1
sup-197,APP-CHI-00117,VND-sup-197-APP-CHI-,15.16,200,29,10,1,1
sup-085,APP-CHI-00117,VND-sup-085-APP-CHI-,17.43,200,51,10,0,1
sup-087,APP-CHI-00118,VND-sup-087-APP-CHI-,76.97,200,29,10,1,1
sup-010,APP-CHI-00118,VND-sup-010-APP-CHI-,80.82,200,56,10,0,1
sup-107,APP-CHI-00119,VND-sup-107-APP-CHI-,52.82,50,29,10,1,1
sup-045,APP-CHI-00119,VND-sup-045-APP-CHI-,58.1,50,37,10,0,1
sup-146,APP-CHI-00120,VND-sup-146-APP-CHI-,74.3,100,29,10,1,1
sup-107,APP-CHI-00120,VND-sup-107-APP-CHI-,86.93,200,44,10,0,1
sup-021,APP-CHI-00121,VND-sup-021-APP-CHI-,39.77,50,29,10,1,1
sup-197,APP-CHI-00121,VND-sup-197-APP-CHI-,44.54,100,34,10,0,1
sup-151,APP-CHI-00122,VND-sup-151-APP-CHI-,63.41,200,29,10,1,1
sup-021,APP-CHI-00122,VND-sup-021-APP-CHI-,71.65,25,41,10,0,1
sup-086,APP-CHI-00123,VND-sup-086-APP-CHI-,27.98,100,29,10,1,1
sup-107,APP-CHI-00123,VND-sup-107-APP-CHI-,31.34,50,42,10,0,1
sup-149,APP-CHI-00124,VND-sup-149-APP-CHI-,26.85,25,29,10,1,1
sup-087,APP-CHI-00124,VND-sup-087-APP-CHI-,28.73,25,38,10,0,1
sup-046,APP-CHI-00125,VND-sup-046-APP-CHI-,54.48,25,29,10,1,1
sup-139,APP-CHI-00125,VND-sup-139-APP-CHI-,68.1,100,50,10,0,1
sup-045,APP-CHI-00126,VND-sup-045-APP-CHI-,21.04,50,29,10,1,1
sup-038,APP-CHI-00126,VND-sup-038-APP-CHI-,24.83,25,47,10,0,1
sup-104,APP-CHI-00127,VND-sup-104-APP-CHI-,77.49,200,29,10,1,1
sup-151,APP-CHI-00127,VND-sup-151-APP-CHI-,82.14,25,38,10,0,1
sup-160,APP-CHI-00128,VND-sup-160-APP-CHI-,42.68,25,29,10,1,1
sup-029,APP-CHI-00128,VND-sup-029-APP-CHI-,45.24,100,56,10,0,1
sup-038,APP-CHI-00129,VND-sup-038-APP-CHI-,44.6,100,29,10,1,1
sup-084,APP-CHI-00129,VND-sup-084-APP-CHI-,54.41,50,45,10,0,1
sup-187,APP-CHI-00130,VND-sup-187-APP-CHI-,37.36,200,29,10,1,1
sup-029,APP-CHI-00130,VND-sup-029-APP-CHI-,39.6,100,54,10,0,1
sup-131,APP-CHI-00131,VND-sup-131-APP-CHI-,35.92,25,29,10,1,1
sup-059,APP-CHI-00131,VND-sup-059-APP-CHI-,42.39,50,48,10,0,1
sup-190,APP-CHI-00132,VND-sup-190-APP-CHI-,29.98,25,29,10,1,1
sup-103,APP-CHI-00132,VND-sup-103-APP-CHI-,32.68,25,46,10,0,1
sup-146,APP-CHI-00133,VND-sup-146-APP-CHI-,51.81,100,29,10,1,1
sup-085,APP-CHI-00133,VND-sup-085-APP-CHI-,58.03,50,34,10,0,1
sup-107,APP-CHI-00134,VND-sup-107-APP-CHI-,33.32,200,29,10,1,1
sup-160,APP-CHI-00134,VND-sup-160-APP-CHI-,35.65,200,36,10,0,1
sup-084,APP-CHI-00135,VND-sup-084-APP-CHI-,39.95,100,29,10,1,1
sup-038,APP-CHI-00135,VND-sup-038-APP-CHI-,43.95,100,49,10,0,1
sup-084,APP-CHI-00136,VND-sup-084-APP-CHI-,28.78,50,29,10,1,1
sup-187,APP-CHI-00136,VND-sup-187-APP-CHI-,33.1,200,42,10,0,1
sup-131,APP-CHI-00137,VND-sup-131-APP-CHI-,38.75,200,29,10,1,1
sup-163,APP-CHI-00137,VND-sup-163-APP-CHI-,48.44,200,46,10,0,1
sup-139,APP-CHI-00138,VND-sup-139-APP-CHI-,69.85,25,29,10,1,1
sup-029,APP-CHI-00138,VND-sup-029-APP-CHI-,78.93,200,38,10,0,1
sup-021,APP-CHI-00139,VND-sup-021-APP-CHI-,23.07,25,29,10,1,1
sup-010,APP-CHI-00139,VND-sup-010-APP-CHI-,24.68,50,56,10,0,1
sup-046,APP-CHI-00140,VND-sup-046-APP-CHI-,46.13,25,29,10,1,1
sup-045,APP-CHI-00140,VND-sup-045-APP-CHI-,56.28,50,36,10,0,1
sup-038,APP-CHI-00141,VND-sup-038-APP-CHI-,30.79,200,29,10,1,1
sup-187,APP-CHI-00141,VND-sup-187-APP-CHI-,35.72,200,55,10,0,1
sup-059,APP-CHI-00142,VND-sup-059-APP-CHI-,48.82,50,29,10,1,1
sup-084,APP-CHI-00142,VND-sup-084-APP-CHI-,52.73,100,52,10,0,1
sup-132,APP-CHI-00143,VND-sup-132-APP-CHI-,51.29,50,29,10,1,1
sup-160,APP-CHI-00143,VND-sup-160-APP-CHI-,62.57,100,53,10,0,1
sup-160,APP-CHI-00144,VND-sup-160-APP-CHI-,54.27,25,29,10,1,1
sup-021,APP-CHI-00144,VND-sup-021-APP-CHI-,64.04,25,54,10,0,1
sup-146,APP-CHI-00145,VND-sup-146-APP-CHI-,60.0,25,29,10,1,1
sup-021,APP-CHI-00145,VND-sup-021-APP-CHI-,64.8,200,53,10,0,1
sup-107,APP-CHI-00146,VND-sup-107-APP-CHI-,43.24,25,29,10,1,1
sup-149,APP-CHI-00146,VND-sup-149-APP-CHI-,53.19,100,44,10,0,1
sup-144,APP-CHI-00147,VND-sup-144-APP-CHI-,49.58,25,29,10,1,1
sup-149,APP-CHI-00147,VND-sup-149-APP-CHI-,54.54,50,53,10,0,1
sup-197,APP-CHI-00148,VND-sup-197-APP-CHI-,20.73,50,29,10,1,1
sup-045,APP-CHI-00148,VND-sup-045-APP-CHI-,23.42,200,49,10,0,1
sup-086,APP-CHI-00149,VND-sup-086-APP-CHI-,35.74,50,29,10,1,1
sup-154,APP-CHI-00149,VND-sup-154-APP-CHI-,39.31,100,51,10,0,1
sup-069,APP-CHI-00150,VND-sup-069-APP-CHI-,60.27,25,29,10,1,1
sup-021,APP-CHI-00150,VND-sup-021-APP-CHI-,70.52,200,49,10,0,1
sup-059,APP-CHI-00151,VND-sup-059-APP-CHI-,29.77,25,29,10,1,1
sup-045,APP-CHI-00151,VND-sup-045-APP-CHI-,31.85,25,54,10,0,1
sup-154,APP-CHI-00152,VND-sup-154-APP-CHI-,23.94,100,29,10,1,1
sup-151,APP-CHI-00152,VND-sup-151-APP-CHI-,27.53,50,39,10,0,1
sup-069,APP-CHI-00153,VND-sup-069-APP-CHI-,33.34,50,29,10,1,1
sup-139,APP-CHI-00153,VND-sup-139-APP-CHI-,41.01,25,57,10,0,1
