FAMILY_ID,SUBCATEGORY_ID,FAMILY_NAME
FAM-00093,SUBCAT-0015,Ceramic art
FAM-00094,SUBCAT-0015,Glass art
FAM-00095,SUBCAT-0015,Woodcraft
FAM-00096,SUBCAT-0015,Metalcraft
FAM-00097,SUBCAT-0015,Handmade decor
FAM-00098,SUBCAT-0015,Artisan products
FAM-00099,SUBCAT-0016,Engine oils
FAM-00100,SUBCAT-0016,Coolants
FAM-00101,SUBCAT-0016,Brake fluids
FAM-00102,SUBCAT-0016,Cleaning chemicals
FAM-00103,SUBCAT-0017,Car mats
FAM-00104,SUBCAT-0017,Seat covers
FAM-00105,SUBCAT-0017,Steering covers
FAM-00106,SUBCAT-0017,Sunshades
FAM-00107,SUBCAT-0017,Phone holders
FAM-00108,SUBCAT-0017,Organizers
FAM-00109,SUBCAT-0018,Wipers
FAM-00110,SUBCAT-0018,Bulbs
FAM-00111,SUBCAT-0018,Fuses
FAM-00112,SUBCAT-0018,Batteries
FAM-00113,SUBCAT-0018,Spark plugs
FAM-00114,SUBCAT-0018,Cleaning kits
FAM-00115,SUBCAT-0019,First-aid kits
FAM-00116,SUBCAT-0019,Warning triangles
FAM-00117,SUBCAT-0019,Jumper cables
FAM-00118,SUBCAT-0019,Emergency tools
FAM-00119,SUBCAT-0020,Dashcams
FAM-00120,SUBCAT-0020,Car stereos
FAM-00121,SUBCAT-0020,Parking sensors
FAM-00122,SUBCAT-0020,Tire-pressure monitors
FAM-00123,SUBCAT-0020,Chargers
FAM-00124,SUBCAT-0021,Helmets
FAM-00125,SUBCAT-0021,Gloves
FAM-00126,SUBCAT-0021,Riding jackets
FAM-00127,SUBCAT-0021,Accessories
FAM-00128,SUBCAT-0022,Feeding bottles
FAM-00129,SUBCAT-0022,Bottle sterilizers
FAM-00130,SUBCAT-0022,Breast pumps
FAM-00131,SUBCAT-0022,Formula
FAM-00132,SUBCAT-0022,Baby food
FAM-00133,SUBCAT-0022,Bibs
FAM-00134,SUBCAT-0022,Sippy cups
FAM-00135,SUBCAT-0023,Diapers
FAM-00136,SUBCAT-0023,Cloth diapers
FAM-00137,SUBCAT-0023,Wipes
FAM-00138,SUBCAT-0023,Changing mats
FAM-00139,SUBCAT-0023,Diaper bags
FAM-00140,SUBCAT-0023,Diaper creams
FAM-00141,SUBCAT-0024,Baby shampoo
FAM-00142,SUBCAT-0024,Baby soap
FAM-00143,SUBCAT-0024,Lotion
FAM-00144,SUBCAT-0024,Powder
FAM-00145,SUBCAT-0024,Towels
FAM-00146,SUBCAT-0025,Onesies
FAM-00147,SUBCAT-0025,Rompers
FAM-00148,SUBCAT-0025,Sleepsuits
FAM-00149,SUBCAT-0025,Socks
FAM-00150,SUBCAT-0025,Caps
FAM-00151,SUBCAT-0025,Jackets
FAM-00152,SUBCAT-0026,Strollers
FAM-00153,SUBCAT-0026,Cribs
FAM-00154,SUBCAT-0026,High chairs
FAM-00155,SUBCAT-0026,Car seats
FAM-00156,SUBCAT-0026,Baby carriers
FAM-00157,SUBCAT-0026,Baby monitors
FAM-00158,SUBCAT-0027,Maternity clothing
FAM-00159,SUBCAT-0027,Nursing clothing
FAM-00160,SUBCAT-0027,Maternity support products
FAM-00161,SUBCAT-0027,Nursing accessories
FAM-00162,SUBCAT-0028,Backpacks
FAM-00163,SUBCAT-0028,School bags
FAM-00164,SUBCAT-0028,Laptop bags
FAM-00165,SUBCAT-0028,Handbags
FAM-00166,SUBCAT-0028,Shoulder bags
FAM-00167,SUBCAT-0028,Sling bags
FAM-00168,SUBCAT-0028,Tote bags
FAM-00169,SUBCAT-0028,Duffel bags
FAM-00170,SUBCAT-0028,Travel bags
FAM-00171,SUBCAT-0028,Suitcases
FAM-00172,SUBCAT-0028,Cabin luggage
FAM-00173,SUBCAT-0028,Trunks
FAM-00174,SUBCAT-0028,Briefcases
FAM-00175,SUBCAT-0028,Wallets
FAM-00176,SUBCAT-0028,Passport holders
FAM-00177,SUBCAT-0028,Travel organizers
FAM-00178,SUBCAT-0029,Bread
FAM-00179,SUBCAT-0029,Buns
FAM-00180,SUBCAT-0029,Rolls
FAM-00181,SUBCAT-0029,Croissants
FAM-00182,SUBCAT-0029,Muffins
FAM-00183,SUBCAT-0029,Cakes
FAM-00184,SUBCAT-0029,Cupcakes
FAM-00185,SUBCAT-0029,Pastries
FAM-00186,SUBCAT-0029,Donuts
FAM-00187,SUBCAT-0029,Cookies
FAM-00188,SUBCAT-0029,Pies
FAM-00189,SUBCAT-0029,Tarts
FAM-00190,SUBCAT-0030,Cream biscuits
FAM-00191,SUBCAT-0030,Digestive biscuits
FAM-00192,SUBCAT-0030,Crackers
FAM-00193,SUBCAT-0030,Cookies
FAM-00194,SUBCAT-0030,Wafer biscuits
FAM-00195,SUBCAT-0030,Premium cookies
FAM-00196,SUBCAT-0030,Imported biscuits
FAM-00197,SUBCAT-0031,Chocolate bars
FAM-00198,SUBCAT-0031,Dark chocolate
FAM-00199,SUBCAT-0031,Milk chocolate
FAM-00200,SUBCAT-0031,White chocolate
FAM-00201,SUBCAT-0031,Truffles
FAM-00202,SUBCAT-0031,Pralines
FAM-00203,SUBCAT-0031,Boxed chocolates
FAM-00204,SUBCAT-0031,Premium chocolates
FAM-00205,SUBCAT-0031,Baking chocolate
FAM-00206,SUBCAT-0032,Hard candy
FAM-00207,SUBCAT-0032,Gummies
FAM-00208,SUBCAT-0032,Toffees
FAM-00209,SUBCAT-0032,Lollipops
FAM-00210,SUBCAT-0032,Marshmallows
FAM-00211,SUBCAT-0032,Traditional sweets
FAM-00212,SUBCAT-0032,Festival sweets
FAM-00213,SUBCAT-0033,Foundation
FAM-00214,SUBCAT-0033,Concealer
FAM-00215,SUBCAT-0033,Powder
FAM-00216,SUBCAT-0033,Blush
FAM-00217,SUBCAT-0033,Bronzer
FAM-00218,SUBCAT-0033,Highlighter
FAM-00219,SUBCAT-0033,Eyeliner
FAM-00220,SUBCAT-0033,Mascara
FAM-00221,SUBCAT-0033,Eye shadow
FAM-00222,SUBCAT-0033,Lipstick
FAM-00223,SUBCAT-0033,Lip gloss
FAM-00224,SUBCAT-0033,Lip balm
FAM-00225,SUBCAT-0033,Makeup remover
FAM-00226,SUBCAT-0034,Face wash
FAM-00227,SUBCAT-0034,Moisturizer
FAM-00228,SUBCAT-0034,Sunscreen
FAM-00229,SUBCAT-0034,Serum
FAM-00230,SUBCAT-0034,Toner
FAM-00231,SUBCAT-0034,Face masks
FAM-00232,SUBCAT-0034,Anti-aging products
FAM-00233,SUBCAT-0035,Nail polish
FAM-00234,SUBCAT-0035,Nail remover
FAM-00235,SUBCAT-0035,Nail tools
FAM-00236,SUBCAT-0035,Nail extensions
FAM-00237,SUBCAT-0036,Perfume
FAM-00238,SUBCAT-0036,Eau de parfum
FAM-00239,SUBCAT-0036,Cologne
FAM-00240,SUBCAT-0036,Body mist
FAM-00241,SUBCAT-0036,Attar
FAM-00242,SUBCAT-0037,Hair dryers
FAM-00243,SUBCAT-0037,Curlers
FAM-00244,SUBCAT-0037,Straighteners
FAM-00245,SUBCAT-0037,Hair brushes
FAM-00246,SUBCAT-0037,Makeup brushes
FAM-00247,SUBCAT-0037,Mirrors
FAM-00248,SUBCAT-0037,Facial tools
FAM-00249,SUBCAT-0038,Bottled water
FAM-00250,SUBCAT-0038,Mineral water
FAM-00251,SUBCAT-0038,Sparkling water
FAM-00252,SUBCAT-0038,Flavoured water
FAM-00253,SUBCAT-0039,Cola
FAM-00254,SUBCAT-0039,Lemon/lime drinks
FAM-00255,SUBCAT-0039,Orange drinks
FAM-00256,SUBCAT-0039,Soda
FAM-00257,SUBCAT-0039,Tonic water
FAM-00258,SUBCAT-0040,Fruit juice
FAM-00259,SUBCAT-0040,Vegetable juice
FAM-00260,SUBCAT-0040,Cold-pressed juice
FAM-00261,SUBCAT-0040,Juice concentrates
FAM-00262,SUBCAT-0040,Nectar
FAM-00263,SUBCAT-0041,Energy drinks
FAM-00264,SUBCAT-0041,Electrolyte drinks
FAM-00265,SUBCAT-0041,Sports drinks
FAM-00266,SUBCAT-0042,Tea bags
FAM-00267,SUBCAT-0042,Loose tea
FAM-00268,SUBCAT-0042,Green tea
FAM-00269,SUBCAT-0042,Black tea
FAM-00270,SUBCAT-0042,Herbal tea
FAM-00271,SUBCAT-0042,Specialty tea
FAM-00272,SUBCAT-0043,Instant coffee
FAM-00273,SUBCAT-0043,Ground coffee
FAM-00274,SUBCAT-0043,Beans
FAM-00275,SUBCAT-0043,Cold brew
FAM-00276,SUBCAT-0043,Capsules
FAM-00277,SUBCAT-0043,Specialty coffee
FAM-00278,SUBCAT-0044,Milk powders
FAM-00279,SUBCAT-0044,Cocoa drinks
FAM-00280,SUBCAT-0044,Health drinks
FAM-00281,SUBCAT-0044,Protein drinks
FAM-00282,SUBCAT-0044,Syrups
FAM-00283,SUBCAT-0044,Concentrates
FAM-00284,SUBCAT-0045,Bicycles
FAM-00285,SUBCAT-0045,Mountain bikes
FAM-00286,SUBCAT-0045,Road bikes
FAM-00287,SUBCAT-0045,Kids' bikes
FAM-00288,SUBCAT-0045,E-bikes
FAM-00289,SUBCAT-0045,Scooters
FAM-00290,SUBCAT-0045,Skateboards
FAM-00291,SUBCAT-0045,Roller skates
FAM-00292,SUBCAT-0045,Protective helmets
FAM-00293,SUBCAT-0045,Knee/elbow protection
FAM-00294,SUBCAT-0045,Bicycle lights
FAM-00295,SUBCAT-0045,Pumps
FAM-00296,SUBCAT-0045,Locks
FAM-00297,SUBCAT-0045,Repair kits
FAM-00298,SUBCAT-0046,Romance
FAM-00299,SUBCAT-0046,Mystery
FAM-00300,SUBCAT-0046,Thriller
FAM-00301,SUBCAT-0046,Fantasy
FAM-00302,SUBCAT-0046,Science fiction
FAM-00303,SUBCAT-0046,Literary fiction
FAM-00304,SUBCAT-0046,Young adult
FAM-00305,SUBCAT-0047,Business
FAM-00306,SUBCAT-0047,Technology
FAM-00307,SUBCAT-0047,Science
FAM-00308,SUBCAT-0047,History
FAM-00309,SUBCAT-0047,Psychology
FAM-00310,SUBCAT-0047,Philosophy
FAM-00311,SUBCAT-0047,Self-help
FAM-00312,SUBCAT-0047,Biography
FAM-00313,SUBCAT-0047,Travel
FAM-00314,SUBCAT-0047,Cooking
FAM-00315,SUBCAT-0048,Picture books
FAM-00316,SUBCAT-0048,Story books
FAM-00317,SUBCAT-0048,Activity books
FAM-00318,SUBCAT-0048,Educational books
FAM-00319,SUBCAT-0049,Textbooks
FAM-00320,SUBCAT-0049,Reference books
FAM-00321,SUBCAT-0049,Competitive-exam books
FAM-00322,SUBCAT-0049,Professional books
FAM-00323,SUBCAT-0050,Coins
FAM-00324,SUBCAT-0050,Stamps
FAM-00325,SUBCAT-0050,Trading cards
FAM-00326,SUBCAT-0050,Sports memorabilia
FAM-00327,SUBCAT-0050,Movie memorabilia
FAM-00328,SUBCAT-0050,Signed items
FAM-00329,SUBCAT-0050,Figurines
FAM-00330,SUBCAT-0050,Limited editions
FAM-00331,SUBCAT-0050,Art prints
FAM-00332,SUBCAT-0050,Collector toys
FAM-00333,SUBCAT-0050,Antiques where legally permissible
FAM-00334,SUBCAT-0051,Desktops
FAM-00335,SUBCAT-0051,Laptops
FAM-00336,SUBCAT-0051,Gaming laptops
FAM-00337,SUBCAT-0051,Mini PCs
FAM-00338,SUBCAT-0051,Workstations
FAM-00339,SUBCAT-0052,Keyboards
FAM-00340,SUBCAT-0052,Mice
FAM-00341,SUBCAT-0052,Monitors
FAM-00342,SUBCAT-0052,Webcams
FAM-00343,SUBCAT-0052,Printers
FAM-00344,SUBCAT-0052,Scanners
FAM-00345,SUBCAT-0052,Speakers
FAM-00346,SUBCAT-0052,Microphones
FAM-00347,SUBCAT-0053,Routers
FAM-00348,SUBCAT-0053,Mesh systems
FAM-00349,SUBCAT-0053,Modems
FAM-00350,SUBCAT-0053,Network cables
FAM-00351,SUBCAT-0053,Switches
FAM-00352,SUBCAT-0054,Smartphones
FAM-00353,SUBCAT-0054,Tablets
FAM-00354,SUBCAT-0054,Smart watches
FAM-00355,SUBCAT-0055,Cases
FAM-00356,SUBCAT-0055,Screen protectors
FAM-00357,SUBCAT-0055,Chargers
FAM-00358,SUBCAT-0055,Cables
FAM-00359,SUBCAT-0055,Wireless chargers
FAM-00360,SUBCAT-0055,Car chargers
FAM-00361,SUBCAT-0055,Stands
FAM-00362,SUBCAT-0055,Holders
FAM-00363,SUBCAT-0056,Televisions
FAM-00364,SUBCAT-0056,Soundbars
FAM-00365,SUBCAT-0056,Speakers
FAM-00366,SUBCAT-0056,Headphones
FAM-00367,SUBCAT-0056,Earphones
FAM-00368,SUBCAT-0056,Earbuds
FAM-00369,SUBCAT-0056,Home theatre systems
FAM-00370,SUBCAT-0056,Projectors
FAM-00371,SUBCAT-0056,Streaming devices
FAM-00372,SUBCAT-0056,Cameras
FAM-00373,SUBCAT-0056,Action cameras
FAM-00374,SUBCAT-0056,Drones
FAM-00375,SUBCAT-0056,Digital photo frames
FAM-00376,SUBCAT-0056,E-readers
FAM-00377,SUBCAT-0056,Smart home devices
FAM-00378,SUBCAT-0057,HDMI cables
FAM-00379,SUBCAT-0057,Chargers
FAM-00380,SUBCAT-0057,Power adapters
FAM-00381,SUBCAT-0057,Batteries
FAM-00382,SUBCAT-0057,Power banks
FAM-00383,SUBCAT-0057,Memory cards
FAM-00384,SUBCAT-0057,USB devices
FAM-00385,SUBCAT-0057,Remote controls
FAM-00386,SUBCAT-0058,Milk
FAM-00387,SUBCAT-0058,Curd
FAM-00388,SUBCAT-0058,Yogurt
FAM-00389,SUBCAT-0058,Greek yogurt
FAM-00390,SUBCAT-0058,Paneer
FAM-00391,SUBCAT-0058,Cheese
FAM-00392,SUBCAT-0058,Cream
FAM-00393,SUBCAT-0058,Butter
FAM-00394,SUBCAT-0058,Buttermilk
FAM-00395,SUBCAT-0058,Flavoured milk
FAM-00396,SUBCAT-0059,Vegan milk alternatives
FAM-00397,SUBCAT-0059,Almond milk
FAM-00398,SUBCAT-0059,Soy milk
FAM-00399,SUBCAT-0059,Oat milk
FAM-00400,SUBCAT-0059,Coconut milk
FAM-00401,SUBCAT-0059,Plant-based cheese
FAM-00402,SUBCAT-0059,Plant-based yogurt
FAM-00403,SUBCAT-0060,Dips
FAM-00404,SUBCAT-0060,Hummus
FAM-00405,SUBCAT-0060,Fresh pasta
FAM-00406,SUBCAT-0060,Prepared salads
FAM-00407,SUBCAT-0060,Sandwiches
FAM-00408,SUBCAT-0060,Ready meals
FAM-00409,SUBCAT-0060,Fresh juices
FAM-00410,SUBCAT-0061,Gift cards
FAM-00411,SUBCAT-0061,Store credit
FAM-00412,SUBCAT-0061,Digital subscriptions
FAM-00413,SUBCAT-0061,Game cards
FAM-00414,SUBCAT-0061,Streaming vouchers
FAM-00415,SUBCAT-0061,Software licences
FAM-00416,SUBCAT-0061,E-books
FAM-00417,SUBCAT-0061,Digital memberships
FAM-00418,SUBCAT-0061,Event tickets
FAM-00419,SUBCAT-0061,Service vouchers
FAM-00420,SUBCAT-0061,Warranty extensions
FAM-00421,SUBCAT-0061,Installation packages
FAM-00422,SUBCAT-0062,LED bulbs
FAM-00423,SUBCAT-0062,Tube lights
FAM-00424,SUBCAT-0062,Decorative lighting
FAM-00425,SUBCAT-0062,Ceiling lights
FAM-00426,SUBCAT-0062,Lamps
FAM-00427,SUBCAT-0062,Floor lamps
FAM-00428,SUBCAT-0062,Outdoor lights
FAM-00429,SUBCAT-0062,Solar lighting
FAM-00430,SUBCAT-0063,Switches
FAM-00431,SUBCAT-0063,Sockets
FAM-00432,SUBCAT-0063,Extension boards
FAM-00433,SUBCAT-0063,Cables
FAM-00434,SUBCAT-0063,Plugs
FAM-00435,SUBCAT-0063,Adapters
FAM-00436,SUBCAT-0063,Circuit breakers
FAM-00437,SUBCAT-0064,UPS
FAM-00438,SUBCAT-0064,Inverters
FAM-00439,SUBCAT-0064,Batteries
FAM-00440,SUBCAT-0064,Solar backup products
FAM-00441,SUBCAT-0065,Cinema
FAM-00442,SUBCAT-0065,Gaming zone
FAM-00443,SUBCAT-0065,Arcade
FAM-00444,SUBCAT-0065,Bowling
FAM-00445,SUBCAT-0065,Children's play area
FAM-00446,SUBCAT-0065,Trampoline park
FAM-00447,SUBCAT-0065,VR experience
FAM-00448,SUBCAT-0065,Escape room
FAM-00449,SUBCAT-0065,Event venue
FAM-00450,SUBCAT-0065,Workshop space
FAM-00451,SUBCAT-0065,Cooking classes
FAM-00452,SUBCAT-0065,Art workshops
FAM-00453,SUBCAT-0066,DVDs/Blu-rays where applicable
FAM-00454,SUBCAT-0066,Digital media cards
FAM-00455,SUBCAT-0066,Music merchandise
FAM-00456,SUBCAT-0066,Movies/TV merchandise
FAM-00457,SUBCAT-0066,Posters
FAM-00458,SUBCAT-0066,Collectible merchandise
FAM-00459,SUBCAT-0066,Fan merchandise
FAM-00460,SUBCAT-0067,Belts
FAM-00461,SUBCAT-0067,Wallets
FAM-00462,SUBCAT-0067,Card holders
FAM-00463,SUBCAT-0067,Handbags
FAM-00464,SUBCAT-0067,Purses
FAM-00465,SUBCAT-0067,Clutches
FAM-00466,SUBCAT-0067,Backpacks
FAM-00467,SUBCAT-0067,Scarves
FAM-00468,SUBCAT-0067,Hats
FAM-00469,SUBCAT-0067,Caps
FAM-00470,SUBCAT-0067,Gloves
FAM-00471,SUBCAT-0067,Sunglasses
FAM-00472,SUBCAT-0067,Hair accessories
FAM-00473,SUBCAT-0067,Hair bands
FAM-00474,SUBCAT-0067,Hair clips
FAM-00475,SUBCAT-0067,Brooches
FAM-00476,SUBCAT-0067,Tie
FAM-00477,SUBCAT-0067,Bow tie
FAM-00478,SUBCAT-0067,Cufflinks
FAM-00479,SUBCAT-0067,Pocket squares
FAM-00480,SUBCAT-0068,Decorations
FAM-00481,SUBCAT-0068,Party goods
FAM-00482,SUBCAT-0068,Gift products
FAM-00483,SUBCAT-0069,Chocolates
FAM-00484,SUBCAT-0069,Flowers
FAM-00485,SUBCAT-0069,Gifts
FAM-00486,SUBCAT-0069,Cards
FAM-00487,SUBCAT-0069,Decorative merchandise
FAM-00488,SUBCAT-0070,Eggs
FAM-00489,SUBCAT-0070,Decorations
FAM-00490,SUBCAT-0070,Gifts
FAM-00491,SUBCAT-0071,Costumes
FAM-00492,SUBCAT-0071,Decorations
FAM-00493,SUBCAT-0071,Masks
FAM-00494,SUBCAT-0071,Party products
FAM-00495,SUBCAT-0072,Trees
FAM-00496,SUBCAT-0072,Ornaments
FAM-00497,SUBCAT-0072,Lights
FAM-00498,SUBCAT-0072,Stockings
FAM-00499,SUBCAT-0072,Gifts
FAM-00500,SUBCAT-0072,Wrapping supplies
FAM-00501,SUBCAT-0073,Diwali decorations
FAM-00502,SUBCAT-0073,Diyas
FAM-00503,SUBCAT-0073,Rangoli products
FAM-00504,SUBCAT-0073,Puja products
FAM-00505,SUBCAT-0073,Rakhi
FAM-00506,SUBCAT-0073,Holi products
FAM-00507,SUBCAT-0073,Pongal merchandise
FAM-00508,SUBCAT-0073,Onam merchandise
FAM-00509,SUBCAT-0073,Navratri/Dussehra products
FAM-00510,SUBCAT-0073,Eid merchandise
FAM-00511,SUBCAT-0074,Rainwear
FAM-00512,SUBCAT-0074,Umbrellas
FAM-00513,SUBCAT-0074,Winterwear
FAM-00514,SUBCAT-0074,Blankets
FAM-00515,SUBCAT-0074,Summer products
FAM-00516,SUBCAT-0074,Cooling products
FAM-00517,SUBCAT-0075,Cut flowers
FAM-00518,SUBCAT-0075,Bouquets
FAM-00519,SUBCAT-0075,Flower baskets
FAM-00520,SUBCAT-0075,Indoor plants
FAM-00521,SUBCAT-0075,Floral arrangements
FAM-00522,SUBCAT-0075,Artificial flowers
FAM-00523,SUBCAT-0075,Wedding flowers
FAM-00524,SUBCAT-0075,Funeral flowers
FAM-00525,SUBCAT-0075,Gift plants
FAM-00526,SUBCAT-0075,Decorative planters
FAM-00527,SUBCAT-0076,Supermarket
FAM-00528,SUBCAT-0076,Bakery
FAM-00529,SUBCAT-0076,Café
FAM-00530,SUBCAT-0076,Coffee shop
FAM-00531,SUBCAT-0076,Juice bar
FAM-00532,SUBCAT-0076,Restaurant
FAM-00533,SUBCAT-0076,Fast food
FAM-00534,SUBCAT-0076,Fine dining
FAM-00535,SUBCAT-0076,Food court
FAM-00536,SUBCAT-0076,Dessert shop
FAM-00537,SUBCAT-0076,Ice cream counter
FAM-00538,SUBCAT-0076,Specialty cuisine outlets
FAM-00539,SUBCAT-0076,Takeaway counter
FAM-00540,SUBCAT-0076,Catering
FAM-00541,SUBCAT-0077,Formal shoes
FAM-00542,SUBCAT-0077,Casual shoes
FAM-00543,SUBCAT-0077,Sneakers
FAM-00544,SUBCAT-0077,Boots
FAM-00545,SUBCAT-0077,Sandals
FAM-00546,SUBCAT-0077,Slippers
FAM-00547,SUBCAT-0077,Loafers
FAM-00548,SUBCAT-0077,Sports shoes
FAM-00549,SUBCAT-0078,Heels
FAM-00550,SUBCAT-0078,Flats
FAM-00551,SUBCAT-0078,Sandals
FAM-00552,SUBCAT-0078,Wedges
FAM-00553,SUBCAT-0078,Sneakers
FAM-00554,SUBCAT-0078,Boots
FAM-00555,SUBCAT-0078,Slippers
FAM-00556,SUBCAT-0079,School shoes
FAM-00557,SUBCAT-0079,Sneakers
FAM-00558,SUBCAT-0079,Sandals
FAM-00559,SUBCAT-0079,Boots
FAM-00560,SUBCAT-0079,Casual shoes
FAM-00561,SUBCAT-0080,Running shoes
FAM-00562,SUBCAT-0080,Hiking shoes
FAM-00563,SUBCAT-0080,Safety footwear
FAM-00564,SUBCAT-0080,Work boots
FAM-00565,SUBCAT-0080,Rain footwear
FAM-00566,SUBCAT-0081,Insoles
FAM-00567,SUBCAT-0081,Laces
FAM-00568,SUBCAT-0081,Shoe polish
FAM-00569,SUBCAT-0081,Shoe trees
FAM-00570,SUBCAT-0081,Cleaning kits
FAM-00571,SUBCAT-0082,Apples
FAM-00572,SUBCAT-0082,Bananas
FAM-00573,SUBCAT-0082,Oranges
FAM-00574,SUBCAT-0082,Grapes
FAM-00575,SUBCAT-0082,Mangoes
FAM-00576,SUBCAT-0082,Papaya
FAM-00577,SUBCAT-0082,Watermelon
FAM-00578,SUBCAT-0082,Pineapple
FAM-00579,SUBCAT-0082,Guava
FAM-00580,SUBCAT-0082,Pomegranate
FAM-00581,SUBCAT-0082,Kiwi
FAM-00582,SUBCAT-0082,Dragon fruit
FAM-00583,SUBCAT-0082,Berries
FAM-00584,SUBCAT-0082,Stone fruits
FAM-00585,SUBCAT-0082,Citrus fruits
FAM-00586,SUBCAT-0082,Imported fruits
FAM-00587,SUBCAT-0082,Exotic fruits
FAM-00588,SUBCAT-0083,Potato
FAM-00589,SUBCAT-0083,Tomato
FAM-00590,SUBCAT-0083,Onion
FAM-00591,SUBCAT-0083,Carrot
FAM-00592,SUBCAT-0083,Beans
FAM-00593,SUBCAT-0083,Brinjal
FAM-00594,SUBCAT-0083,Cabbage
FAM-00595,SUBCAT-0083,Cauliflower
FAM-00596,SUBCAT-0083,Broccoli
FAM-00597,SUBCAT-0083,Spinach
FAM-00598,SUBCAT-0083,Lettuce
FAM-00599,SUBCAT-0083,Capsicum
FAM-00600,SUBCAT-0083,Pumpkin
FAM-00601,SUBCAT-0083,Cucumber
FAM-00602,SUBCAT-0083,Beetroot
FAM-00603,SUBCAT-0083,Radish
FAM-00604,SUBCAT-0083,Sweet potato
FAM-00605,SUBCAT-0083,Mushrooms
FAM-00606,SUBCAT-0084,Spinach
FAM-00607,SUBCAT-0084,Coriander
