PRODUCT_ID,FAMILY_ID,PRODUCT_NAME,BRAND_ID,MANUFACTURER_ID,PRODUCT_TYPE
PRD-00060,FAM-00015,Ethnic wear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00061,FAM-00016,Bodysuits - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00062,FAM-00016,Bodysuits - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00063,FAM-00016,Bodysuits - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00064,FAM-00016,Bodysuits - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00065,FAM-00017,Rompers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00066,FAM-00017,Rompers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00067,FAM-00017,Rompers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00068,FAM-00017,Rompers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00069,FAM-00018,Sleepwear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00070,FAM-00018,Sleepwear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00071,FAM-00018,Sleepwear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00072,FAM-00018,Sleepwear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00073,FAM-00019,Winterwear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00074,FAM-00019,Winterwear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00075,FAM-00019,Winterwear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00076,FAM-00019,Winterwear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00077,FAM-00020,School uniforms - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00078,FAM-00020,School uniforms - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00079,FAM-00020,School uniforms - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00080,FAM-00020,School uniforms - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00081,FAM-00021,Character clothing - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00082,FAM-00021,Character clothing - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00083,FAM-00021,Character clothing - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00084,FAM-00021,Character clothing - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00085,FAM-00022,Costume wear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00086,FAM-00022,Costume wear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00087,FAM-00022,Costume wear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00088,FAM-00022,Costume wear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00089,FAM-00023,Swimwear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00090,FAM-00023,Swimwear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00091,FAM-00023,Swimwear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00092,FAM-00023,Swimwear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00093,FAM-00024,T-shirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00094,FAM-00024,T-shirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00095,FAM-00024,T-shirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00096,FAM-00024,T-shirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00097,FAM-00025,Shirts - Slim Fit,FashionCo,Manufacturer Direct,Slim Fit
PRD-00098,FAM-00025,Shirts - Slim Fit,StyleBrand,Manufacturer Direct,Slim Fit
PRD-00099,FAM-00025,Shirts - Regular Fit,FashionCo,Manufacturer Direct,Regular Fit
PRD-00100,FAM-00025,Shirts - Regular Fit,StyleBrand,Manufacturer Direct,Regular Fit
PRD-00101,FAM-00026,Polo shirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00102,FAM-00026,Polo shirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00103,FAM-00026,Polo shirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00104,FAM-00026,Polo shirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00105,FAM-00027,Sweatshirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00106,FAM-00027,Sweatshirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00107,FAM-00027,Sweatshirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00108,FAM-00027,Sweatshirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00109,FAM-00028,Hoodies - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00110,FAM-00028,Hoodies - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00111,FAM-00028,Hoodies - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00112,FAM-00028,Hoodies - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00113,FAM-00029,Sweaters - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00114,FAM-00029,Sweaters - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00115,FAM-00029,Sweaters - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00116,FAM-00029,Sweaters - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00117,FAM-00030,Jackets - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00118,FAM-00030,Jackets - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00119,FAM-00030,Jackets - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00120,FAM-00030,Jackets - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00121,FAM-00031,Coats - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00122,FAM-00031,Coats - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00123,FAM-00031,Coats - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00124,FAM-00031,Coats - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00125,FAM-00032,Blazers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00126,FAM-00032,Blazers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00127,FAM-00032,Blazers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00128,FAM-00032,Blazers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00129,FAM-00033,Suits - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00130,FAM-00033,Suits - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00131,FAM-00033,Suits - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00132,FAM-00033,Suits - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00133,FAM-00034,Ethnic wear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00134,FAM-00034,Ethnic wear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00135,FAM-00034,Ethnic wear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00136,FAM-00034,Ethnic wear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00137,FAM-00035,Jeans - Skinny,DenimBrand,Manufacturer Direct,Skinny
PRD-00138,FAM-00035,Jeans - Skinny,UrbanJeans,Manufacturer Direct,Skinny
PRD-00139,FAM-00035,Jeans - Straight,DenimBrand,Manufacturer Direct,Straight
PRD-00140,FAM-00035,Jeans - Straight,UrbanJeans,Manufacturer Direct,Straight
PRD-00141,FAM-00036,Trousers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00142,FAM-00036,Trousers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00143,FAM-00036,Trousers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00144,FAM-00036,Trousers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00145,FAM-00037,Chinos - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00146,FAM-00037,Chinos - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00147,FAM-00037,Chinos - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00148,FAM-00037,Chinos - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00149,FAM-00038,Shorts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00150,FAM-00038,Shorts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00151,FAM-00038,Shorts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00152,FAM-00038,Shorts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00153,FAM-00039,Track pants - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00154,FAM-00039,Track pants - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00155,FAM-00039,Track pants - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00156,FAM-00039,Track pants - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00157,FAM-00040,Formal pants - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00158,FAM-00040,Formal pants - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00159,FAM-00040,Formal pants - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00160,FAM-00040,Formal pants - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00161,FAM-00041,Traditional bottoms - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00162,FAM-00041,Traditional bottoms - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00163,FAM-00041,Traditional bottoms - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00164,FAM-00041,Traditional bottoms - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00165,FAM-00042,Briefs - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00166,FAM-00042,Briefs - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00167,FAM-00042,Briefs - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00168,FAM-00042,Briefs - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00169,FAM-00043,Boxers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00170,FAM-00043,Boxers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00171,FAM-00043,Boxers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00172,FAM-00043,Boxers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00173,FAM-00044,Undershirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00174,FAM-00044,Undershirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00175,FAM-00044,Undershirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00176,FAM-00044,Undershirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00177,FAM-00045,Thermal wear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00178,FAM-00045,Thermal wear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00179,FAM-00045,Thermal wear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00180,FAM-00045,Thermal wear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00181,FAM-00046,Night suits - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00182,FAM-00046,Night suits - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00183,FAM-00046,Night suits - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00184,FAM-00046,Night suits - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00185,FAM-00047,Pajamas - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00186,FAM-00047,Pajamas - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00187,FAM-00047,Pajamas - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00188,FAM-00047,Pajamas - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00189,FAM-00048,Robes - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00190,FAM-00048,Robes - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00191,FAM-00048,Robes - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00192,FAM-00048,Robes - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00193,FAM-00049,Kurta - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00194,FAM-00049,Kurta - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00195,FAM-00049,Kurta - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00196,FAM-00049,Kurta - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00197,FAM-00050,Sherwani - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00198,FAM-00050,Sherwani - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00199,FAM-00050,Sherwani - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00200,FAM-00050,Sherwani - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00201,FAM-00051,Dhoti - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00202,FAM-00051,Dhoti - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00203,FAM-00051,Dhoti - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00204,FAM-00051,Dhoti - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00205,FAM-00052,Veshti - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00206,FAM-00052,Veshti - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00207,FAM-00052,Veshti - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00208,FAM-00052,Veshti - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00209,FAM-00053,Ethnic sets - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00210,FAM-00053,Ethnic sets - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00211,FAM-00053,Ethnic sets - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00212,FAM-00053,Ethnic sets - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00213,FAM-00054,T-shirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00214,FAM-00054,T-shirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00215,FAM-00054,T-shirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00216,FAM-00054,T-shirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00217,FAM-00055,Shirts - Slim Fit,FashionCo,Manufacturer Direct,Slim Fit
PRD-00218,FAM-00055,Shirts - Slim Fit,StyleBrand,Manufacturer Direct,Slim Fit
PRD-00219,FAM-00055,Shirts - Regular Fit,FashionCo,Manufacturer Direct,Regular Fit
PRD-00220,FAM-00055,Shirts - Regular Fit,StyleBrand,Manufacturer Direct,Regular Fit
PRD-00221,FAM-00056,Tops - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00222,FAM-00056,Tops - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00223,FAM-00056,Tops - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00224,FAM-00056,Tops - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00225,FAM-00057,Blouses - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00226,FAM-00057,Blouses - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00227,FAM-00057,Blouses - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00228,FAM-00057,Blouses - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00229,FAM-00058,Dresses - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00230,FAM-00058,Dresses - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00231,FAM-00058,Dresses - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00232,FAM-00058,Dresses - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00233,FAM-00059,Skirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00234,FAM-00059,Skirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00235,FAM-00059,Skirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00236,FAM-00059,Skirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00237,FAM-00060,Jeans - Skinny,DenimBrand,Manufacturer Direct,Skinny
PRD-00238,FAM-00060,Jeans - Skinny,UrbanJeans,Manufacturer Direct,Skinny
PRD-00239,FAM-00060,Jeans - Straight,DenimBrand,Manufacturer Direct,Straight
PRD-00240,FAM-00060,Jeans - Straight,UrbanJeans,Manufacturer Direct,Straight
PRD-00241,FAM-00061,Trousers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00242,FAM-00061,Trousers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00243,FAM-00061,Trousers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00244,FAM-00061,Trousers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00245,FAM-00062,Leggings - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00246,FAM-00062,Leggings - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00247,FAM-00062,Leggings - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00248,FAM-00062,Leggings - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00249,FAM-00063,Shorts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00250,FAM-00063,Shorts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00251,FAM-00063,Shorts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00252,FAM-00063,Shorts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00253,FAM-00064,Jumpsuits - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00254,FAM-00064,Jumpsuits - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00255,FAM-00064,Jumpsuits - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00256,FAM-00064,Jumpsuits - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00257,FAM-00065,Jackets - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00258,FAM-00065,Jackets - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00259,FAM-00065,Jackets - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00260,FAM-00065,Jackets - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00261,FAM-00066,Coats - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00262,FAM-00066,Coats - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00263,FAM-00066,Coats - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00264,FAM-00066,Coats - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00265,FAM-00067,Blazers - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00266,FAM-00067,Blazers - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00267,FAM-00067,Blazers - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00268,FAM-00067,Blazers - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00269,FAM-00068,Sarees - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00270,FAM-00068,Sarees - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00271,FAM-00068,Sarees - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00272,FAM-00068,Sarees - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00273,FAM-00069,Salwar suits - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00274,FAM-00069,Salwar suits - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00275,FAM-00069,Salwar suits - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00276,FAM-00069,Salwar suits - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00277,FAM-00070,Kurtis - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00278,FAM-00070,Kurtis - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00279,FAM-00070,Kurtis - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00280,FAM-00070,Kurtis - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00281,FAM-00071,Lehengas - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00282,FAM-00071,Lehengas - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00283,FAM-00071,Lehengas - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00284,FAM-00071,Lehengas - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00285,FAM-00072,Anarkalis - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00286,FAM-00072,Anarkalis - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00287,FAM-00072,Anarkalis - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00288,FAM-00072,Anarkalis - Premium Style,Brand Y,Manufacturer Direct,Premium Style
