SKU_ID,PRODUCT_ID,SKU_NAME,BASE_UNIT_COST,BASE_RETAIL_PRICE,UNIT_OF_MEASURE,PACK_SIZE,SHELF_LIFE_DAYS,PERISHABILITY_TIER,DEMAND_VOLATILITY,SEASONALITY_PROFILE,WEATHER_SENSITIVITY,FESTIVAL_AFFINITY,PROMOTION_SENSITIVITY,PRICE_ELASTICITY,REGIONAL_AFFINITY
APP-CHI-00011,PRD-00001,Brand X T-shirts (L),62.88,97.46,Liters,L,730,NON_PERISHABLE,0.121,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00012,PRD-00002,Brand Y T-shirts (L),70.59,109.41,Liters,L,730,NON_PERISHABLE,0.312,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00013,PRD-00001,Brand X T-shirts (S),78.01,120.92,Units,S,730,NON_PERISHABLE,0.103,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00014,PRD-00002,Brand Y T-shirts (S),41.52,64.36,Units,S,730,NON_PERISHABLE,0.109,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00015,PRD-00001,Brand X T-shirts (M),19.78,30.66,Units,M,730,NON_PERISHABLE,0.298,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00016,PRD-00002,Brand Y T-shirts (M),74.16,114.95,Units,M,730,NON_PERISHABLE,0.155,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00017,PRD-00001,Brand X T-shirts (L),56.34,87.33,Liters,L,730,NON_PERISHABLE,0.124,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00018,PRD-00002,Brand Y T-shirts (L),50.04,77.56,Liters,L,730,NON_PERISHABLE,0.305,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00019,PRD-00001,Brand X T-shirts (S),76.38,118.39,Units,S,730,NON_PERISHABLE,0.301,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00020,PRD-00002,Brand Y T-shirts (S),20.59,31.91,Units,S,730,NON_PERISHABLE,0.091,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00021,PRD-00001,Brand X T-shirts (M),31.33,48.56,Units,M,730,NON_PERISHABLE,0.145,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00022,PRD-00002,Brand Y T-shirts (M),66.18,102.58,Units,M,730,NON_PERISHABLE,0.147,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00023,PRD-00001,Brand X T-shirts (L),74.86,116.03,Liters,L,730,NON_PERISHABLE,0.273,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00024,PRD-00002,Brand Y T-shirts (L),47.67,73.89,Liters,L,730,NON_PERISHABLE,0.265,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00025,PRD-00003,Brand X T-shirts (S),59.64,92.44,Units,S,730,NON_PERISHABLE,0.276,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00026,PRD-00004,Brand Y T-shirts (S),35.41,54.89,Units,S,730,NON_PERISHABLE,0.265,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00027,PRD-00003,Brand X T-shirts (M),74.95,116.17,Units,M,730,NON_PERISHABLE,0.108,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00028,PRD-00004,Brand Y T-shirts (M),60.36,93.56,Units,M,730,NON_PERISHABLE,0.159,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00029,PRD-00003,Brand X T-shirts (L),56.19,87.09,Liters,L,730,NON_PERISHABLE,0.158,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00030,PRD-00004,Brand Y T-shirts (L),62.65,97.11,Liters,L,730,NON_PERISHABLE,0.293,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00031,PRD-00003,Brand X T-shirts (S),59.25,91.84,Units,S,730,NON_PERISHABLE,0.251,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00032,PRD-00004,Brand Y T-shirts (S),50.62,78.46,Units,S,730,NON_PERISHABLE,0.265,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00033,PRD-00003,Brand X T-shirts (M),20.89,32.38,Units,M,730,NON_PERISHABLE,0.183,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00034,PRD-00004,Brand Y T-shirts (M),50.92,78.93,Units,M,730,NON_PERISHABLE,0.088,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00035,PRD-00003,Brand X T-shirts (L),49.64,76.94,Liters,L,730,NON_PERISHABLE,0.202,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00036,PRD-00004,Brand Y T-shirts (L),48.96,75.89,Liters,L,730,NON_PERISHABLE,0.178,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00037,PRD-00003,Brand X T-shirts (S),28.72,44.52,Units,S,730,NON_PERISHABLE,0.098,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00038,PRD-00004,Brand Y T-shirts (S),79.07,122.56,Units,S,730,NON_PERISHABLE,0.303,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00039,PRD-00003,Brand X T-shirts (M),64.21,99.53,Units,M,730,NON_PERISHABLE,0.289,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00040,PRD-00004,Brand Y T-shirts (M),49.4,76.57,Units,M,730,NON_PERISHABLE,0.294,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00041,PRD-00003,Brand X T-shirts (L),18.32,28.4,Liters,L,730,NON_PERISHABLE,0.295,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00042,PRD-00004,Brand Y T-shirts (L),37.73,58.48,Liters,L,730,NON_PERISHABLE,0.135,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00043,PRD-00003,Brand X T-shirts (S),53.02,82.18,Units,S,730,NON_PERISHABLE,0.287,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00044,PRD-00004,Brand Y T-shirts (S),26.93,41.74,Units,S,730,NON_PERISHABLE,0.18,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00045,PRD-00003,Brand X T-shirts (M),22.66,35.12,Units,M,730,NON_PERISHABLE,0.161,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00046,PRD-00004,Brand Y T-shirts (M),72.4,112.22,Units,M,730,NON_PERISHABLE,0.205,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00047,PRD-00003,Brand X T-shirts (L),44.09,68.34,Liters,L,730,NON_PERISHABLE,0.313,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00048,PRD-00004,Brand Y T-shirts (L),57.09,88.49,Liters,L,730,NON_PERISHABLE,0.199,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00049,PRD-00005,FashionCo Shirts (S),42.06,65.19,Units,S,730,NON_PERISHABLE,0.089,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00050,PRD-00006,StyleBrand Shirts (S),25.6,39.68,Units,S,730,NON_PERISHABLE,0.092,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00051,PRD-00005,FashionCo Shirts (M),79.7,123.54,Units,M,730,NON_PERISHABLE,0.137,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00052,PRD-00006,StyleBrand Shirts (M),45.01,69.77,Units,M,730,NON_PERISHABLE,0.317,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00053,PRD-00005,FashionCo Shirts (L),27.61,42.8,Liters,L,730,NON_PERISHABLE,0.263,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00054,PRD-00006,StyleBrand Shirts (L),48.44,75.08,Liters,L,730,NON_PERISHABLE,0.168,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00055,PRD-00005,FashionCo Shirts (S),28.6,44.33,Units,S,730,NON_PERISHABLE,0.209,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00056,PRD-00006,StyleBrand Shirts (S),73.22,113.49,Units,S,730,NON_PERISHABLE,0.157,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00057,PRD-00005,FashionCo Shirts (M),24.69,38.27,Units,M,730,NON_PERISHABLE,0.222,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00058,PRD-00006,StyleBrand Shirts (M),57.91,89.76,Units,M,730,NON_PERISHABLE,0.203,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00059,PRD-00005,FashionCo Shirts (L),48.55,75.25,Liters,L,730,NON_PERISHABLE,0.122,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00060,PRD-00006,StyleBrand Shirts (L),58.2,90.21,Liters,L,730,NON_PERISHABLE,0.305,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00061,PRD-00005,FashionCo Shirts (S),77.51,120.14,Units,S,730,NON_PERISHABLE,0.107,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00062,PRD-00006,StyleBrand Shirts (S),49.35,76.49,Units,S,730,NON_PERISHABLE,0.142,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00063,PRD-00005,FashionCo Shirts (M),65.33,101.26,Units,M,730,NON_PERISHABLE,0.213,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00064,PRD-00006,StyleBrand Shirts (M),50.95,78.97,Units,M,730,NON_PERISHABLE,0.102,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00065,PRD-00005,FashionCo Shirts (L),25.26,39.15,Liters,L,730,NON_PERISHABLE,0.232,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00066,PRD-00006,StyleBrand Shirts (L),67.69,104.92,Liters,L,730,NON_PERISHABLE,0.254,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00067,PRD-00005,FashionCo Shirts (S),63.24,98.02,Units,S,730,NON_PERISHABLE,0.267,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00068,PRD-00006,StyleBrand Shirts (S),71.37,110.62,Units,S,730,NON_PERISHABLE,0.119,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00069,PRD-00005,FashionCo Shirts (M),26.84,41.6,Units,M,730,NON_PERISHABLE,0.082,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00070,PRD-00006,StyleBrand Shirts (M),19.0,29.45,Units,M,730,NON_PERISHABLE,0.081,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00071,PRD-00005,FashionCo Shirts (L),70.55,109.35,Liters,L,730,NON_PERISHABLE,0.246,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00072,PRD-00006,StyleBrand Shirts (L),38.14,59.12,Liters,L,730,NON_PERISHABLE,0.251,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00073,PRD-00007,FashionCo Shirts (S),26.35,40.84,Units,S,730,NON_PERISHABLE,0.259,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00074,PRD-00008,StyleBrand Shirts (S),43.62,67.61,Units,S,730,NON_PERISHABLE,0.238,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00075,PRD-00007,FashionCo Shirts (M),62.35,96.64,Units,M,730,NON_PERISHABLE,0.168,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00076,PRD-00008,StyleBrand Shirts (M),53.99,83.68,Units,M,730,NON_PERISHABLE,0.314,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00077,PRD-00007,FashionCo Shirts (L),35.0,54.25,Liters,L,730,NON_PERISHABLE,0.231,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00078,PRD-00008,StyleBrand Shirts (L),20.59,31.91,Liters,L,730,NON_PERISHABLE,0.218,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00079,PRD-00007,FashionCo Shirts (S),67.96,105.34,Units,S,730,NON_PERISHABLE,0.253,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00080,PRD-00008,StyleBrand Shirts (S),65.31,101.23,Units,S,730,NON_PERISHABLE,0.235,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00081,PRD-00007,FashionCo Shirts (M),55.24,85.62,Units,M,730,NON_PERISHABLE,0.309,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00082,PRD-00008,StyleBrand Shirts (M),59.07,91.56,Units,M,730,NON_PERISHABLE,0.084,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00083,PRD-00007,FashionCo Shirts (L),76.95,119.27,Liters,L,730,NON_PERISHABLE,0.312,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00084,PRD-00008,StyleBrand Shirts (L),66.31,102.78,Liters,L,730,NON_PERISHABLE,0.151,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00085,PRD-00007,FashionCo Shirts (S),53.36,82.71,Units,S,730,NON_PERISHABLE,0.156,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00086,PRD-00008,StyleBrand Shirts (S),56.78,88.01,Units,S,730,NON_PERISHABLE,0.305,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00087,PRD-00007,FashionCo Shirts (M),31.76,49.23,Units,M,730,NON_PERISHABLE,0.103,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00088,PRD-00008,StyleBrand Shirts (M),15.3,23.72,Units,M,730,NON_PERISHABLE,0.114,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00089,PRD-00007,FashionCo Shirts (L),43.99,68.18,Liters,L,730,NON_PERISHABLE,0.258,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00090,PRD-00008,StyleBrand Shirts (L),56.85,88.12,Liters,L,730,NON_PERISHABLE,0.166,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00091,PRD-00007,FashionCo Shirts (S),22.44,34.78,Units,S,730,NON_PERISHABLE,0.274,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00092,PRD-00008,StyleBrand Shirts (S),34.37,53.27,Units,S,730,NON_PERISHABLE,0.203,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00093,PRD-00007,FashionCo Shirts (M),75.48,116.99,Units,M,730,NON_PERISHABLE,0.236,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00094,PRD-00008,StyleBrand Shirts (M),62.27,96.52,Units,M,730,NON_PERISHABLE,0.294,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00095,PRD-00007,FashionCo Shirts (L),57.2,88.66,Liters,L,730,NON_PERISHABLE,0.103,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00096,PRD-00008,StyleBrand Shirts (L),65.37,101.32,Liters,L,730,NON_PERISHABLE,0.192,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00097,PRD-00009,Brand X Pants (S),70.56,109.37,Units,S,730,NON_PERISHABLE,0.222,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00098,PRD-00010,Brand Y Pants (S),34.89,54.08,Units,S,730,NON_PERISHABLE,0.277,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00099,PRD-00009,Brand X Pants (M),23.04,35.71,Units,M,730,NON_PERISHABLE,0.205,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00100,PRD-00010,Brand Y Pants (M),46.42,71.95,Units,M,730,NON_PERISHABLE,0.229,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00101,PRD-00009,Brand X Pants (L),25.84,40.05,Liters,L,730,NON_PERISHABLE,0.208,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00102,PRD-00010,Brand Y Pants (L),24.64,38.19,Liters,L,730,NON_PERISHABLE,0.254,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00103,PRD-00009,Brand X Pants (S),19.72,30.57,Units,S,730,NON_PERISHABLE,0.158,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00104,PRD-00010,Brand Y Pants (S),76.24,118.17,Units,S,730,NON_PERISHABLE,0.185,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00105,PRD-00009,Brand X Pants (M),28.65,44.41,Units,M,730,NON_PERISHABLE,0.311,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00106,PRD-00010,Brand Y Pants (M),44.98,69.72,Units,M,730,NON_PERISHABLE,0.178,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00107,PRD-00009,Brand X Pants (L),28.51,44.19,Liters,L,730,NON_PERISHABLE,0.14,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00108,PRD-00010,Brand Y Pants (L),65.32,101.25,Liters,L,730,NON_PERISHABLE,0.238,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00109,PRD-00009,Brand X Pants (S),76.01,117.82,Units,S,730,NON_PERISHABLE,0.257,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00110,PRD-00010,Brand Y Pants (S),31.35,48.59,Units,S,730,NON_PERISHABLE,0.181,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00111,PRD-00009,Brand X Pants (M),65.69,101.82,Units,M,730,NON_PERISHABLE,0.262,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00112,PRD-00010,Brand Y Pants (M),77.18,119.63,Units,M,730,NON_PERISHABLE,0.091,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00113,PRD-00009,Brand X Pants (L),18.6,28.83,Liters,L,730,NON_PERISHABLE,0.249,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00114,PRD-00010,Brand Y Pants (L),62.5,96.88,Liters,L,730,NON_PERISHABLE,0.198,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00115,PRD-00009,Brand X Pants (S),46.38,71.89,Units,S,730,NON_PERISHABLE,0.184,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00116,PRD-00010,Brand Y Pants (S),73.85,114.47,Units,S,730,NON_PERISHABLE,0.232,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00117,PRD-00009,Brand X Pants (M),15.16,23.5,Units,M,730,NON_PERISHABLE,0.23,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00118,PRD-00010,Brand Y Pants (M),76.97,119.3,Units,M,730,NON_PERISHABLE,0.238,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00119,PRD-00009,Brand X Pants (L),52.82,81.87,Liters,L,730,NON_PERISHABLE,0.234,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00120,PRD-00010,Brand Y Pants (L),74.3,115.16,Liters,L,730,NON_PERISHABLE,0.306,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00121,PRD-00011,Brand X Pants (S),39.77,61.64,Units,S,730,NON_PERISHABLE,0.234,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00122,PRD-00012,Brand Y Pants (S),63.41,98.29,Units,S,730,NON_PERISHABLE,0.306,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00123,PRD-00011,Brand X Pants (M),27.98,43.37,Units,M,730,NON_PERISHABLE,0.297,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00124,PRD-00012,Brand Y Pants (M),26.85,41.62,Units,M,730,NON_PERISHABLE,0.104,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00125,PRD-00011,Brand X Pants (L),54.48,84.44,Liters,L,730,NON_PERISHABLE,0.244,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00126,PRD-00012,Brand Y Pants (L),21.04,32.61,Liters,L,730,NON_PERISHABLE,0.283,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00127,PRD-00011,Brand X Pants (S),77.49,120.11,Units,S,730,NON_PERISHABLE,0.148,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00128,PRD-00012,Brand Y Pants (S),42.68,66.15,Units,S,730,NON_PERISHABLE,0.231,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00129,PRD-00011,Brand X Pants (M),44.6,69.13,Units,M,730,NON_PERISHABLE,0.273,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00130,PRD-00012,Brand Y Pants (M),37.36,57.91,Units,M,730,NON_PERISHABLE,0.26,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,EAST
APP-CHI-00131,PRD-00011,Brand X Pants (L),35.92,55.68,Liters,L,730,NON_PERISHABLE,0.179,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00132,PRD-00012,Brand Y Pants (L),29.98,46.47,Liters,L,730,NON_PERISHABLE,0.162,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00133,PRD-00011,Brand X Pants (S),51.81,80.31,Units,S,730,NON_PERISHABLE,0.183,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00134,PRD-00012,Brand Y Pants (S),33.32,51.65,Units,S,730,NON_PERISHABLE,0.105,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
