asset_id,asset_name,asset_category,facility_id,operating_status
AST-0027,Physical Asset 0027,POS_TERMINAL,STR-012,OPERATIONAL
AST-0028,Physical Asset 0028,FLEET_VEHICLE,STR-013,OPERATIONAL
AST-0029,Physical Asset 0029,POS_TERMINAL,STR-014,OPERATIONAL
AST-0030,Physical Asset 0030,MATERIAL_HANDLING,STR-015,OPERATIONAL
AST-0031,Physical Asset 0031,MATERIAL_HANDLING,STR-016,OPERATIONAL
AST-0032,Physical Asset 0032,FLEET_VEHICLE,STR-001,OPERATIONAL
AST-0033,Physical Asset 0033,MATERIAL_HANDLING,STR-002,OPERATIONAL
AST-0034,Physical Asset 0034,FLEET_VEHICLE,STR-003,OPERATIONAL
AST-0035,Physical Asset 0035,POS_TERMINAL,STR-004,OPERATIONAL
AST-0036,Physical Asset 0036,FLEET_VEHICLE,STR-005,OPERATIONAL
AST-0037,Physical Asset 0037,MATERIAL_HANDLING,STR-006,OPERATIONAL
AST-0038,Physical Asset 0038,POS_TERMINAL,STR-007,OPERATIONAL
AST-0039,Physical Asset 0039,FLEET_VEHICLE,STR-008,OPERATIONAL
AST-0040,Physical Asset 0040,REFRIGERATION,STR-009,OPERATIONAL
AST-0041,Physical Asset 0041,REFRIGERATION,STR-010,OPERATIONAL
AST-0042,Physical Asset 0042,POS_TERMINAL,STR-011,OPERATIONAL
AST-0043,Physical Asset 0043,MATERIAL_HANDLING,STR-012,OPERATIONAL
AST-0044,Physical Asset 0044,FLEET_VEHICLE,STR-013,OPERATIONAL
AST-0045,Physical Asset 0045,POS_TERMINAL,STR-014,OPERATIONAL
AST-0046,Physical Asset 0046,FLEET_VEHICLE,STR-015,OPERATIONAL
AST-0047,Physical Asset 0047,POS_TERMINAL,STR-016,OPERATIONAL
AST-0048,Physical Asset 0048,POS_TERMINAL,STR-001,OPERATIONAL
AST-0049,Physical Asset 0049,POS_TERMINAL,STR-002,OPERATIONAL
AST-0050,Physical Asset 0050,FLEET_VEHICLE,STR-003,OPERATIONAL
AST-0051,Physical Asset 0051,REFRIGERATION,STR-004,OPERATIONAL
AST-0052,Physical Asset 0052,REFRIGERATION,STR-005,OPERATIONAL
AST-0053,Physical Asset 0053,REFRIGERATION,STR-006,OPERATIONAL
AST-0054,Physical Asset 0054,REFRIGERATION,STR-007,OPERATIONAL
AST-0055,Physical Asset 0055,POS_TERMINAL,STR-008,OPERATIONAL
AST-0056,Physical Asset 0056,MATERIAL_HANDLING,STR-009,OPERATIONAL
AST-0057,Physical Asset 0057,POS_TERMINAL,STR-010,OPERATIONAL
AST-0058,Physical Asset 0058,MATERIAL_HANDLING,STR-011,OPERATIONAL
AST-0059,Physical Asset 0059,REFRIGERATION,STR-012,OPERATIONAL
AST-0060,Physical Asset 0060,POS_TERMINAL,STR-013,OPERATIONAL
AST-0061,Physical Asset 0061,MATERIAL_HANDLING,STR-014,OPERATIONAL
AST-0062,Physical Asset 0062,POS_TERMINAL,STR-015,OPERATIONAL
AST-0063,Physical Asset 0063,MATERIAL_HANDLING,STR-016,OPERATIONAL
AST-0064,Physical Asset 0064,FLEET_VEHICLE,STR-001,OPERATIONAL
AST-0065,Physical Asset 0065,FLEET_VEHICLE,STR-002,OPERATIONAL
AST-0066,Physical Asset 0066,FLEET_VEHICLE,STR-003,OPERATIONAL
AST-0067,Physical Asset 0067,POS_TERMINAL,STR-004,OPERATIONAL
AST-0068,Physical Asset 0068,MATERIAL_HANDLING,STR-005,OPERATIONAL
AST-0069,Physical Asset 0069,POS_TERMINAL,STR-006,OPERATIONAL
AST-0070,Physical Asset 0070,POS_TERMINAL,STR-007,OPERATIONAL
AST-0071,Physical Asset 0071,POS_TERMINAL,STR-008,OPERATIONAL
AST-0072,Physical Asset 0072,REFRIGERATION,STR-009,OPERATIONAL
AST-0073,Physical Asset 0073,FLEET_VEHICLE,STR-010,OPERATIONAL
AST-0074,Physical Asset 0074,REFRIGERATION,STR-011,OPERATIONAL
AST-0075,Physical Asset 0075,FLEET_VEHICLE,STR-012,OPERATIONAL
AST-0076,Physical Asset 0076,REFRIGERATION,STR-013,OPERATIONAL
AST-0077,Physical Asset 0077,POS_TERMINAL,STR-014,OPERATIONAL
AST-0078,Physical Asset 0078,POS_TERMINAL,STR-015,OPERATIONAL
AST-0079,Physical Asset 0079,FLEET_VEHICLE,STR-016,OPERATIONAL
AST-0080,Physical Asset 0080,POS_TERMINAL,STR-001,OPERATIONAL
AST-0081,Physical Asset 0081,POS_TERMINAL,STR-002,OPERATIONAL
AST-0082,Physical Asset 0082,FLEET_VEHICLE,STR-003,OPERATIONAL
AST-0083,Physical Asset 0083,REFRIGERATION,STR-004,OPERATIONAL
AST-0084,Physical Asset 0084,POS_TERMINAL,STR-005,OPERATIONAL
AST-0085,Physical Asset 0085,FLEET_VEHICLE,STR-006,OPERATIONAL
AST-0086,Physical Asset 0086,FLEET_VEHICLE,STR-007,OPERATIONAL
AST-0087,Physical Asset 0087,REFRIGERATION,STR-008,OPERATIONAL
AST-0088,Physical Asset 0088,POS_TERMINAL,STR-009,OPERATIONAL
AST-0089,Physical Asset 0089,POS_TERMINAL,STR-010,OPERATIONAL
AST-0090,Physical Asset 0090,POS_TERMINAL,STR-011,OPERATIONAL
AST-0091,Physical Asset 0091,MATERIAL_HANDLING,STR-012,OPERATIONAL
AST-0092,Physical Asset 0092,FLEET_VEHICLE,STR-013,OPERATIONAL
AST-0093,Physical Asset 0093,POS_TERMINAL,STR-014,OPERATIONAL
AST-0094,Physical Asset 0094,MATERIAL_HANDLING,STR-015,OPERATIONAL
AST-0095,Physical Asset 0095,POS_TERMINAL,STR-016,OPERATIONAL
AST-0096,Physical Asset 0096,FLEET_VEHICLE,STR-001,OPERATIONAL
AST-0097,Physical Asset 0097,REFRIGERATION,STR-002,OPERATIONAL
AST-0098,Physical Asset 0098,POS_TERMINAL,STR-003,OPERATIONAL
AST-0099,Physical Asset 0099,POS_TERMINAL,STR-004,OPERATIONAL
AST-0100,Physical Asset 0100,MATERIAL_HANDLING,STR-005,OPERATIONAL
AST-0101,Physical Asset 0101,POS_TERMINAL,STR-006,OPERATIONAL
AST-0102,Physical Asset 0102,REFRIGERATION,STR-007,OPERATIONAL
AST-0103,Physical Asset 0103,FLEET_VEHICLE,STR-008,OPERATIONAL
AST-0104,Physical Asset 0104,POS_TERMINAL,STR-009,OPERATIONAL
AST-0105,Physical Asset 0105,POS_TERMINAL,STR-010,OPERATIONAL
AST-0106,Physical Asset 0106,POS_TERMINAL,STR-011,OPERATIONAL
AST-0107,Physical Asset 0107,MATERIAL_HANDLING,STR-012,OPERATIONAL
AST-0108,Physical Asset 0108,REFRIGERATION,STR-013,OPERATIONAL
AST-0109,Physical Asset 0109,REFRIGERATION,STR-014,OPERATIONAL
AST-0110,Physical Asset 0110,FLEET_VEHICLE,STR-015,OPERATIONAL
AST-0111,Physical Asset 0111,REFRIGERATION,STR-016,OPERATIONAL
AST-0112,Physical Asset 0112,FLEET_VEHICLE,STR-001,OPERATIONAL
AST-0113,Physical Asset 0113,POS_TERMINAL,STR-002,OPERATIONAL
AST-0114,Physical Asset 0114,REFRIGERATION,STR-003,OPERATIONAL
AST-0115,Physical Asset 0115,REFRIGERATION,STR-004,OPERATIONAL
AST-0116,Physical Asset 0116,REFRIGERATION,STR-005,OPERATIONAL
AST-0117,Physical Asset 0117,MATERIAL_HANDLING,STR-006,OPERATIONAL
AST-0118,Physical Asset 0118,REFRIGERATION,STR-007,OPERATIONAL
AST-0119,Physical Asset 0119,REFRIGERATION,STR-008,OPERATIONAL
AST-0120,Physical Asset 0120,MATERIAL_HANDLING,STR-009,OPERATIONAL
AST-0121,Physical Asset 0121,REFRIGERATION,WH-002,OPERATIONAL
AST-0122,Physical Asset 0122,REFRIGERATION,WH-003,OPERATIONAL
AST-0123,Physical Asset 0123,FLEET_VEHICLE,WH-004,OPERATIONAL
AST-0124,Physical Asset 0124,MATERIAL_HANDLING,WH-005,OPERATIONAL
AST-0125,Physical Asset 0125,POS_TERMINAL,WH-001,OPERATIONAL
AST-0126,Physical Asset 0126,POS_TERMINAL,WH-002,OPERATIONAL
AST-0127,Physical Asset 0127,REFRIGERATION,WH-003,OPERATIONAL
AST-0128,Physical Asset 0128,FLEET_VEHICLE,WH-004,OPERATIONAL
AST-0129,Physical Asset 0129,MATERIAL_HANDLING,WH-005,OPERATIONAL
AST-0130,Physical Asset 0130,POS_TERMINAL,WH-001,OPERATIONAL
AST-0131,Physical Asset 0131,REFRIGERATION,WH-002,OPERATIONAL
AST-0132,Physical Asset 0132,POS_TERMINAL,WH-003,OPERATIONAL
AST-0133,Physical Asset 0133,REFRIGERATION,WH-004,OPERATIONAL
AST-0134,Physical Asset 0134,REFRIGERATION,WH-005,OPERATIONAL
AST-0135,Physical Asset 0135,POS_TERMINAL,WH-001,OPERATIONAL
AST-0136,Physical Asset 0136,POS_TERMINAL,WH-002,OPERATIONAL
AST-0137,Physical Asset 0137,MATERIAL_HANDLING,WH-003,OPERATIONAL
AST-0138,Physical Asset 0138,POS_TERMINAL,WH-004,OPERATIONAL
AST-0139,Physical Asset 0139,FLEET_VEHICLE,WH-005,OPERATIONAL
AST-0140,Physical Asset 0140,REFRIGERATION,WH-001,OPERATIONAL
AST-0141,Physical Asset 0141,MATERIAL_HANDLING,WH-002,OPERATIONAL
AST-0142,Physical Asset 0142,POS_TERMINAL,WH-003,OPERATIONAL
AST-0143,Physical Asset 0143,FLEET_VEHICLE,WH-004,OPERATIONAL
AST-0144,Physical Asset 0144,POS_TERMINAL,WH-005,OPERATIONAL
AST-0145,Physical Asset 0145,REFRIGERATION,WH-001,OPERATIONAL
AST-0146,Physical Asset 0146,MATERIAL_HANDLING,WH-002,OPERATIONAL
AST-0147,Physical Asset 0147,REFRIGERATION,WH-003,OPERATIONAL
AST-0148,Physical Asset 0148,REFRIGERATION,WH-004,OPERATIONAL
AST-0149,Physical Asset 0149,POS_TERMINAL,WH-005,OPERATIONAL
AST-0150,Physical Asset 0150,FLEET_VEHICLE,WH-001,OPERATIONAL
