Supplier_ID,Supplier_Name,Primary_Category,Delivery_Model,Origin_Country,On_Time_Delivery_Pct,Order_Fill_Rate_Pct,Defect_Rate_Pct,Max_Surge_Capacity_Pct,Surge_Lead_Time_Days
sup-017,Global General Vendor 17,GENERAL,Direct-to-Store,Domestic,0.91,1.0,0.012,1.21,11
sup-018,Global Electronics Vendor 18,ELECTRONICS,DC-Routed,International_B,0.8,0.872,0.016,1.45,21
sup-019,Global Electronics Vendor 19,ELECTRONICS,Direct-to-Store,Domestic,0.701,0.719,0.001,1.5,17
sup-020,Global Dry_Food Vendor 20,DRY_FOOD,DC-Routed,International_B,0.9,0.998,0.022,1.56,26
sup-021,Global Apparel Vendor 21,APPAREL,DC-Routed,International_B,0.898,0.909,0.024,1.81,23
sup-022,Global Electronics Vendor 22,ELECTRONICS,Direct-to-Store,Domestic,0.885,0.906,0.042,1.9,11
sup-023,Global Fresh_Food Vendor 23,FRESH_FOOD,Direct-to-Store,Domestic,0.943,0.99,0.028,1.77,14
sup-024,Global General Vendor 24,GENERAL,DC-Routed,Domestic,0.754,0.775,0.025,1.3,15
sup-025,Global General Vendor 25,GENERAL,Direct-to-Store,Domestic,0.898,0.946,0.016,1.5,27
sup-026,Global Fresh_Food Vendor 26,FRESH_FOOD,DC-Routed,Domestic,0.749,0.837,0.011,1.86,30
sup-027,Global General Vendor 27,GENERAL,DC-Routed,International_B,0.785,0.88,0.045,1.86,18
sup-028,Global Fresh_Food Vendor 28,FRESH_FOOD,DC-Routed,Domestic,0.894,0.912,0.019,1.43,14
sup-029,Global Apparel Vendor 29,APPAREL,Direct-to-Store,International_A,0.717,0.737,0.011,1.11,18
sup-030,Global Apparel Vendor 30,APPAREL,DC-Routed,Domestic,0.805,0.872,0.024,1.13,26
sup-031,Global Fresh_Food Vendor 31,FRESH_FOOD,Direct-to-Store,International_B,0.848,0.938,0.001,1.91,25
sup-032,Global Fresh_Food Vendor 32,FRESH_FOOD,DC-Routed,Domestic,0.773,0.865,0.012,1.6,26
sup-033,Global Dry_Food Vendor 33,DRY_FOOD,Direct-to-Store,International_B,0.836,0.934,0.05,1.98,12
sup-034,Global Fresh_Food Vendor 34,FRESH_FOOD,DC-Routed,Domestic,0.889,0.942,0.003,1.38,27
sup-035,Global General Vendor 35,GENERAL,DC-Routed,Domestic,0.705,0.729,0.034,1.52,28
sup-036,Global Fresh_Food Vendor 36,FRESH_FOOD,DC-Routed,Domestic,0.916,0.932,0.043,1.89,19
sup-037,Global General Vendor 37,GENERAL,Direct-to-Store,International_B,0.944,1.0,0.01,1.14,7
sup-038,Global Apparel Vendor 38,APPAREL,Direct-to-Store,Domestic,0.846,0.897,0.003,1.46,24
sup-039,Global General Vendor 39,GENERAL,DC-Routed,International_B,0.793,0.883,0.024,1.99,15
sup-040,Global Fresh_Food Vendor 40,FRESH_FOOD,DC-Routed,Domestic,0.741,0.759,0.034,1.87,21
sup-041,Global Electronics Vendor 41,ELECTRONICS,DC-Routed,Domestic,0.725,0.748,0.01,1.11,7
sup-042,Global Apparel Vendor 42,APPAREL,Direct-to-Store,International_A,0.816,0.873,0.03,1.15,27
sup-043,Global Fresh_Food Vendor 43,FRESH_FOOD,DC-Routed,Domestic,0.731,0.775,0.025,1.22,7
sup-044,Global Dry_Food Vendor 44,DRY_FOOD,DC-Routed,Domestic,0.722,0.808,0.027,1.63,20
sup-045,Global Apparel Vendor 45,APPAREL,DC-Routed,International_A,0.814,0.827,0.014,1.24,9
sup-046,Global Apparel Vendor 46,APPAREL,DC-Routed,International_B,0.773,0.806,0.013,1.81,26
sup-047,Global Electronics Vendor 47,ELECTRONICS,Direct-to-Store,Domestic,0.825,0.866,0.03,1.27,19
sup-048,Global General Vendor 48,GENERAL,DC-Routed,Domestic,0.884,0.959,0.021,1.95,14
sup-049,Global Fresh_Food Vendor 49,FRESH_FOOD,DC-Routed,Domestic,0.805,0.881,0.004,1.62,23
sup-050,Global Dry_Food Vendor 50,DRY_FOOD,DC-Routed,Domestic,0.905,0.938,0.031,1.23,13
sup-051,Global Dry_Food Vendor 51,DRY_FOOD,DC-Routed,International_B,0.911,0.94,0.01,1.18,30
sup-052,Global Apparel Vendor 52,APPAREL,DC-Routed,International_A,0.901,0.953,0.023,1.29,16
sup-053,Global Dry_Food Vendor 53,DRY_FOOD,Direct-to-Store,International_A,0.709,0.758,0.036,1.12,14
sup-054,Global General Vendor 54,GENERAL,DC-Routed,International_A,0.983,1.0,0.043,1.62,22
sup-055,Global Fresh_Food Vendor 55,FRESH_FOOD,DC-Routed,International_B,0.923,0.952,0.021,1.84,16
sup-056,Global Fresh_Food Vendor 56,FRESH_FOOD,DC-Routed,International_B,0.735,0.809,0.039,1.51,7
sup-057,Global General Vendor 57,GENERAL,Direct-to-Store,Domestic,0.84,0.923,0.009,1.44,21
sup-058,Global Electronics Vendor 58,ELECTRONICS,Direct-to-Store,International_A,0.724,0.814,0.033,1.32,11
sup-059,Global Apparel Vendor 59,APPAREL,Direct-to-Store,Domestic,0.717,0.803,0.033,1.46,10
sup-060,Global Dry_Food Vendor 60,DRY_FOOD,DC-Routed,International_B,0.78,0.871,0.041,1.61,29
sup-061,Global Fresh_Food Vendor 61,FRESH_FOOD,Direct-to-Store,Domestic,0.753,0.802,0.001,1.48,16
sup-062,Global Dry_Food Vendor 62,DRY_FOOD,DC-Routed,International_A,0.904,0.925,0.014,1.99,27
sup-063,Global General Vendor 63,GENERAL,DC-Routed,Domestic,0.779,0.79,0.049,1.93,16
sup-064,Global General Vendor 64,GENERAL,DC-Routed,International_B,0.803,0.822,0.022,1.58,11
sup-065,Global Dry_Food Vendor 65,DRY_FOOD,DC-Routed,International_B,0.721,0.806,0.042,1.56,23
sup-066,Global General Vendor 66,GENERAL,Direct-to-Store,Domestic,0.781,0.798,0.008,1.25,21
sup-067,Global Fresh_Food Vendor 67,FRESH_FOOD,DC-Routed,International_A,0.732,0.777,0.002,1.7,20
sup-068,Global Dry_Food Vendor 68,DRY_FOOD,Direct-to-Store,Domestic,0.903,1.0,0.013,1.36,13
sup-069,Global Apparel Vendor 69,APPAREL,DC-Routed,Domestic,0.785,0.816,0.016,1.39,17
sup-070,Global Dry_Food Vendor 70,DRY_FOOD,DC-Routed,International_A,0.872,0.957,0.019,1.51,28
sup-071,Global General Vendor 71,GENERAL,Direct-to-Store,International_A,0.749,0.844,0.041,1.74,10
sup-072,Global Electronics Vendor 72,ELECTRONICS,Direct-to-Store,International_A,0.839,0.858,0.044,1.79,11
sup-073,Global Dry_Food Vendor 73,DRY_FOOD,Direct-to-Store,International_B,0.829,0.855,0.005,1.32,20
sup-074,Global Electronics Vendor 74,ELECTRONICS,DC-Routed,International_A,0.847,0.863,0.031,1.75,29
sup-075,Global Electronics Vendor 75,ELECTRONICS,Direct-to-Store,International_A,0.729,0.743,0.023,1.87,20
sup-076,Global Dry_Food Vendor 76,DRY_FOOD,DC-Routed,Domestic,0.764,0.785,0.019,1.89,20
sup-077,Global Fresh_Food Vendor 77,FRESH_FOOD,DC-Routed,International_A,0.761,0.799,0.019,1.39,8
sup-078,Global Fresh_Food Vendor 78,FRESH_FOOD,DC-Routed,Domestic,0.779,0.813,0.044,1.78,19
sup-079,Global Fresh_Food Vendor 79,FRESH_FOOD,DC-Routed,Domestic,0.921,1.0,0.05,1.86,19
sup-080,Global Dry_Food Vendor 80,DRY_FOOD,DC-Routed,Domestic,0.861,0.938,0.033,1.1,19
sup-081,Global Electronics Vendor 81,ELECTRONICS,Direct-to-Store,International_B,0.972,0.99,0.016,1.51,22
sup-082,Global Fresh_Food Vendor 82,FRESH_FOOD,DC-Routed,International_A,0.974,1.0,0.01,1.43,13
sup-083,Global Fresh_Food Vendor 83,FRESH_FOOD,DC-Routed,International_A,0.975,1.0,0.032,1.2,21
sup-084,Global Apparel Vendor 84,APPAREL,DC-Routed,Domestic,0.938,0.953,0.024,1.58,22
sup-085,Global Apparel Vendor 85,APPAREL,DC-Routed,International_A,0.831,0.925,0.01,1.99,18
sup-086,Global Apparel Vendor 86,APPAREL,Direct-to-Store,Domestic,0.912,0.97,0.047,1.31,10
sup-087,Global Apparel Vendor 87,APPAREL,DC-Routed,Domestic,0.878,0.951,0.045,1.27,15
sup-088,Global General Vendor 88,GENERAL,Direct-to-Store,International_B,0.887,0.964,0.047,1.83,14
sup-089,Global General Vendor 89,GENERAL,DC-Routed,International_A,0.737,0.766,0.033,1.81,9
sup-090,Global General Vendor 90,GENERAL,DC-Routed,International_A,0.74,0.835,0.023,1.77,28
sup-091,Global Electronics Vendor 91,ELECTRONICS,DC-Routed,Domestic,0.829,0.874,0.008,1.54,25
sup-092,Global Fresh_Food Vendor 92,FRESH_FOOD,Direct-to-Store,Domestic,0.765,0.825,0.033,1.83,24
sup-093,Global Dry_Food Vendor 93,DRY_FOOD,DC-Routed,Domestic,0.944,0.969,0.026,1.74,21
sup-094,Global General Vendor 94,GENERAL,DC-Routed,International_A,0.816,0.914,0.039,1.23,16
sup-095,Global Electronics Vendor 95,ELECTRONICS,DC-Routed,International_B,0.729,0.822,0.042,1.28,28
sup-096,Global Fresh_Food Vendor 96,FRESH_FOOD,Direct-to-Store,International_B,0.873,0.906,0.046,1.73,12
sup-097,Global Fresh_Food Vendor 97,FRESH_FOOD,DC-Routed,Domestic,0.713,0.811,0.033,1.55,10
sup-098,Global Electronics Vendor 98,ELECTRONICS,Direct-to-Store,Domestic,0.804,0.9,0.002,1.86,24
sup-099,Global General Vendor 99,GENERAL,Direct-to-Store,Domestic,0.864,0.905,0.028,1.67,9
sup-100,Global General Vendor 100,GENERAL,DC-Routed,Domestic,0.731,0.813,0.049,1.71,12
sup-101,Global Fresh_Food Vendor 101,FRESH_FOOD,Direct-to-Store,International_A,0.945,0.99,0.008,1.69,19
sup-102,Global Electronics Vendor 102,ELECTRONICS,DC-Routed,International_B,0.942,1.0,0.032,1.46,19
sup-103,Global Apparel Vendor 103,APPAREL,DC-Routed,International_B,0.767,0.851,0.033,1.89,18
sup-104,Global Apparel Vendor 104,APPAREL,DC-Routed,Domestic,0.89,0.979,0.004,1.62,29
sup-105,Global Electronics Vendor 105,ELECTRONICS,DC-Routed,International_A,0.885,0.981,0.013,1.83,16
sup-106,Global General Vendor 106,GENERAL,DC-Routed,Domestic,0.911,0.996,0.045,1.19,11
sup-107,Global Apparel Vendor 107,APPAREL,DC-Routed,International_B,0.775,0.864,0.017,1.95,12
sup-108,Global Electronics Vendor 108,ELECTRONICS,DC-Routed,International_B,0.846,0.933,0.003,1.66,30
sup-109,Global Electronics Vendor 109,ELECTRONICS,Direct-to-Store,Domestic,0.972,1.0,0.003,1.62,25
sup-110,Global General Vendor 110,GENERAL,Direct-to-Store,International_A,0.846,0.938,0.034,1.85,23
sup-111,Global Apparel Vendor 111,APPAREL,DC-Routed,International_B,0.913,1.0,0.021,1.84,29
sup-112,Global Electronics Vendor 112,ELECTRONICS,DC-Routed,International_B,0.869,0.918,0.011,1.97,7
sup-113,Global General Vendor 113,GENERAL,DC-Routed,Domestic,0.717,0.737,0.049,1.16,20
sup-114,Global Fresh_Food Vendor 114,FRESH_FOOD,DC-Routed,International_A,0.793,0.812,0.03,1.51,21
sup-115,Global Fresh_Food Vendor 115,FRESH_FOOD,DC-Routed,Domestic,0.86,0.923,0.023,1.96,16
sup-116,Global Apparel Vendor 116,APPAREL,Direct-to-Store,Domestic,0.785,0.831,0.041,1.16,12
sup-117,Global Dry_Food Vendor 117,DRY_FOOD,DC-Routed,International_A,0.956,1.0,0.024,1.23,23
sup-118,Global Fresh_Food Vendor 118,FRESH_FOOD,Direct-to-Store,Domestic,0.98,0.999,0.01,1.76,30
sup-119,Global General Vendor 119,GENERAL,Direct-to-Store,International_A,0.738,0.824,0.018,1.94,28
sup-120,Global Electronics Vendor 120,ELECTRONICS,DC-Routed,Domestic,0.778,0.847,0.016,1.19,9
sup-121,Global Dry_Food Vendor 121,DRY_FOOD,DC-Routed,Domestic,0.796,0.808,0.017,1.82,20
sup-122,Global General Vendor 122,GENERAL,DC-Routed,International_B,0.727,0.811,0.037,1.17,13
sup-123,Global Dry_Food Vendor 123,DRY_FOOD,DC-Routed,Domestic,0.871,0.893,0.042,1.54,19
sup-124,Global Fresh_Food Vendor 124,FRESH_FOOD,Direct-to-Store,Domestic,0.94,1.0,0.047,1.39,12
sup-125,Global General Vendor 125,GENERAL,Direct-to-Store,International_B,0.933,0.977,0.029,1.79,27
sup-126,Global Dry_Food Vendor 126,DRY_FOOD,DC-Routed,International_B,0.928,0.967,0.034,1.44,11
sup-127,Global General Vendor 127,GENERAL,DC-Routed,International_A,0.953,1.0,0.034,1.71,12
sup-128,Global Fresh_Food Vendor 128,FRESH_FOOD,Direct-to-Store,Domestic,0.809,0.858,0.018,1.98,22
sup-129,Global Fresh_Food Vendor 129,FRESH_FOOD,DC-Routed,Domestic,0.749,0.818,0.042,1.79,23
sup-130,Global General Vendor 130,GENERAL,DC-Routed,Domestic,0.747,0.805,0.046,1.45,30
sup-131,Global Apparel Vendor 131,APPAREL,DC-Routed,Domestic,0.739,0.832,0.006,2.0,29
sup-132,Global Apparel Vendor 132,APPAREL,DC-Routed,Domestic,0.795,0.854,0.031,1.28,24
sup-133,Global Electronics Vendor 133,ELECTRONICS,DC-Routed,Domestic,0.836,0.882,0.032,1.14,29
sup-134,Global Electronics Vendor 134,ELECTRONICS,DC-Routed,Domestic,0.828,0.875,0.016,1.23,7
sup-135,Global General Vendor 135,GENERAL,Direct-to-Store,International_A,0.72,0.784,0.023,1.56,11
sup-136,Global Dry_Food Vendor 136,DRY_FOOD,Direct-to-Store,Domestic,0.942,0.972,0.049,1.11,27
sup-137,Global Electronics Vendor 137,ELECTRONICS,Direct-to-Store,Domestic,0.865,0.903,0.002,1.45,29
sup-138,Global Dry_Food Vendor 138,DRY_FOOD,DC-Routed,Domestic,0.7,0.769,0.033,1.44,14
sup-139,Global Apparel Vendor 139,APPAREL,Direct-to-Store,Domestic,0.702,0.739,0.037,1.27,8
sup-140,Global Fresh_Food Vendor 140,FRESH_FOOD,Direct-to-Store,International_A,0.754,0.773,0.04,1.79,14
sup-141,Global Fresh_Food Vendor 141,FRESH_FOOD,DC-Routed,International_B,0.8,0.899,0.032,1.64,17
sup-142,Global General Vendor 142,GENERAL,DC-Routed,Domestic,0.85,0.923,0.021,1.8,18
sup-143,Global General Vendor 143,GENERAL,Direct-to-Store,Domestic,0.775,0.854,0.003,1.41,10
sup-144,Global Apparel Vendor 144,APPAREL,DC-Routed,International_A,0.799,0.87,0.019,1.32,15
sup-145,Global Electronics Vendor 145,ELECTRONICS,Direct-to-Store,International_A,0.882,0.904,0.041,1.89,21
sup-146,Global Apparel Vendor 146,APPAREL,DC-Routed,Domestic,0.797,0.884,0.038,1.49,28
sup-147,Global Dry_Food Vendor 147,DRY_FOOD,DC-Routed,International_B,0.872,0.928,0.035,1.92,30
sup-148,Global Electronics Vendor 148,ELECTRONICS,DC-Routed,Domestic,0.733,0.829,0.047,1.27,28
sup-149,Global Apparel Vendor 149,APPAREL,DC-Routed,International_A,0.87,0.943,0.029,1.56,18
sup-150,Global Electronics Vendor 150,ELECTRONICS,DC-Routed,Domestic,0.736,0.8,0.045,1.37,21
sup-151,Global Apparel Vendor 151,APPAREL,Direct-to-Store,Domestic,0.797,0.84,0.038,1.17,26
sup-152,Global Dry_Food Vendor 152,DRY_FOOD,DC-Routed,Domestic,0.844,0.869,0.05,1.57,18
sup-153,Global General Vendor 153,GENERAL,DC-Routed,Domestic,0.817,0.839,0.027,1.68,13
sup-154,Global Apparel Vendor 154,APPAREL,Direct-to-Store,Domestic,0.804,0.84,0.02,1.97,22
sup-155,Global Fresh_Food Vendor 155,FRESH_FOOD,Direct-to-Store,International_B,0.829,0.889,0.031,1.37,14
sup-156,Global Dry_Food Vendor 156,DRY_FOOD,DC-Routed,Domestic,0.845,0.939,0.002,1.36,17
sup-157,Global Electronics Vendor 157,ELECTRONICS,Direct-to-Store,Domestic,0.922,1.0,0.013,1.98,11
sup-158,Global Electronics Vendor 158,ELECTRONICS,Direct-to-Store,International_A,0.782,0.825,0.024,1.77,7
sup-159,Global Electronics Vendor 159,ELECTRONICS,DC-Routed,International_A,0.734,0.76,0.02,1.85,18
sup-160,Global Apparel Vendor 160,APPAREL,DC-Routed,Domestic,0.715,0.736,0.037,1.24,16
sup-161,Global Fresh_Food Vendor 161,FRESH_FOOD,DC-Routed,Domestic,0.962,1.0,0.031,1.3,26
sup-162,Global General Vendor 162,GENERAL,DC-Routed,International_B,0.917,0.95,0.049,1.34,18
sup-163,Global Apparel Vendor 163,APPAREL,Direct-to-Store,Domestic,0.827,0.862,0.041,1.21,22
sup-164,Global General Vendor 164,GENERAL,DC-Routed,Domestic,0.892,0.912,0.045,1.56,13
sup-165,Global Electronics Vendor 165,ELECTRONICS,DC-Routed,Domestic,0.708,0.782,0.019,1.61,23
sup-166,Global Fresh_Food Vendor 166,FRESH_FOOD,DC-Routed,International_B,0.768,0.784,0.042,1.48,25
sup-167,Global Electronics Vendor 167,ELECTRONICS,Direct-to-Store,Domestic,0.989,1.0,0.04,1.47,16
sup-168,Global Dry_Food Vendor 168,DRY_FOOD,DC-Routed,Domestic,0.737,0.789,0.034,1.9,19
sup-169,Global Fresh_Food Vendor 169,FRESH_FOOD,DC-Routed,Domestic,0.871,0.909,0.006,1.96,28
sup-170,Global Fresh_Food Vendor 170,FRESH_FOOD,DC-Routed,International_B,0.712,0.759,0.039,1.5,23
sup-171,Global Apparel Vendor 171,APPAREL,Direct-to-Store,Domestic,0.891,0.951,0.001,1.43,27
sup-172,Global General Vendor 172,GENERAL,Direct-to-Store,Domestic,0.945,0.973,0.005,1.43,27
sup-173,Global General Vendor 173,GENERAL,DC-Routed,International_A,0.773,0.809,0.028,1.19,28
sup-174,Global Fresh_Food Vendor 174,FRESH_FOOD,Direct-to-Store,Domestic,0.728,0.76,0.009,1.71,30
sup-175,Global Dry_Food Vendor 175,DRY_FOOD,DC-Routed,International_B,0.814,0.844,0.015,1.24,28
sup-176,Global Electronics Vendor 176,ELECTRONICS,DC-Routed,Domestic,0.742,0.785,0.027,1.13,17
sup-177,Global Apparel Vendor 177,APPAREL,DC-Routed,Domestic,0.792,0.836,0.048,1.13,24
sup-178,Global Dry_Food Vendor 178,DRY_FOOD,DC-Routed,International_A,0.915,0.948,0.012,1.52,27
sup-179,Global Fresh_Food Vendor 179,FRESH_FOOD,DC-Routed,International_A,0.982,1.0,0.043,2.0,8
sup-180,Global Electronics Vendor 180,ELECTRONICS,Direct-to-Store,International_A,0.731,0.778,0.032,1.63,7
sup-181,Global Dry_Food Vendor 181,DRY_FOOD,DC-Routed,Domestic,0.708,0.72,0.042,1.26,17
sup-182,Global General Vendor 182,GENERAL,DC-Routed,Domestic,0.949,0.967,0.004,1.18,21
sup-183,Global Fresh_Food Vendor 183,FRESH_FOOD,Direct-to-Store,International_B,0.798,0.896,0.01,1.4,24
sup-184,Global Dry_Food Vendor 184,DRY_FOOD,Direct-to-Store,Domestic,0.752,0.788,0.024,1.11,25
sup-185,Global General Vendor 185,GENERAL,DC-Routed,Domestic,0.829,0.844,0.017,1.66,24
sup-186,Global Dry_Food Vendor 186,DRY_FOOD,DC-Routed,Domestic,0.988,1.0,0.023,1.75,28
sup-187,Global Apparel Vendor 187,APPAREL,DC-Routed,International_A,0.88,0.928,0.01,1.35,13
sup-188,Global General Vendor 188,GENERAL,DC-Routed,Domestic,0.894,0.958,0.045,1.56,8
sup-189,Global Electronics Vendor 189,ELECTRONICS,DC-Routed,International_A,0.805,0.903,0.008,1.27,19
sup-190,Global Apparel Vendor 190,APPAREL,DC-Routed,International_B,0.954,1.0,0.032,1.54,10
sup-191,Global Dry_Food Vendor 191,DRY_FOOD,DC-Routed,International_B,0.724,0.812,0.016,1.21,7
sup-192,Global Dry_Food Vendor 192,DRY_FOOD,DC-Routed,Domestic,0.916,0.982,0.041,1.78,30
sup-193,Global Dry_Food Vendor 193,DRY_FOOD,Direct-to-Store,Domestic,0.973,1.0,0.032,1.35,30
sup-194,Global Electronics Vendor 194,ELECTRONICS,Direct-to-Store,International_B,0.978,1.0,0.019,1.93,13
sup-195,Global Dry_Food Vendor 195,DRY_FOOD,DC-Routed,Domestic,0.915,0.947,0.037,1.9,30
sup-196,Global Dry_Food Vendor 196,DRY_FOOD,Direct-to-Store,Domestic,0.715,0.787,0.022,1.87,26
sup-197,Global Apparel Vendor 197,APPAREL,DC-Routed,International_A,0.797,0.886,0.021,1.51,21
sup-198,Global Electronics Vendor 198,ELECTRONICS,DC-Routed,International_B,0.909,0.939,0.031,1.1,21
sup-199,Global Electronics Vendor 199,ELECTRONICS,DC-Routed,Domestic,0.95,1.0,0.016,1.29,8
sup-200,Global Fresh_Food Vendor 200,FRESH_FOOD,Direct-to-Store,Domestic,0.982,1.0,0.001,1.27,16
