SKU,Location_ID,Quantity_On_Hand,Reorder_Point,Target_Safety_Stock,Shrinkage_Rate,As_Of_Date
APP-CHI-00028,str-001,34,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00029,wh-001,193,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00029,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00030,wh-001,306,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00030,str-001,20,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00031,wh-001,402,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00031,str-001,14,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00032,wh-001,295,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00032,str-001,49,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00033,wh-001,406,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00033,str-001,36,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00034,wh-001,384,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00034,str-001,26,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00035,wh-001,315,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00035,str-001,17,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00036,wh-001,169,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00036,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00037,wh-001,266,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00037,str-001,41,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00038,wh-001,60,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00038,str-001,23,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00039,wh-001,69,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00039,str-001,16,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00040,wh-001,347,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00040,str-001,15,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00041,wh-001,78,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00041,str-001,38,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00042,wh-001,481,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00042,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00043,wh-001,376,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00043,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00044,wh-001,470,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00044,str-001,39,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00045,wh-001,184,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00045,str-001,39,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00046,wh-001,202,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00046,str-001,28,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00047,wh-001,27,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00047,str-001,37,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00048,wh-001,306,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00048,str-001,7,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00049,wh-001,442,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00049,str-001,11,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00050,wh-001,473,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00050,str-001,9,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00051,wh-001,337,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00051,str-001,34,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00052,wh-001,316,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00052,str-001,50,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00053,wh-001,130,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00053,str-001,43,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00054,wh-001,34,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00054,str-001,40,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00055,wh-001,224,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00055,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00056,wh-001,40,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00056,str-001,33,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00057,wh-001,458,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00057,str-001,13,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00058,wh-001,480,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00058,str-001,44,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00059,wh-001,425,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00059,str-001,34,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00060,wh-001,66,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00060,str-001,43,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00061,wh-001,297,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00061,str-001,45,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00062,wh-001,31,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00062,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00063,wh-001,87,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00063,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00064,wh-001,291,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00064,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00065,wh-001,18,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00065,str-001,25,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00066,wh-001,402,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00066,str-001,14,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00067,wh-001,209,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00067,str-001,37,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00068,wh-001,323,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00068,str-001,24,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00069,wh-001,310,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00069,str-001,10,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00070,wh-001,458,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00070,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00071,wh-001,493,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00071,str-001,11,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00072,wh-001,425,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00072,str-001,20,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00073,wh-001,115,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00073,str-001,30,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00074,wh-001,450,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00074,str-001,2,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00075,wh-001,49,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00075,str-001,45,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00076,wh-001,256,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00076,str-001,3,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00077,wh-001,23,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00077,str-001,15,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00078,wh-001,276,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00078,str-001,44,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00079,wh-001,348,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00079,str-001,27,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00080,wh-001,358,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00080,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00081,wh-001,192,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00081,str-001,24,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00082,wh-001,25,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00082,str-001,46,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00083,wh-001,497,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00083,str-001,15,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00084,wh-001,316,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00084,str-001,44,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00085,wh-001,121,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00085,str-001,1,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00086,wh-001,171,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00086,str-001,42,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00087,wh-001,161,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00087,str-001,10,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00088,wh-001,350,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00088,str-001,27,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00089,wh-001,33,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00089,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00090,wh-001,136,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00090,str-001,17,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00091,wh-001,342,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00091,str-001,18,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00092,wh-001,229,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00092,str-001,1,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00093,wh-001,372,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00093,str-001,26,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00094,wh-001,163,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00094,str-001,30,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00095,wh-001,54,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00095,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00096,wh-001,154,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00096,str-001,12,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00097,wh-001,366,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00097,str-001,16,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00098,wh-001,234,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00098,str-001,8,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00099,wh-001,490,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00099,str-001,44,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00100,wh-001,397,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00100,str-001,7,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00101,wh-001,43,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00101,str-001,13,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00102,wh-001,368,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00102,str-001,18,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00103,wh-001,195,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00103,str-001,5,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00104,wh-001,331,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00104,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00105,wh-001,324,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00105,str-001,14,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00106,wh-001,146,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00106,str-001,14,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00107,wh-001,356,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00107,str-001,46,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00108,wh-001,181,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00108,str-001,16,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00109,wh-001,135,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00109,str-001,13,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00110,wh-001,455,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00110,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00111,wh-001,10,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00111,str-001,12,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00112,wh-001,25,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00112,str-001,16,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00113,wh-001,450,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00113,str-001,35,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00114,wh-001,465,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00114,str-001,30,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00115,wh-001,85,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00115,str-001,22,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00116,wh-001,152,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00116,str-001,48,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00117,wh-001,112,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00117,str-001,44,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00118,wh-001,359,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00118,str-001,50,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00119,wh-001,30,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00119,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00120,wh-001,163,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00120,str-001,12,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00121,wh-001,59,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00121,str-001,4,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00122,wh-001,399,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00122,str-001,40,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00123,wh-001,471,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00123,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00124,wh-001,437,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00124,str-001,33,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00125,wh-001,459,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00125,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00126,wh-001,468,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00126,str-001,45,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00127,wh-001,276,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00127,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00128,wh-001,403,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00128,str-001,24,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00129,wh-001,194,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00129,str-001,15,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00130,wh-001,134,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00130,str-001,2,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00131,wh-001,375,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00131,str-001,2,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00132,wh-001,342,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00132,str-001,42,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00133,wh-001,406,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00133,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00134,wh-001,224,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00134,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00135,wh-001,475,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00135,str-001,13,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00136,wh-001,218,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00136,str-001,4,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00137,wh-001,237,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00137,str-001,17,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00138,wh-001,362,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00138,str-001,20,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00139,wh-001,28,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00139,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00140,wh-001,54,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00140,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00141,wh-001,360,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00141,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00142,wh-001,2,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00142,str-001,46,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00143,wh-001,379,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00143,str-001,35,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00144,wh-001,189,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00144,str-001,41,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00145,wh-001,270,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00145,str-001,36,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00146,wh-001,77,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00146,str-001,28,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00147,wh-001,496,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00147,str-001,29,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00148,wh-001,170,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00148,str-001,37,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00149,wh-001,378,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00149,str-001,45,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00150,wh-001,389,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00150,str-001,40,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00151,wh-001,485,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00151,str-001,43,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00152,wh-001,293,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00152,str-001,3,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00153,wh-001,430,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00153,str-001,31,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00154,wh-001,407,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00154,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00155,wh-001,282,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00155,str-001,6,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00156,wh-001,348,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00156,str-001,37,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00157,wh-001,157,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00157,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00158,wh-001,430,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00158,str-001,30,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00159,wh-001,491,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00159,str-001,36,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00160,wh-001,468,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00160,str-001,7,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00161,wh-001,63,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00161,str-001,5,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00162,wh-001,251,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00162,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00163,wh-001,337,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00163,str-001,27,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00164,wh-001,225,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00164,str-001,4,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00165,wh-001,448,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00165,str-001,32,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00166,wh-001,445,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00166,str-001,38,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00167,wh-001,186,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00167,str-001,12,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00168,wh-001,40,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00168,str-001,11,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00169,wh-001,277,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00169,str-001,45,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00170,wh-001,180,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00170,str-001,4,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00171,wh-001,304,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00171,str-001,39,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00172,wh-001,39,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00172,str-001,16,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00173,wh-001,184,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00173,str-001,10,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00174,wh-001,432,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00174,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00175,wh-001,300,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00175,str-001,28,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00176,wh-001,378,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00176,str-001,2,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00177,wh-001,345,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00177,str-001,46,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00178,wh-001,319,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00178,str-001,11,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00179,wh-001,268,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00179,str-001,26,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00180,wh-001,143,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00180,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00181,wh-001,161,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00181,str-001,33,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00182,wh-001,282,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00182,str-001,14,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00183,wh-001,304,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00183,str-001,17,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00184,wh-001,196,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00184,str-001,0,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00185,wh-001,219,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00185,str-001,22,15,7,0.015,2026-09-14 20:18:25
