SKU,Supplier_ID,Sourcing_Rank,Unit_Cost_Markup,Supplier_Lead_Time_Days
APP-CHI-00053,sup-111,Primary,1.0,29
APP-CHI-00053,sup-116,Secondary,1.09,38
APP-CHI-00054,sup-163,Primary,1.0,29
APP-CHI-00054,sup-021,Secondary,1.15,53
APP-CHI-00055,sup-190,Primary,1.0,29
APP-CHI-00055,sup-045,Secondary,1.21,42
APP-CHI-00056,sup-029,Primary,1.0,29
APP-CHI-00056,sup-146,Secondary,1.12,40
APP-CHI-00057,sup-052,Primary,1.0,29
APP-CHI-00057,sup-038,Secondary,1.25,53
APP-CHI-00058,sup-045,Primary,1.0,29
APP-CHI-00058,sup-163,Secondary,1.06,47
APP-CHI-00059,sup-107,Primary,1.0,29
APP-CHI-00059,sup-010,Secondary,1.12,35
APP-CHI-00060,sup-154,Primary,1.0,29
APP-CHI-00060,sup-139,Secondary,1.07,40
APP-CHI-00061,sup-131,Primary,1.0,29
APP-CHI-00061,sup-154,Secondary,1.2,57
APP-CHI-00062,sup-042,Primary,1.0,29
APP-CHI-00062,sup-059,Secondary,1.22,37
APP-CHI-00063,sup-160,Primary,1.0,29
APP-CHI-00063,sup-171,Secondary,1.23,41
APP-CHI-00064,sup-069,Primary,1.0,29
APP-CHI-00064,sup-030,Secondary,1.08,57
APP-CHI-00065,sup-087,Primary,1.0,29
APP-CHI-00065,sup-151,Secondary,1.23,46
APP-CHI-00066,sup-177,Primary,1.0,29
APP-CHI-00066,sup-132,Secondary,1.15,34
APP-CHI-00067,sup-086,Primary,1.0,29
APP-CHI-00067,sup-107,Secondary,1.13,53
APP-CHI-00068,sup-154,Primary,1.0,29
APP-CHI-00068,sup-132,Secondary,1.18,35
APP-CHI-00069,sup-190,Primary,1.0,29
APP-CHI-00069,sup-139,Secondary,1.06,56
APP-CHI-00070,sup-144,Primary,1.0,29
APP-CHI-00070,sup-046,Secondary,1.2,47
APP-CHI-00071,sup-104,Primary,1.0,29
APP-CHI-00071,sup-187,Secondary,1.14,44
APP-CHI-00072,sup-116,Primary,1.0,29
APP-CHI-00072,sup-087,Secondary,1.12,44
APP-CHI-00073,sup-086,Primary,1.0,29
APP-CHI-00073,sup-069,Secondary,1.22,49
APP-CHI-00074,sup-131,Primary,1.0,29
APP-CHI-00074,sup-139,Secondary,1.05,42
APP-CHI-00075,sup-104,Primary,1.0,29
APP-CHI-00075,sup-116,Secondary,1.25,56
APP-CHI-00076,sup-154,Primary,1.0,29
APP-CHI-00076,sup-046,Secondary,1.13,50
APP-CHI-00077,sup-038,Primary,1.0,29
APP-CHI-00077,sup-163,Secondary,1.14,36
APP-CHI-00078,sup-001,Primary,1.0,29
APP-CHI-00078,sup-111,Secondary,1.14,35
APP-CHI-00079,sup-190,Primary,1.0,29
APP-CHI-00079,sup-085,Secondary,1.17,48
APP-CHI-00080,sup-085,Primary,1.0,29
APP-CHI-00080,sup-163,Secondary,1.18,53
APP-CHI-00081,sup-038,Primary,1.0,29
APP-CHI-00081,sup-086,Secondary,1.23,56
APP-CHI-00082,sup-151,Primary,1.0,29
APP-CHI-00082,sup-149,Secondary,1.25,57
APP-CHI-00083,sup-163,Primary,1.0,29
APP-CHI-00083,sup-038,Secondary,1.15,49
APP-CHI-00084,sup-087,Primary,1.0,29
APP-CHI-00084,sup-045,Secondary,1.23,54
APP-CHI-00085,sup-103,Primary,1.0,29
APP-CHI-00085,sup-116,Secondary,1.06,55
APP-CHI-00086,sup-021,Primary,1.0,29
APP-CHI-00086,sup-087,Secondary,1.07,45
APP-CHI-00087,sup-069,Primary,1.0,29
APP-CHI-00087,sup-046,Secondary,1.12,52
APP-CHI-00088,sup-139,Primary,1.0,29
APP-CHI-00088,sup-116,Secondary,1.05,47
APP-CHI-00089,sup-029,Primary,1.0,29
APP-CHI-00089,sup-045,Secondary,1.14,51
APP-CHI-00090,sup-177,Primary,1.0,29
APP-CHI-00090,sup-085,Secondary,1.2,45
APP-CHI-00091,sup-085,Primary,1.0,29
APP-CHI-00091,sup-030,Secondary,1.07,37
APP-CHI-00092,sup-059,Primary,1.0,29
APP-CHI-00092,sup-084,Secondary,1.2,37
APP-CHI-00093,sup-190,Primary,1.0,29
APP-CHI-00093,sup-197,Secondary,1.22,54
APP-CHI-00094,sup-021,Primary,1.0,29
APP-CHI-00094,sup-154,Secondary,1.09,39
APP-CHI-00095,sup-107,Primary,1.0,29
APP-CHI-00095,sup-131,Secondary,1.13,48
APP-CHI-00096,sup-149,Primary,1.0,29
APP-CHI-00096,sup-107,Secondary,1.16,39
APP-CHI-00097,sup-021,Primary,1.0,29
APP-CHI-00097,sup-069,Secondary,1.25,41
APP-CHI-00098,sup-116,Primary,1.0,29
APP-CHI-00098,sup-069,Secondary,1.19,44
APP-CHI-00099,sup-104,Primary,1.0,29
APP-CHI-00099,sup-144,Secondary,1.09,52
APP-CHI-00100,sup-107,Primary,1.0,29
APP-CHI-00100,sup-084,Secondary,1.11,57
APP-CHI-00101,sup-038,Primary,1.0,29
APP-CHI-00101,sup-107,Secondary,1.16,44
APP-CHI-00102,sup-151,Primary,1.0,29
APP-CHI-00102,sup-187,Secondary,1.09,50
APP-CHI-00103,sup-154,Primary,1.0,29
APP-CHI-00103,sup-107,Secondary,1.1,38
APP-CHI-00104,sup-151,Primary,1.0,29
APP-CHI-00104,sup-144,Secondary,1.17,53
APP-CHI-00105,sup-104,Primary,1.0,29
APP-CHI-00105,sup-085,Secondary,1.08,44
APP-CHI-00106,sup-151,Primary,1.0,29
APP-CHI-00106,sup-154,Secondary,1.13,49
APP-CHI-00107,sup-139,Primary,1.0,29
APP-CHI-00107,sup-149,Secondary,1.25,57
APP-CHI-00108,sup-069,Primary,1.0,29
APP-CHI-00108,sup-045,Secondary,1.21,42
APP-CHI-00109,sup-069,Primary,1.0,29
APP-CHI-00109,sup-131,Secondary,1.11,44
APP-CHI-00110,sup-021,Primary,1.0,29
APP-CHI-00110,sup-107,Secondary,1.09,57
APP-CHI-00111,sup-104,Primary,1.0,29
APP-CHI-00111,sup-029,Secondary,1.22,48
APP-CHI-00112,sup-021,Primary,1.0,29
APP-CHI-00112,sup-187,Secondary,1.09,43
APP-CHI-00113,sup-177,Primary,1.0,29
APP-CHI-00113,sup-139,Secondary,1.07,46
APP-CHI-00114,sup-132,Primary,1.0,29
APP-CHI-00114,sup-087,Secondary,1.16,37
APP-CHI-00115,sup-030,Primary,1.0,29
APP-CHI-00115,sup-116,Secondary,1.07,48
APP-CHI-00116,sup-059,Primary,1.0,29
APP-CHI-00116,sup-151,Secondary,1.11,38
APP-CHI-00117,sup-197,Primary,1.0,29
APP-CHI-00117,sup-085,Secondary,1.15,51
APP-CHI-00118,sup-087,Primary,1.0,29
APP-CHI-00118,sup-010,Secondary,1.05,56
APP-CHI-00119,sup-107,Primary,1.0,29
APP-CHI-00119,sup-045,Secondary,1.1,37
APP-CHI-00120,sup-146,Primary,1.0,29
APP-CHI-00120,sup-107,Secondary,1.17,44
APP-CHI-00121,sup-021,Primary,1.0,29
APP-CHI-00121,sup-197,Secondary,1.12,34
APP-CHI-00122,sup-151,Primary,1.0,29
APP-CHI-00122,sup-021,Secondary,1.13,41
APP-CHI-00123,sup-086,Primary,1.0,29
APP-CHI-00123,sup-107,Secondary,1.12,42
APP-CHI-00124,sup-149,Primary,1.0,29
APP-CHI-00124,sup-087,Secondary,1.07,38
APP-CHI-00125,sup-046,Primary,1.0,29
APP-CHI-00125,sup-139,Secondary,1.25,50
APP-CHI-00126,sup-045,Primary,1.0,29
APP-CHI-00126,sup-038,Secondary,1.18,47
APP-CHI-00127,sup-104,Primary,1.0,29
APP-CHI-00127,sup-151,Secondary,1.06,38
APP-CHI-00128,sup-160,Primary,1.0,29
APP-CHI-00128,sup-029,Secondary,1.06,56
APP-CHI-00129,sup-038,Primary,1.0,29
APP-CHI-00129,sup-084,Secondary,1.22,45
APP-CHI-00130,sup-187,Primary,1.0,29
APP-CHI-00130,sup-029,Secondary,1.06,54
APP-CHI-00131,sup-131,Primary,1.0,29
APP-CHI-00131,sup-059,Secondary,1.18,48
APP-CHI-00132,sup-190,Primary,1.0,29
APP-CHI-00132,sup-103,Secondary,1.09,46
APP-CHI-00133,sup-146,Primary,1.0,29
APP-CHI-00133,sup-085,Secondary,1.12,34
APP-CHI-00134,sup-107,Primary,1.0,29
APP-CHI-00134,sup-160,Secondary,1.07,36
APP-CHI-00135,sup-084,Primary,1.0,29
APP-CHI-00135,sup-038,Secondary,1.1,49
APP-CHI-00136,sup-084,Primary,1.0,29
APP-CHI-00136,sup-187,Secondary,1.15,42
APP-CHI-00137,sup-131,Primary,1.0,29
APP-CHI-00137,sup-163,Secondary,1.25,46
APP-CHI-00138,sup-139,Primary,1.0,29
APP-CHI-00138,sup-029,Secondary,1.13,38
APP-CHI-00139,sup-021,Primary,1.0,29
APP-CHI-00139,sup-010,Secondary,1.07,56
APP-CHI-00140,sup-046,Primary,1.0,29
APP-CHI-00140,sup-045,Secondary,1.22,36
APP-CHI-00141,sup-038,Primary,1.0,29
APP-CHI-00141,sup-187,Secondary,1.16,55
APP-CHI-00142,sup-059,Primary,1.0,29
APP-CHI-00142,sup-084,Secondary,1.08,52
APP-CHI-00143,sup-132,Primary,1.0,29
APP-CHI-00143,sup-160,Secondary,1.22,53
APP-CHI-00144,sup-160,Primary,1.0,29
APP-CHI-00144,sup-021,Secondary,1.18,54
APP-CHI-00145,sup-146,Primary,1.0,29
APP-CHI-00145,sup-021,Secondary,1.08,53
APP-CHI-00146,sup-107,Primary,1.0,29
APP-CHI-00146,sup-149,Secondary,1.23,44
APP-CHI-00147,sup-144,Primary,1.0,29
APP-CHI-00147,sup-149,Secondary,1.1,53
APP-CHI-00148,sup-197,Primary,1.0,29
APP-CHI-00148,sup-045,Secondary,1.13,49
APP-CHI-00149,sup-086,Primary,1.0,29
APP-CHI-00149,sup-154,Secondary,1.1,51
APP-CHI-00150,sup-069,Primary,1.0,29
APP-CHI-00150,sup-021,Secondary,1.17,49
APP-CHI-00151,sup-059,Primary,1.0,29
APP-CHI-00151,sup-045,Secondary,1.07,54
APP-CHI-00152,sup-154,Primary,1.0,29
APP-CHI-00152,sup-151,Secondary,1.15,39
APP-CHI-00153,sup-069,Primary,1.0,29
APP-CHI-00153,sup-139,Secondary,1.23,57
APP-CHI-00154,sup-160,Primary,1.0,29
APP-CHI-00154,sup-030,Secondary,1.2,56
APP-CHI-00155,sup-131,Primary,1.0,29
APP-CHI-00155,sup-103,Secondary,1.09,51
APP-CHI-00156,sup-069,Primary,1.0,29
APP-CHI-00156,sup-163,Secondary,1.18,51
APP-CHI-00157,sup-163,Primary,1.0,29
APP-CHI-00157,sup-132,Secondary,1.14,44
APP-CHI-00158,sup-010,Primary,1.0,29
APP-CHI-00158,sup-154,Secondary,1.22,41
APP-CHI-00159,sup-160,Primary,1.0,29
APP-CHI-00159,sup-059,Secondary,1.18,54
APP-CHI-00160,sup-171,Primary,1.0,29
APP-CHI-00160,sup-030,Secondary,1.06,46
APP-CHI-00161,sup-087,Primary,1.0,29
APP-CHI-00161,sup-171,Secondary,1.21,50
APP-CHI-00162,sup-038,Primary,1.0,29
APP-CHI-00162,sup-116,Secondary,1.22,44
APP-CHI-00163,sup-132,Primary,1.0,29
APP-CHI-00163,sup-046,Secondary,1.16,45
APP-CHI-00164,sup-116,Primary,1.0,29
APP-CHI-00164,sup-042,Secondary,1.12,36
APP-CHI-00165,sup-085,Primary,1.0,29
APP-CHI-00165,sup-151,Secondary,1.07,38
APP-CHI-00166,sup-146,Primary,1.0,29
APP-CHI-00166,sup-111,Secondary,1.21,35
APP-CHI-00167,sup-171,Primary,1.0,29
APP-CHI-00167,sup-086,Secondary,1.22,49
APP-CHI-00168,sup-154,Primary,1.0,29
APP-CHI-00168,sup-042,Secondary,1.08,46
APP-CHI-00169,sup-154,Primary,1.0,29
APP-CHI-00169,sup-160,Secondary,1.06,56
APP-CHI-00170,sup-001,Primary,1.0,29
APP-CHI-00170,sup-103,Secondary,1.21,34
APP-CHI-00171,sup-045,Primary,1.0,29
APP-CHI-00171,sup-085,Secondary,1.25,46
APP-CHI-00172,sup-086,Primary,1.0,29
APP-CHI-00172,sup-042,Secondary,1.24,45
APP-CHI-00173,sup-084,Primary,1.0,29
APP-CHI-00173,sup-111,Secondary,1.24,49
APP-CHI-00174,sup-116,Primary,1.0,29
APP-CHI-00174,sup-190,Secondary,1.21,40
APP-CHI-00175,sup-084,Primary,1.0,29
APP-CHI-00175,sup-087,Secondary,1.18,36
APP-CHI-00176,sup-104,Primary,1.0,29
APP-CHI-00176,sup-038,Secondary,1.08,54
APP-CHI-00177,sup-104,Primary,1.0,29
APP-CHI-00177,sup-171,Secondary,1.23,46
APP-CHI-00178,sup-163,Primary,1.0,29
APP-CHI-00178,sup-069,Secondary,1.1,44
APP-CHI-00179,sup-111,Primary,1.0,29
APP-CHI-00179,sup-010,Secondary,1.1,56
APP-CHI-00180,sup-154,Primary,1.0,29
APP-CHI-00180,sup-038,Secondary,1.14,47
APP-CHI-00181,sup-151,Primary,1.0,29
APP-CHI-00181,sup-146,Secondary,1.11,46
APP-CHI-00182,sup-177,Primary,1.0,29
APP-CHI-00182,sup-046,Secondary,1.2,46
APP-CHI-00183,sup-086,Primary,1.0,29
APP-CHI-00183,sup-154,Secondary,1.24,55
APP-CHI-00184,sup-029,Primary,1.0,29
APP-CHI-00184,sup-069,Secondary,1.21,51
APP-CHI-00185,sup-154,Primary,1.0,29
APP-CHI-00185,sup-163,Secondary,1.06,43
APP-CHI-00186,sup-085,Primary,1.0,29
APP-CHI-00186,sup-177,Secondary,1.15,39
APP-CHI-00187,sup-001,Primary,1.0,29
APP-CHI-00187,sup-146,Secondary,1.09,47
APP-CHI-00188,sup-038,Primary,1.0,29
APP-CHI-00188,sup-139,Secondary,1.24,52
APP-CHI-00189,sup-149,Primary,1.0,29
APP-CHI-00189,sup-029,Secondary,1.19,55
APP-CHI-00190,sup-107,Primary,1.0,29
APP-CHI-00190,sup-197,Secondary,1.07,40
APP-CHI-00191,sup-084,Primary,1.0,29
APP-CHI-00191,sup-086,Secondary,1.12,45
APP-CHI-00192,sup-038,Primary,1.0,29
APP-CHI-00192,sup-171,Secondary,1.07,38
APP-CHI-00193,sup-177,Primary,1.0,29
APP-CHI-00193,sup-086,Secondary,1.17,44
APP-CHI-00194,sup-146,Primary,1.0,29
APP-CHI-00194,sup-085,Secondary,1.06,44
APP-CHI-00195,sup-021,Primary,1.0,29
APP-CHI-00195,sup-149,Secondary,1.07,48
APP-CHI-00196,sup-030,Primary,1.0,29
APP-CHI-00196,sup-029,Secondary,1.19,43
APP-CHI-00197,sup-046,Primary,1.0,29
APP-CHI-00197,sup-107,Secondary,1.17,44
APP-CHI-00198,sup-144,Primary,1.0,29
APP-CHI-00198,sup-046,Secondary,1.14,57
APP-CHI-00199,sup-069,Primary,1.0,29
APP-CHI-00199,sup-001,Secondary,1.24,36
APP-CHI-00200,sup-069,Primary,1.0,29
APP-CHI-00200,sup-197,Secondary,1.24,55
APP-CHI-00201,sup-104,Primary,1.0,29
APP-CHI-00201,sup-029,Secondary,1.06,54
APP-CHI-00202,sup-052,Primary,1.0,29
APP-CHI-00202,sup-187,Secondary,1.1,55
APP-CHI-00203,sup-103,Primary,1.0,29
APP-CHI-00203,sup-132,Secondary,1.17,38
APP-CHI-00204,sup-045,Primary,1.0,29
APP-CHI-00204,sup-151,Secondary,1.24,48
APP-CHI-00205,sup-046,Primary,1.0,29
APP-CHI-00205,sup-021,Secondary,1.05,44
APP-CHI-00206,sup-103,Primary,1.0,29
APP-CHI-00206,sup-160,Secondary,1.19,34
APP-CHI-00207,sup-001,Primary,1.0,29
APP-CHI-00207,sup-139,Secondary,1.23,41
APP-CHI-00208,sup-144,Primary,1.0,29
APP-CHI-00208,sup-177,Secondary,1.1,41
APP-CHI-00209,sup-046,Primary,1.0,29
APP-CHI-00209,sup-104,Secondary,1.19,39
APP-CHI-00210,sup-103,Primary,1.0,29
APP-CHI-00210,sup-046,Secondary,1.1,55
APP-CHI-00211,sup-139,Primary,1.0,29
APP-CHI-00211,sup-111,Secondary,1.12,55
APP-CHI-00212,sup-154,Primary,1.0,29
APP-CHI-00212,sup-038,Secondary,1.21,37
APP-CHI-00213,sup-177,Primary,1.0,29
APP-CHI-00213,sup-144,Secondary,1.05,42
APP-CHI-00214,sup-187,Primary,1.0,29
APP-CHI-00214,sup-197,Secondary,1.1,35
APP-CHI-00215,sup-151,Primary,1.0,29
APP-CHI-00215,sup-042,Secondary,1.2,37
APP-CHI-00216,sup-030,Primary,1.0,29
APP-CHI-00216,sup-187,Secondary,1.17,48
APP-CHI-00217,sup-059,Primary,1.0,29
APP-CHI-00217,sup-010,Secondary,1.06,46
APP-CHI-00218,sup-103,Primary,1.0,29
APP-CHI-00218,sup-149,Secondary,1.19,53
APP-CHI-00219,sup-177,Primary,1.0,29
APP-CHI-00219,sup-151,Secondary,1.24,41
APP-CHI-00220,sup-107,Primary,1.0,29
APP-CHI-00220,sup-021,Secondary,1.13,45
APP-CHI-00221,sup-046,Primary,1.0,29
APP-CHI-00221,sup-059,Secondary,1.08,55
APP-CHI-00222,sup-069,Primary,1.0,29
APP-CHI-00222,sup-046,Secondary,1.07,43
APP-CHI-00223,sup-069,Primary,1.0,29
APP-CHI-00223,sup-146,Secondary,1.11,54
APP-CHI-00224,sup-042,Primary,1.0,29
APP-CHI-00224,sup-046,Secondary,1.15,42
APP-CHI-00225,sup-001,Primary,1.0,29
APP-CHI-00225,sup-144,Secondary,1.07,41
APP-CHI-00226,sup-038,Primary,1.0,29
APP-CHI-00226,sup-046,Secondary,1.24,36
APP-CHI-00227,sup-190,Primary,1.0,29
APP-CHI-00227,sup-029,Secondary,1.19,51
APP-CHI-00228,sup-190,Primary,1.0,29
APP-CHI-00228,sup-151,Secondary,1.16,44
APP-CHI-00229,sup-116,Primary,1.0,29
APP-CHI-00229,sup-139,Secondary,1.12,57
APP-CHI-00230,sup-131,Primary,1.0,29
APP-CHI-00230,sup-149,Secondary,1.1,41
APP-CHI-00231,sup-085,Primary,1.0,29
APP-CHI-00231,sup-139,Secondary,1.1,48
APP-CHI-00232,sup-045,Primary,1.0,29
APP-CHI-00232,sup-144,Secondary,1.07,36
APP-CHI-00233,sup-010,Primary,1.0,29
APP-CHI-00233,sup-059,Secondary,1.13,44
APP-CHI-00234,sup-171,Primary,1.0,29
APP-CHI-00234,sup-038,Secondary,1.22,55
APP-CHI-00235,sup-086,Primary,1.0,29
APP-CHI-00235,sup-132,Secondary,1.11,54
APP-CHI-00236,sup-104,Primary,1.0,29
APP-CHI-00236,sup-171,Secondary,1.15,40
APP-CHI-00237,sup-084,Primary,1.0,29
APP-CHI-00237,sup-154,Secondary,1.23,37
APP-CHI-00238,sup-103,Primary,1.0,29
APP-CHI-00238,sup-160,Secondary,1.17,50
APP-CHI-00239,sup-171,Primary,1.0,29
APP-CHI-00239,sup-139,Secondary,1.2,55
APP-CHI-00240,sup-116,Primary,1.0,29
APP-CHI-00240,sup-042,Secondary,1.24,42
APP-CHI-00241,sup-111,Primary,1.0,29
APP-CHI-00241,sup-086,Secondary,1.1,44
APP-CHI-00242,sup-029,Primary,1.0,29
APP-CHI-00242,sup-010,Secondary,1.17,46
APP-CHI-00243,sup-149,Primary,1.0,29
APP-CHI-00243,sup-086,Secondary,1.22,36
APP-CHI-00244,sup-069,Primary,1.0,29
APP-CHI-00244,sup-116,Secondary,1.13,37
APP-CHI-00245,sup-087,Primary,1.0,29
APP-CHI-00245,sup-144,Secondary,1.12,54
APP-CHI-00246,sup-010,Primary,1.0,29
APP-CHI-00246,sup-111,Secondary,1.17,41
APP-CHI-00247,sup-059,Primary,1.0,29
APP-CHI-00247,sup-030,Secondary,1.05,47
APP-CHI-00248,sup-149,Primary,1.0,29
APP-CHI-00248,sup-029,Secondary,1.05,43
APP-CHI-00249,sup-069,Primary,1.0,29
APP-CHI-00249,sup-059,Secondary,1.1,56
APP-CHI-00250,sup-131,Primary,1.0,29
APP-CHI-00250,sup-087,Secondary,1.11,46
APP-CHI-00251,sup-111,Primary,1.0,29
APP-CHI-00251,sup-030,Secondary,1.07,45
APP-CHI-00252,sup-029,Primary,1.0,29
APP-CHI-00252,sup-116,Secondary,1.1,46
APP-CHI-00253,sup-139,Primary,1.0,29
APP-CHI-00253,sup-001,Secondary,1.21,37
APP-CHI-00254,sup-107,Primary,1.0,29
APP-CHI-00254,sup-151,Secondary,1.22,51
APP-CHI-00255,sup-087,Primary,1.0,29
APP-CHI-00255,sup-104,Secondary,1.06,44
APP-CHI-00256,sup-084,Primary,1.0,29
APP-CHI-00256,sup-001,Secondary,1.13,51
APP-CHI-00257,sup-052,Primary,1.0,29
APP-CHI-00257,sup-177,Secondary,1.15,37
APP-CHI-00258,sup-146,Primary,1.0,29
APP-CHI-00258,sup-139,Secondary,1.12,57
APP-CHI-00259,sup-038,Primary,1.0,29
APP-CHI-00259,sup-197,Secondary,1.24,47
APP-CHI-00260,sup-131,Primary,1.0,29
APP-CHI-00260,sup-177,Secondary,1.14,54
APP-CHI-00261,sup-001,Primary,1.0,29
APP-CHI-00261,sup-131,Secondary,1.12,53
APP-CHI-00262,sup-116,Primary,1.0,29
APP-CHI-00262,sup-085,Secondary,1.09,35
APP-CHI-00263,sup-144,Primary,1.0,29
APP-CHI-00263,sup-030,Secondary,1.16,44
APP-CHI-00264,sup-163,Primary,1.0,29
APP-CHI-00264,sup-144,Secondary,1.22,57
APP-CHI-00265,sup-059,Primary,1.0,29
APP-CHI-00265,sup-151,Secondary,1.23,49
APP-CHI-00266,sup-069,Primary,1.0,29
APP-CHI-00266,sup-030,Secondary,1.13,38
APP-CHI-00267,sup-010,Primary,1.0,29
APP-CHI-00267,sup-131,Secondary,1.14,48
APP-CHI-00268,sup-190,Primary,1.0,29
APP-CHI-00268,sup-146,Secondary,1.16,45
APP-CHI-00269,sup-104,Primary,1.0,29
APP-CHI-00269,sup-131,Secondary,1.22,50
APP-CHI-00270,sup-132,Primary,1.0,29
APP-CHI-00270,sup-171,Secondary,1.11,35
APP-CHI-00271,sup-132,Primary,1.0,29
APP-CHI-00271,sup-151,Secondary,1.24,45
APP-CHI-00272,sup-190,Primary,1.0,29
APP-CHI-00272,sup-045,Secondary,1.13,53
APP-CHI-00273,sup-151,Primary,1.0,29
