PO_Number,SKU,Supplier_ID,Location_ID,Order_Date,Expected_Arrival_Date,Actual_Arrival_Date,Quantity_Ordered,Quantity_Received,Status
PO-0000031,PET-PET-00474,sup-123,wh-001,2026-06-06,2026-06-22,2026-06-22,291,245,Delivered
PO-0000032,AUT-GEN-00651,sup-135,str-001,2026-04-20,2026-05-20,2026-05-20,445,368,Delivered
PO-0000033,FRE-PRO-01554,sup-141,wh-001,2026-03-05,2026-03-06,2026-03-06,314,289,Delivered
PO-0000034,APP-MEN-01175,sup-151,wh-001,2026-05-14,2026-05-28,2026-05-28,202,29,Delivered
PO-0000035,BAG-LUG-00024,sup-160,str-001,2026-02-01,2026-02-17,2026-02-17,455,322,Delivered
PO-0000036,HOM-FUR-00724,sup-094,wh-001,2025-11-15,2025-12-30,2026-01-04,134,117,Delivered
PO-0000037,BAG-LUG-00693,sup-132,wh-001,2025-12-13,2025-12-29,2025-12-29,244,211,Delivered
PO-0000038,APP-MEN-00314,sup-046,str-001,2025-12-19,2026-01-02,2026-01-02,100,82,Delivered
PO-0000039,BEA-COS-00497,sup-142,str-001,2026-08-12,2026-09-08,2026-09-08,162,142,Delivered
PO-0000040,PET-PET-00111,sup-192,str-001,2026-06-26,2026-07-12,2026-07-12,110,102,Delivered
PO-0000041,HOB-ART-00201,sup-063,str-001,2026-07-01,2026-07-26,2026-07-30,154,122,Delivered
PO-0000042,SNA-GEN-00087,sup-123,wh-001,2026-01-15,2026-01-22,2026-01-22,232,211,Delivered
PO-0000043,KIT-DIN-00059,sup-039,wh-001,2026-09-10,2026-10-07,,241,,In-Transit
PO-0000044,OFF-BUS-00335,sup-027,wh-001,2026-09-12,2026-10-10,,402,,In-Transit
PO-0000045,DAI-REF-00671,sup-067,wh-001,2026-05-18,2026-05-21,2026-05-21,474,369,Delivered
PO-0000046,APP-CHI-00703,sup-131,str-001,2025-10-24,2025-11-22,2025-11-22,109,89,Delivered
PO-0000047,GRO-FOO-02614,sup-051,wh-001,2026-02-01,2026-02-16,2026-02-16,410,378,Delivered
PO-0000048,SPO-FIT-00828,sup-024,wh-001,2025-11-20,2026-01-02,2026-01-02,363,264,Delivered
PO-0000049,MEA-SEA-00960,sup-049,str-001,2026-03-01,2026-03-03,2026-03-03,139,127,Delivered
PO-0000050,FLO-FLO-00066,sup-048,str-001,2026-07-01,2026-07-28,2026-07-28,112,107,Delivered
PO-0000051,FAS-ACC-00028,sup-190,str-001,2026-08-28,2026-10-04,,230,,In-Transit
PO-0000052,FOO-BEV-00376,sup-061,str-001,2026-04-14,2026-04-16,2026-04-16,498,384,Delivered
PO-0000053,FOO-BEV-00211,sup-056,str-001,2026-03-18,2026-03-20,2026-03-20,458,371,Delivered
PO-0000054,KIT-DIN-00038,sup-188,str-001,2026-06-29,2026-07-26,2026-07-26,428,420,Delivered
PO-0000055,MUS-INS-00426,sup-071,wh-001,2026-06-05,2026-07-03,2026-07-03,381,155,Delivered
PO-0000056,DAI-REF-00784,sup-049,str-001,2026-06-29,2026-07-02,2026-07-02,135,114,Delivered
PO-0000057,STA-OFF-00680,sup-110,str-001,2026-04-03,2026-05-11,2026-05-11,384,347,Delivered
PO-0000058,BOO-GEN-00379,sup-090,str-001,2026-04-16,2026-05-01,2026-05-09,400,337,Delivered
PO-0000059,FLO-FLO-00033,sup-135,wh-001,2026-05-01,2026-05-28,2026-06-02,119,91,Delivered
PO-0000060,HAR-HOM-00797,sup-173,str-001,2026-03-28,2026-04-28,2026-04-28,339,276,Delivered
PO-0000061,HOB-ART-00147,sup-071,wh-001,2026-03-28,2026-04-22,2026-04-22,446,392,Delivered
PO-0000062,COM-MOB-00344,sup-074,str-001,2026-09-13,2026-11-08,,438,,In-Transit
PO-0000063,PAI-DEC-00320,sup-039,str-001,2026-08-08,2026-09-15,,301,,In-Transit
PO-0000064,GRO-FOO-01737,sup-070,wh-001,2026-03-29,2026-04-13,2026-04-13,468,436,Delivered
PO-0000065,SER-SOL-00360,sup-164,str-001,2026-05-30,2026-06-18,2026-06-18,297,266,Delivered
PO-0000066,GAM-PUZ-00402,sup-094,str-001,2025-10-03,2025-10-26,2025-10-26,291,265,Delivered
PO-0000067,FOO-GEN-00620,sup-107,str-001,2026-02-24,2026-04-03,2026-04-03,429,365,Delivered
PO-0000068,BAB-MAT-00153,sup-125,str-001,2025-11-17,2025-12-29,2025-12-29,86,32,Delivered
PO-0000069,GRO-FOO-02507,sup-195,wh-001,2026-04-20,2026-05-05,2026-05-05,488,469,Delivered
PO-0000070,HOM-APP-00575,sup-120,str-001,2026-06-27,2026-09-12,2026-09-12,233,191,Delivered
PO-0000071,HOM-FUR-00501,sup-088,str-001,2025-12-11,2026-01-25,2026-01-25,224,105,Delivered
PO-0000072,PAR-CEL-00314,sup-099,wh-001,2025-09-14,2025-10-13,2025-10-13,311,290,Delivered
PO-0000073,STA-OFF-00730,sup-037,wh-001,2026-05-14,2026-06-21,2026-06-21,315,304,Delivered
PO-0000074,HAR-HOM-00229,sup-182,str-001,2026-03-30,2026-04-30,2026-04-30,249,244,Delivered
PO-0000075,FES-SEA-00004,sup-173,wh-001,2025-10-17,2025-11-05,2025-11-05,194,152,Delivered
PO-0000076,MEA-SEA-01009,sup-097,str-001,2026-07-04,2026-07-06,2026-07-14,363,302,Delivered
PO-0000077,PET-PET-00586,sup-053,wh-001,2025-11-05,2025-11-21,2025-11-21,231,169,Delivered
PO-0000078,DIG-NON-00156,sup-063,wh-001,2026-04-17,2026-05-01,2026-05-01,355,286,Delivered
PO-0000079,MEA-SEA-00915,sup-040,wh-001,2025-11-01,2025-11-03,2025-11-07,96,9,Delivered
PO-0000080,GIF-LIF-00269,sup-127,str-001,2026-05-28,2026-06-12,2026-06-21,235,228,Delivered
PO-0000081,FAS-ACC-00774,sup-084,str-001,2026-03-22,2026-04-28,2026-04-28,217,107,Delivered
PO-0000082,PER-CAR-00205,sup-037,str-001,2026-01-04,2026-01-29,2026-01-29,440,425,Delivered
PO-0000083,HEA-WEL-00160,sup-054,str-001,2026-08-18,2026-09-05,2026-09-05,281,270,Delivered
PO-0000084,JEW-GEN-00786,sup-064,wh-001,2025-12-01,2025-12-24,2025-12-24,253,198,Delivered
PO-0000085,HAR-HOM-00497,sup-013,str-001,2026-07-16,2026-08-16,2026-08-16,394,362,Delivered
PO-0000086,PAR-CEL-00398,sup-066,wh-001,2025-12-26,2026-01-24,2026-01-24,377,318,Delivered
PO-0000087,BOO-GEN-00216,sup-057,str-001,2026-05-10,2026-05-25,2026-05-25,480,419,Delivered
PO-0000088,WAT-TIM-00343,sup-182,str-001,2026-02-25,2026-03-20,2026-03-20,219,213,Delivered
PO-0000089,PAC-SHI-00097,sup-027,wh-001,2026-08-06,2026-09-07,2026-09-07,483,155,Delivered
PO-0000090,SLE-WEL-00264,sup-013,str-001,2026-08-19,2026-09-11,2026-09-11,111,101,Delivered
PO-0000091,HOU-CLE-00240,sup-127,wh-001,2025-10-05,2025-11-16,2025-11-16,106,103,Delivered
PO-0000092,FLO-FLO-00205,sup-153,str-001,2026-09-10,2026-10-07,,492,,In-Transit
PO-0000093,HOB-ART-00355,sup-064,wh-001,2026-08-18,2026-09-12,2026-09-12,211,174,Delivered
PO-0000094,SPE-PRO-00322,sup-039,wh-001,2025-12-24,2026-02-07,2026-02-12,89,76,Delivered
PO-0000095,WAT-TIM-00328,sup-122,wh-001,2026-01-17,2026-02-09,2026-02-09,120,95,Delivered
PO-0000096,PAR-CEL-00298,sup-188,str-001,2026-06-25,2026-07-24,2026-07-24,178,33,Delivered
PO-0000097,FRE-PRO-01029,sup-115,str-001,2026-03-23,2026-03-24,2026-03-24,86,22,Delivered
PO-0000098,CON-ELE-00653,sup-005,str-001,2026-04-30,2026-06-08,2026-06-09,297,244,Delivered
PO-0000099,TOY-GEN-00253,sup-099,wh-001,2026-04-01,2026-05-16,2026-05-16,339,291,Delivered
PO-0000100,GRO-FOO-01342,sup-020,str-001,2026-06-15,2026-06-30,2026-06-30,374,373,Delivered
PO-0000101,APP-CHI-00912,sup-160,wh-001,2026-06-26,2026-07-25,2026-07-29,340,244,Delivered
PO-0000102,GRO-FOO-00839,sup-004,wh-001,2026-05-24,2026-06-08,2026-06-08,135,98,Delivered
PO-0000103,JEW-GEN-00723,sup-100,str-001,2026-07-30,2026-08-22,2026-08-28,87,71,Delivered
PO-0000104,FRE-PRO-01665,sup-023,wh-001,2026-07-17,2026-07-18,2026-07-18,457,208,Delivered
PO-0000105,JEW-GEN-00695,sup-094,str-001,2026-09-07,2026-09-30,,399,,In-Transit
PO-0000106,DIG-NON-00188,sup-063,wh-001,2026-08-04,2026-08-18,2026-08-18,437,344,Delivered
PO-0000107,OFF-BUS-00134,sup-057,wh-001,2026-01-13,2026-02-10,2026-02-10,293,271,Delivered
PO-0000108,BOO-GEN-00039,sup-094,wh-001,2025-11-25,2025-12-10,2025-12-10,497,181,Delivered
PO-0000109,HOM-FUR-00510,sup-122,wh-001,2026-08-11,2026-09-25,,85,,In-Transit
PO-0000110,COM-MOB-00722,sup-158,str-001,2026-06-21,2026-08-16,2026-08-16,133,114,Delivered
PO-0000111,FES-SEA-00917,sup-182,str-001,2026-02-25,2026-03-16,2026-03-16,197,182,Delivered
PO-0000112,MUS-INS-00147,sup-039,str-001,2026-08-04,2026-09-01,2026-09-01,218,193,Delivered
PO-0000113,GIF-LIF-00085,sup-122,wh-001,2026-04-29,2026-05-14,2026-05-14,135,108,Delivered
PO-0000114,ENT-MED-00051,sup-143,str-001,2026-06-12,2026-07-03,2026-07-03,86,71,Delivered
PO-0000115,GRO-FOO-02368,sup-065,wh-001,2026-08-19,2026-09-03,2026-09-03,55,10,Delivered
PO-0000116,GIF-LIF-00163,sup-106,str-001,2026-04-23,2026-05-08,2026-05-19,173,166,Delivered
PO-0000117,HOM-FUR-00867,sup-188,str-001,2025-12-30,2026-02-13,2026-02-13,262,255,Delivered
PO-0000118,SLE-WEL-00200,sup-127,str-001,2026-09-14,2026-10-07,,332,,In-Transit
PO-0000119,JEW-GEN-00461,sup-017,wh-001,2026-02-19,2026-03-14,2026-03-14,214,206,Delivered
PO-0000120,REG-CON-00267,sup-048,wh-001,2026-06-25,2026-07-28,2026-07-28,410,394,Delivered
PO-0000121,HEA-WEL-00025,sup-071,wh-001,2025-10-25,2025-11-12,2025-11-12,284,235,Delivered
PO-0000122,HAR-HOM-00516,sup-143,wh-001,2026-03-06,2026-04-06,2026-04-06,288,245,Delivered
PO-0000123,PLU-BUI-00017,sup-143,str-001,2026-06-04,2026-07-11,2026-07-11,272,220,Delivered
PO-0000124,DAI-REF-00021,sup-078,str-001,2026-08-08,2026-08-11,2026-08-11,172,39,Delivered
PO-0000125,HOM-FUR-00390,sup-037,wh-001,2026-07-19,2026-09-02,2026-09-02,60,58,Delivered
PO-0000126,MEA-SEA-00385,sup-124,str-001,2025-12-30,2026-01-01,2026-01-01,273,272,Delivered
PO-0000127,GAR-OUT-00754,sup-094,wh-001,2026-07-25,2026-08-19,2026-08-31,465,402,Delivered
PO-0000128,DIG-NON-00203,sup-188,str-001,2026-06-23,2026-07-07,2026-07-15,317,315,Delivered
PO-0000129,SER-SOL-00873,sup-182,str-001,2026-07-13,2026-08-01,2026-08-01,191,189,Delivered
PO-0000130,FOO-GEN-00591,sup-084,str-001,2026-05-01,2026-06-08,2026-06-08,170,157,Delivered
PO-0000131,KIT-DIN-00156,sup-143,wh-001,2026-07-30,2026-08-26,2026-08-26,457,399,Delivered
PO-0000132,HAR-HOM-00152,sup-048,str-001,2026-06-20,2026-07-21,2026-07-21,408,406,Delivered
PO-0000133,MEA-SEA-00068,sup-082,str-001,2025-12-11,2025-12-13,2025-12-13,232,229,Delivered
PO-0000134,BEA-COS-00281,sup-173,str-001,2026-03-23,2026-04-19,2026-04-19,329,272,Delivered
PO-0000135,MEA-SEA-00915,sup-040,str-001,2026-08-29,2026-08-31,2026-08-31,169,130,Delivered
PO-0000136,HOU-CLE-00210,sup-100,str-001,2026-04-18,2026-05-30,2026-05-30,126,98,Delivered
PO-0000137,SEW-TEX-00180,sup-025,wh-001,2026-05-26,2026-06-13,2026-06-13,489,478,Delivered
PO-0000138,ENT-MED-00096,sup-135,str-001,2026-07-22,2026-08-12,2026-08-12,168,125,Delivered
PO-0000139,FES-SEA-00295,sup-106,str-001,2026-06-17,2026-07-06,2026-07-06,65,64,Delivered
PO-0000140,PAP-DIS-00184,sup-162,str-001,2026-02-27,2026-04-04,2026-04-04,106,104,Delivered
PO-0000141,ART-DEC-00048,sup-090,str-001,2026-08-07,2026-09-01,2026-09-01,185,154,Delivered
PO-0000142,HOM-FUR-00129,sup-066,wh-001,2026-03-04,2026-04-18,2026-04-18,273,208,Delivered
PO-0000143,HOB-ART-00308,sup-063,str-001,2026-05-04,2026-05-29,2026-06-11,414,322,Delivered
PO-0000144,COM-MOB-00386,sup-041,str-001,2025-10-16,2025-12-11,2025-12-11,148,103,Delivered
PO-0000145,PET-PET-00228,sup-044,wh-001,2025-11-25,2025-12-11,2025-12-11,134,107,Delivered
PO-0000146,CON-ELE-00008,sup-112,wh-001,2026-05-07,2026-06-15,2026-06-15,233,114,Delivered
PO-0000147,FAS-ACC-00386,sup-029,wh-001,2026-04-17,2026-05-24,2026-05-24,158,109,Delivered
PO-0000148,WAT-TIM-00106,sup-172,wh-001,2025-11-30,2025-12-23,2025-12-23,66,61,Delivered
PO-0000149,BAB-MAT-00493,sup-185,wh-001,2025-10-20,2025-12-01,2025-12-01,144,120,Delivered
PO-0000150,FRE-PRO-01361,sup-092,wh-001,2026-06-02,2026-06-03,2026-06-03,422,349,Delivered
PO-0000151,SPO-FIT-00306,sup-135,str-001,2025-10-17,2025-11-29,2025-11-29,234,188,Delivered
PO-0000152,PAR-CEL-00193,sup-122,wh-001,2026-04-19,2026-05-18,2026-05-18,446,364,Delivered
PO-0000153,PAP-DIS-00246,sup-164,str-001,2026-05-07,2026-06-12,2026-06-12,66,57,Delivered
PO-0000154,GRO-FOO-01153,sup-070,wh-001,2026-06-12,2026-06-27,2026-06-28,70,64,Delivered
PO-0000155,GRO-FOO-02184,sup-121,wh-001,2025-11-25,2025-12-10,2025-12-10,105,83,Delivered
PO-0000156,BEV-GEN-00651,sup-123,wh-001,2025-11-12,2025-11-25,2025-11-25,261,234,Delivered
PO-0000157,SNA-GEN-00046,sup-053,str-001,2025-09-19,2025-09-26,2025-09-26,445,339,Delivered
PO-0000158,FRE-PRO-00746,sup-026,wh-001,2026-08-25,2026-08-26,2026-08-26,255,222,Delivered
PO-0000159,WAT-TIM-00121,sup-094,str-001,2025-11-24,2025-12-17,2025-12-17,79,69,Delivered
PO-0000160,GAM-PUZ-00194,sup-057,str-001,2026-06-23,2026-07-16,2026-07-16,312,296,Delivered
PO-0000161,JEW-GEN-00054,sup-162,str-001,2025-09-26,2025-10-19,2025-10-19,286,277,Delivered
PO-0000162,GRO-FOO-00340,sup-044,wh-001,2026-07-13,2026-07-28,2026-07-28,80,64,Delivered
PO-0000163,AUT-GEN-00538,sup-135,str-001,2026-08-19,2026-09-18,,362,,In-Transit
PO-0000164,GRO-FOO-02273,sup-065,str-001,2026-05-17,2026-06-01,2026-06-01,317,260,Delivered
PO-0000165,TOY-GEN-00423,sup-099,wh-001,2026-07-06,2026-08-20,2026-08-20,332,298,Delivered
PO-0000166,ENT-EXP-00313,sup-089,wh-001,2026-04-17,2026-05-01,2026-05-01,422,304,Delivered
PO-0000167,REG-CON-00072,sup-025,wh-001,2026-03-16,2026-04-18,2026-04-19,468,445,Delivered
PO-0000168,MEA-SEA-00179,sup-079,str-001,2026-05-27,2026-05-29,2026-05-29,149,145,Delivered
PO-0000169,AUT-GEN-00707,sup-089,str-001,2025-09-19,2025-10-19,2025-10-19,481,391,Delivered
PO-0000170,HOU-CLE-00011,sup-173,wh-001,2026-03-05,2026-04-16,2026-04-29,328,273,Delivered
PO-0000171,BAB-MAT-00569,sup-088,str-001,2026-02-14,2026-03-28,2026-03-28,199,185,Delivered
PO-0000172,WAT-TIM-00390,sup-024,wh-001,2026-06-25,2026-07-18,2026-07-18,234,185,Delivered
PO-0000173,PLU-BUI-00016,sup-066,wh-001,2025-12-13,2026-01-19,2026-01-19,351,275,Delivered
PO-0000174,BAB-MAT-00515,sup-182,wh-001,2026-01-08,2026-02-19,2026-02-19,429,397,Delivered
PO-0000175,JEW-GEN-00474,sup-024,str-001,2026-08-27,2026-09-19,,103,,In-Transit
PO-0000176,SPO-FIT-00493,sup-035,str-001,2026-05-29,2026-07-11,2026-07-11,242,174,Delivered
PO-0000177,TOY-GEN-00476,sup-100,str-001,2025-11-29,2026-01-13,2026-01-24,176,141,Delivered
PO-0000178,FRE-PRO-01446,sup-040,str-001,2026-02-11,2026-02-12,2026-02-12,489,360,Delivered
PO-0000179,CON-ELE-00316,sup-095,wh-001,2026-08-21,2026-09-29,,464,,In-Transit
PO-0000180,STA-OFF-00537,sup-122,wh-001,2026-05-02,2026-06-09,2026-06-23,323,269,Delivered
PO-0000181,BAB-MAT-00034,sup-039,wh-001,2026-07-29,2026-09-09,2026-09-15,419,375,Delivered
PO-0000182,PET-PET-00323,sup-008,str-001,2026-04-26,2026-05-12,2026-05-12,346,315,Delivered
PO-0000183,KIT-DIN-00175,sup-099,wh-001,2025-10-01,2025-10-28,2025-10-28,337,316,Delivered
PO-0000184,SOL-SUS-00173,sup-100,wh-001,2025-12-17,2026-01-24,2026-01-24,306,246,Delivered
PO-0000185,JEW-GEN-00341,sup-162,str-001,2026-07-15,2026-08-07,2026-08-07,157,153,Delivered
PO-0000186,BAB-MAT-00019,sup-027,str-001,2026-03-18,2026-04-29,2026-04-29,82,68,Delivered
PO-0000187,BAB-MAT-00428,sup-071,wh-001,2026-08-05,2026-09-16,,451,,In-Transit
PO-0000188,SER-SOL-00057,sup-106,str-001,2026-08-31,2026-09-19,,481,,In-Transit
PO-0000189,DAI-REF-00347,sup-115,str-001,2025-10-23,2025-10-26,2025-11-08,374,327,Delivered
PO-0000190,MUS-INS-00379,sup-063,wh-001,2025-12-02,2025-12-30,2026-01-03,414,307,Delivered
PO-0000191,FOO-BEV-00026,sup-140,str-001,2026-06-25,2026-06-27,2026-07-11,284,229,Delivered
PO-0000192,JEW-GEN-00067,sup-172,wh-001,2025-09-19,2025-10-12,2025-10-12,70,66,Delivered
PO-0000193,SAF-SEC-00349,sup-173,wh-001,2026-02-16,2026-03-31,2026-03-31,253,217,Delivered
PO-0000194,APP-WOM-01005,sup-030,str-001,2026-01-23,2026-02-15,2026-02-20,75,66,Delivered
PO-0000195,KIT-DIN-00524,sup-054,wh-001,2026-02-07,2026-03-06,2026-03-06,338,326,Delivered
PO-0000196,SPO-FIT-00323,sup-063,str-001,2026-05-16,2026-06-28,2026-07-08,303,252,Delivered
PO-0000197,PER-CAR-00720,sup-143,str-001,2026-09-10,2026-10-05,,133,,In-Transit
PO-0000198,CON-ELE-00428,sup-074,wh-001,2026-09-03,2026-10-12,,94,,In-Transit
PO-0000199,FLO-FLO-00143,sup-027,wh-001,2026-01-03,2026-01-30,2026-01-30,324,282,Delivered
PO-0000200,HOM-APP-00803,sup-075,str-001,2025-09-25,2025-12-11,2025-12-11,407,319,Delivered
PO-0000201,HOB-ART-00646,sup-099,wh-001,2026-03-20,2026-04-14,2026-04-14,101,93,Delivered
PO-0000202,COM-MOB-00422,sup-167,wh-001,2026-06-24,2026-08-19,2026-08-19,100,42,Delivered
PO-0000203,BEV-GEN-00715,sup-004,str-001,2026-03-10,2026-03-23,2026-03-23,412,136,Delivered
PO-0000204,APP-WOM-00607,sup-151,str-001,2026-03-04,2026-03-27,2026-03-27,182,150,Delivered
PO-0000205,BAG-LUG-00025,sup-086,wh-001,2026-08-31,2026-09-16,,425,,In-Transit
PO-0000206,STA-OFF-00410,sup-130,str-001,2025-11-15,2025-12-23,2025-12-23,386,317,Delivered
PO-0000207,BAK-CON-00218,sup-179,wh-001,2026-04-17,2026-04-18,2026-04-18,359,352,Delivered
PO-0000208,SPO-FIT-00271,sup-125,wh-001,2026-01-14,2026-02-26,2026-02-26,176,85,Delivered
PO-0000209,BAG-LUG-00556,sup-177,str-001,2026-06-28,2026-07-14,2026-07-14,111,92,Delivered
PO-0000210,HOM-FUR-00503,sup-039,str-001,2026-06-17,2026-08-01,2026-08-01,136,21,Delivered
PO-0000211,FLO-FLO-00272,sup-106,str-001,2025-12-17,2026-01-13,2026-01-13,171,166,Delivered
PO-0000212,PER-CAR-00790,sup-089,str-001,2025-11-22,2025-12-17,2025-12-17,433,330,Delivered
PO-0000213,SPE-PRO-00393,sup-090,str-001,2025-10-20,2025-12-04,2025-12-04,120,46,Delivered
PO-0000214,FRE-PRO-00975,sup-043,str-001,2026-02-24,2026-02-25,2026-02-25,462,376,Delivered
PO-0000215,COL-SPE-00077,sup-135,str-001,2026-05-22,2026-06-11,2026-06-11,89,71,Delivered
PO-0000216,HEA-WEL-00273,sup-025,str-001,2026-07-08,2026-07-26,2026-07-26,143,131,Delivered
PO-0000217,BEV-GEN-00143,sup-126,str-001,2025-11-04,2025-11-17,2025-11-24,122,116,Delivered
PO-0000218,MEA-SEA-00658,sup-141,str-001,2026-01-20,2026-01-22,2026-01-22,446,165,Delivered
PO-0000219,APP-MEN-01160,sup-087,wh-001,2025-12-12,2025-12-26,2025-12-26,279,270,Delivered
PO-0000220,FAS-ACC-00221,sup-144,str-001,2026-07-23,2026-08-29,2026-08-29,71,61,Delivered
PO-0000221,COL-SPE-00259,sup-054,wh-001,2026-07-07,2026-07-27,2026-07-27,229,222,Delivered
PO-0000222,SER-SOL-00839,sup-094,wh-001,2025-12-11,2025-12-30,2025-12-30,155,144,Delivered
PO-0000223,APP-WOM-00321,sup-132,wh-001,2026-04-26,2026-05-19,2026-05-22,499,414,Delivered
PO-0000224,BEV-GEN-00953,sup-093,wh-001,2026-03-04,2026-03-17,2026-03-17,91,88,Delivered
PO-0000225,JEW-GEN-00571,sup-143,wh-001,2026-08-17,2026-09-09,2026-09-09,330,280,Delivered
PO-0000226,SMA-HOM-00330,sup-091,str-001,2026-04-25,2026-07-18,2026-07-28,475,424,Delivered
PO-0000227,HOM-FUR-00559,sup-106,str-001,2026-04-19,2026-06-03,2026-06-03,365,351,Delivered
PO-0000228,APP-WOM-00789,sup-069,str-001,2026-07-13,2026-08-05,2026-08-14,361,297,Delivered
PO-0000229,BAK-CON-01123,sup-034,str-001,2026-07-17,2026-07-18,2026-07-18,478,450,Delivered
PO-0000230,GAR-OUT-00068,sup-106,wh-001,2026-02-14,2026-03-11,2026-03-11,182,175,Delivered
PO-0000231,FOO-GEN-00832,sup-111,wh-001,2026-02-11,2026-03-21,2026-03-21,408,105,Delivered
PO-0000232,SER-SOL-00285,sup-024,str-001,2025-12-07,2025-12-26,2025-12-26,76,55,Delivered
PO-0000233,FRO-REA-00053,sup-121,wh-001,2025-11-26,2025-12-05,2025-12-05,120,99,Delivered
PO-0000234,SPE-PRO-00328,sup-135,wh-001,2026-08-17,2026-10-01,,483,,In-Transit
PO-0000235,SOL-SUS-00299,sup-142,wh-001,2026-03-12,2026-04-19,2026-04-19,191,177,Delivered
PO-0000236,HAR-HOM-00485,sup-106,wh-001,2026-07-29,2026-08-29,2026-08-29,355,348,Delivered
PO-0000237,APP-MEN-01056,sup-086,wh-001,2026-07-02,2026-07-16,2026-07-16,70,68,Delivered
PO-0000238,SPO-FIT-00707,sup-027,str-001,2026-02-26,2026-04-10,2026-04-10,447,404,Delivered
PO-0000239,FAS-ACC-00209,sup-139,str-001,2026-01-05,2026-02-11,2026-02-21,280,212,Delivered
PO-0000240,SPO-FIT-00959,sup-130,str-001,2026-05-11,2026-06-23,2026-06-23,241,114,Delivered
PO-0000241,FRE-PRO-01484,sup-031,str-001,2026-08-21,2026-08-22,2026-08-22,273,260,Delivered
PO-0000242,SNA-GEN-00035,sup-181,wh-001,2026-05-10,2026-05-17,2026-05-17,288,217,Delivered
PO-0000243,ENT-MED-00200,sup-094,str-001,2026-04-11,2026-05-02,2026-05-02,424,399,Delivered
PO-0000244,GAR-OUT-00749,sup-173,str-001,2026-04-27,2026-05-22,2026-05-27,51,41,Delivered
